zone,state,lga,sector,ea,hhid,pnumber_id,nbhhme,s1q13,s1q15,s1q15_os
4. South East,1. Abia,102. ABA SOUTH,1. Urban,46,19001,2,2,1. YES,3. OWN CHILD,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,46,19001,3,,2. NO,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,46,19007,1,1,1. YES,1. HEAD,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,46,19007,2,,2. NO,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,46,19008,1,2,1. YES,2. SPOUSE,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,46,19008,2,1,1. YES,1. HEAD,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,46,19008,3,,2. NO,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,46,19010,1,1,1. YES,1. HEAD,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,46,19010,2,,2. NO,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,46,19012,1,1,1. YES,1. HEAD,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,46,19012,2,1,1. YES,1. HEAD,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,46,19012,3,,2. NO,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,806,19017,1,2,1. YES,2. SPOUSE,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,806,19017,2,1,1. YES,1. HEAD,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,806,19017,3,,2. NO,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,806,19018,1,1,1. YES,1. HEAD,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,806,19018,2,1,1. YES,1. HEAD,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,806,19020,1,1,1. YES,1. HEAD,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,806,19020,2,,2. NO,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,806,19020,3,1,1. YES,1. HEAD,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,806,19024,1,1,1. YES,1. HEAD,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,806,19024,2,,2. NO,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,2486,19026,1,2,1. YES,2. SPOUSE,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,2486,19026,2,,2. NO,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,2486,19029,1,1,1. YES,1. HEAD,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,2486,19029,2,,2. NO,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,2486,19033,1,1,1. YES,1. HEAD,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,2486,19033,2,2,1. YES,2. SPOUSE,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,2486,19033,3,3,1. YES,3. OWN CHILD,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,2486,19033,4,4,1. YES,3. OWN CHILD,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,2486,19033,5,,2. NO,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,2486,19035,1,1,1. YES,1. HEAD,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,2486,19035,2,2,1. YES,2. SPOUSE,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,2486,19035,3,,2. NO,,
4. South East,1. Abia,104. BENDE,2. Rural,412,19038,1,1,1. YES,1. HEAD,
4. South East,1. Abia,104. BENDE,2. Rural,412,19038,2,1,1. YES,1. HEAD,
4. South East,1. Abia,104. BENDE,2. Rural,412,19038,3,1,1. YES,1. HEAD,
4. South East,1. Abia,104. BENDE,2. Rural,412,19041,1,1,1. YES,1. HEAD,
4. South East,1. Abia,104. BENDE,2. Rural,412,19041,2,2,1. YES,2. SPOUSE,
4. South East,1. Abia,104. BENDE,2. Rural,412,19041,3,,2. NO,,
4. South East,1. Abia,104. BENDE,2. Rural,412,19044,1,1,1. YES,2. SPOUSE,
4. South East,1. Abia,104. BENDE,2. Rural,412,19045,1,2,1. YES,1. HEAD,
4. South East,1. Abia,104. BENDE,2. Rural,412,19045,2,,2. NO,,
4. South East,1. Abia,104. BENDE,2. Rural,1020,19051,1,1,1. YES,1. HEAD,
4. South East,1. Abia,104. BENDE,2. Rural,1020,19051,2,,2. NO,,
4. South East,1. Abia,104. BENDE,2. Rural,1020,19051,3,,2. NO,,
4. South East,1. Abia,104. BENDE,2. Rural,1020,19058,1,1,1. YES,1. HEAD,
4. South East,1. Abia,104. BENDE,2. Rural,1020,19058,2,1,1. YES,1. HEAD,
4. South East,1. Abia,104. BENDE,2. Rural,1020,19058,3,,2. NO,,
4. South East,1. Abia,104. BENDE,2. Rural,1020,19060,1,2,1. YES,3. OWN CHILD,
4. South East,1. Abia,104. BENDE,2. Rural,1020,19060,2,,2. NO,,
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,10,19062,1,,2. NO,,
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,10,19062,2,3,1. YES,1. HEAD,
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,10,19062,3,4,1. YES,3. OWN CHILD,
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,10,19063,1,1,1. YES,1. HEAD,
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,10,19063,2,2,1. YES,3. OWN CHILD,
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,10,19064,1,2,1. YES,2. SPOUSE,
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,10,19064,2,,2. NO,,
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,10,19068,1,2,1. YES,2. SPOUSE,
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,10,19071,1,2,1. YES,2. SPOUSE,
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,10,19072,1,3,1. YES,3. OWN CHILD,
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,10,19072,2,2,1. YES,2. SPOUSE,
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,10,19072,3,1,1. YES,1. HEAD,
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,10,19072,4,,2. NO,,
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,1322,19073,1,4,1. YES,3. OWN CHILD,
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,1322,19073,2,,2. NO,,
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,1322,19075,1,1,1. YES,1. HEAD,
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,1322,19080,1,1,1. YES,1. HEAD,
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,1322,19080,2,2,1. YES,3. OWN CHILD,
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,1322,19080,3,,2. NO,,
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,1322,19081,1,3,1. YES,3. OWN CHILD,
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,1322,19081,2,4,1. YES,3. OWN CHILD,
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,1322,19081,3,,2. NO,,
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,1322,19082,1,1,1. YES,1. HEAD,
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,1322,19082,2,,2. NO,,
4. South East,1. Abia,109. OBINGWA,2. Rural,1214,19087,1,2,1. YES,2. SPOUSE,
4. South East,1. Abia,109. OBINGWA,2. Rural,1214,19088,1,1,1. YES,1. HEAD,
4. South East,1. Abia,109. OBINGWA,2. Rural,1214,19088,2,2,1. YES,2. SPOUSE,
4. South East,1. Abia,109. OBINGWA,2. Rural,1214,19088,3,,2. NO,,
4. South East,1. Abia,109. OBINGWA,2. Rural,1214,19091,1,1,1. YES,1. HEAD,
4. South East,1. Abia,109. OBINGWA,2. Rural,1214,19091,2,,2. NO,,
4. South East,1. Abia,109. OBINGWA,2. Rural,1214,19093,1,1,1. YES,1. HEAD,
4. South East,1. Abia,109. OBINGWA,2. Rural,1214,19093,2,,2. NO,,
4. South East,1. Abia,109. OBINGWA,2. Rural,1214,19095,1,2,1. YES,2. SPOUSE,
4. South East,1. Abia,109. OBINGWA,2. Rural,1792,19097,1,1,1. YES,1. HEAD,
4. South East,1. Abia,109. OBINGWA,2. Rural,1792,19097,2,1,1. YES,1. HEAD,
4. South East,1. Abia,109. OBINGWA,2. Rural,1996,19115,1,2,1. YES,2. SPOUSE,
4. South East,1. Abia,109. OBINGWA,2. Rural,1996,19115,2,2,1. YES,2. SPOUSE,
4. South East,1. Abia,109. OBINGWA,2. Rural,1996,19115,3,,2. NO,,
4. South East,1. Abia,109. OBINGWA,2. Rural,1996,19116,1,2,1. YES,2. SPOUSE,
4. South East,1. Abia,109. OBINGWA,2. Rural,1996,19116,2,4,1. YES,3. OWN CHILD,
4. South East,1. Abia,109. OBINGWA,2. Rural,1996,19117,1,2,1. YES,2. SPOUSE,
4. South East,1. Abia,109. OBINGWA,2. Rural,1996,19117,2,1,1. YES,1. HEAD,
4. South East,1. Abia,109. OBINGWA,2. Rural,1996,19117,3,,2. NO,,
4. South East,1. Abia,109. OBINGWA,2. Rural,1996,19118,1,1,1. YES,1. HEAD,
4. South East,1. Abia,109. OBINGWA,2. Rural,1996,19118,2,,2. NO,,
4. South East,1. Abia,109. OBINGWA,2. Rural,1996,19118,3,,2. NO,,
4. South East,1. Abia,110. OHAFIA,2. Rural,338,19123,1,2,1. YES,1. HEAD,
4. South East,1. Abia,110. OHAFIA,2. Rural,338,19129,1,1,1. YES,1. HEAD,
4. South East,1. Abia,110. OHAFIA,2. Rural,338,19129,2,,2. NO,,
4. South East,1. Abia,110. OHAFIA,2. Rural,338,19131,1,1,1. YES,1. HEAD,
4. South East,1. Abia,110. OHAFIA,2. Rural,338,19131,2,2,1. YES,2. SPOUSE,
4. South East,1. Abia,110. OHAFIA,2. Rural,338,19131,3,,2. NO,,
4. South East,1. Abia,110. OHAFIA,2. Rural,338,19131,4,,2. NO,,
4. South East,1. Abia,111. OSISIOMA NORTH,2. Rural,118,19133,1,1,1. YES,1. HEAD,
4. South East,1. Abia,111. OSISIOMA NORTH,2. Rural,118,19133,2,2,1. YES,2. SPOUSE,
4. South East,1. Abia,111. OSISIOMA NORTH,2. Rural,118,19133,3,,2. NO,,
4. South East,1. Abia,111. OSISIOMA NORTH,2. Rural,118,19135,1,1,1. YES,1. HEAD,
4. South East,1. Abia,111. OSISIOMA NORTH,2. Rural,118,19135,2,2,1. YES,3. OWN CHILD,
4. South East,1. Abia,111. OSISIOMA NORTH,2. Rural,118,19135,3,,2. NO,,
4. South East,1. Abia,111. OSISIOMA NORTH,2. Rural,118,19137,1,1,1. YES,1. HEAD,
4. South East,1. Abia,111. OSISIOMA NORTH,2. Rural,118,19137,2,,2. NO,,
4. South East,1. Abia,111. OSISIOMA NORTH,2. Rural,118,19138,1,1,1. YES,1. HEAD,
4. South East,1. Abia,111. OSISIOMA NORTH,2. Rural,118,19138,2,2,1. YES,2. SPOUSE,
4. South East,1. Abia,112. UGWUNAGBO,2. Rural,266,19148,1,1,1. YES,1. HEAD,
4. South East,1. Abia,112. UGWUNAGBO,2. Rural,266,19148,2,1,1. YES,1. HEAD,
4. South East,1. Abia,112. UGWUNAGBO,2. Rural,266,19148,3,,2. NO,,
4. South East,1. Abia,112. UGWUNAGBO,2. Rural,266,19150,1,2,1. YES,1. HEAD,
4. South East,1. Abia,112. UGWUNAGBO,2. Rural,266,19150,2,,2. NO,,
4. South East,1. Abia,112. UGWUNAGBO,2. Rural,266,19150,3,2,1. YES,1. HEAD,
4. South East,1. Abia,112. UGWUNAGBO,2. Rural,266,19151,1,2,1. YES,2. SPOUSE,
4. South East,1. Abia,112. UGWUNAGBO,2. Rural,266,19151,2,1,1. YES,1. HEAD,
4. South East,1. Abia,112. UGWUNAGBO,2. Rural,266,19151,3,,2. NO,,
4. South East,1. Abia,112. UGWUNAGBO,2. Rural,266,19152,1,1,1. YES,1. HEAD,
4. South East,1. Abia,112. UGWUNAGBO,2. Rural,266,19152,2,1,1. YES,1. HEAD,
4. South East,1. Abia,112. UGWUNAGBO,2. Rural,266,19152,3,,2. NO,,
4. South East,1. Abia,112. UGWUNAGBO,2. Rural,266,19153,1,1,1. YES,1. HEAD,
4. South East,1. Abia,112. UGWUNAGBO,2. Rural,266,19153,2,2,1. YES,2. SPOUSE,
4. South East,1. Abia,112. UGWUNAGBO,2. Rural,556,19158,1,2,1. YES,2. SPOUSE,
4. South East,1. Abia,112. UGWUNAGBO,2. Rural,556,19158,2,1,1. YES,1. HEAD,
4. South East,1. Abia,112. UGWUNAGBO,2. Rural,556,19158,3,,2. NO,,
4. South East,1. Abia,112. UGWUNAGBO,2. Rural,556,19165,1,,2. NO,,
4. South East,1. Abia,112. UGWUNAGBO,2. Rural,556,19166,1,1,1. YES,1. HEAD,
4. South East,1. Abia,112. UGWUNAGBO,2. Rural,556,19166,2,2,1. YES,2. SPOUSE,
4. South East,1. Abia,112. UGWUNAGBO,2. Rural,556,19166,3,6,1. YES,10. PARENT,
4. South East,1. Abia,112. UGWUNAGBO,2. Rural,556,19166,4,,2. NO,,
4. South East,1. Abia,112. UGWUNAGBO,2. Rural,556,19168,1,1,1. YES,1. HEAD,
4. South East,1. Abia,112. UGWUNAGBO,2. Rural,556,19168,2,2,1. YES,2. SPOUSE,
4. South East,1. Abia,112. UGWUNAGBO,2. Rural,556,19168,3,,2. NO,,
4. South East,1. Abia,113. UKWA EAST,2. Rural,6,19169,1,,2. NO,,
4. South East,1. Abia,113. UKWA EAST,2. Rural,6,19169,2,1,1. YES,1. HEAD,
4. South East,1. Abia,113. UKWA EAST,2. Rural,6,19169,3,,2. NO,,
4. South East,1. Abia,113. UKWA EAST,2. Rural,6,19169,4,2,1. YES,2. SPOUSE,
4. South East,1. Abia,113. UKWA EAST,2. Rural,6,19170,1,1,1. YES,1. HEAD,
4. South East,1. Abia,113. UKWA EAST,2. Rural,6,19170,2,6,1. YES,3. OWN CHILD,
4. South East,1. Abia,113. UKWA EAST,2. Rural,6,19170,3,,2. NO,,
4. South East,1. Abia,113. UKWA EAST,2. Rural,6,19173,1,1,1. YES,1. HEAD,
4. South East,1. Abia,113. UKWA EAST,2. Rural,6,19173,2,2,1. YES,2. SPOUSE,
4. South East,1. Abia,113. UKWA EAST,2. Rural,6,19173,3,1,1. YES,1. HEAD,
4. South East,1. Abia,113. UKWA EAST,2. Rural,6,19175,1,1,1. YES,1. HEAD,
4. South East,1. Abia,113. UKWA EAST,2. Rural,6,19175,2,2,1. YES,2. SPOUSE,
4. South East,1. Abia,113. UKWA EAST,2. Rural,6,19175,3,,2. NO,,
4. South East,1. Abia,113. UKWA EAST,2. Rural,6,19177,1,1,1. YES,1. HEAD,
4. South East,1. Abia,113. UKWA EAST,2. Rural,6,19177,2,,2. NO,,
4. South East,1. Abia,113. UKWA EAST,2. Rural,6,19179,1,1,1. YES,1. HEAD,
4. South East,1. Abia,113. UKWA EAST,2. Rural,6,19179,2,1,1. YES,1. HEAD,
4. South East,1. Abia,113. UKWA EAST,2. Rural,6,19179,3,,2. NO,,
4. South East,1. Abia,113. UKWA EAST,2. Rural,44,19181,1,1,1. YES,1. HEAD,
4. South East,1. Abia,113. UKWA EAST,2. Rural,44,19181,2,,2. NO,,
4. South East,1. Abia,113. UKWA EAST,2. Rural,44,19181,3,,2. NO,,
4. South East,1. Abia,113. UKWA EAST,2. Rural,44,19185,1,1,1. YES,1. HEAD,
4. South East,1. Abia,113. UKWA EAST,2. Rural,44,19185,2,,2. NO,,
4. South East,1. Abia,113. UKWA EAST,2. Rural,44,19185,3,3,1. YES,3. OWN CHILD,
4. South East,1. Abia,113. UKWA EAST,2. Rural,44,19185,4,,2. NO,,
4. South East,1. Abia,113. UKWA EAST,2. Rural,44,19186,1,,2. NO,,
4. South East,1. Abia,113. UKWA EAST,2. Rural,44,19186,2,2,1. YES,2. SPOUSE,
4. South East,1. Abia,113. UKWA EAST,2. Rural,44,19187,1,2,1. YES,2. SPOUSE,
4. South East,1. Abia,113. UKWA EAST,2. Rural,44,19187,2,,2. NO,,
4. South East,1. Abia,113. UKWA EAST,2. Rural,44,19188,1,2,1. YES,2. SPOUSE,
4. South East,1. Abia,113. UKWA EAST,2. Rural,44,19188,2,2,1. YES,2. SPOUSE,
4. South East,1. Abia,113. UKWA EAST,2. Rural,44,19188,3,1,1. YES,1. HEAD,
4. South East,1. Abia,113. UKWA EAST,2. Rural,44,19188,4,6,1. YES,10. PARENT,
4. South East,1. Abia,113. UKWA EAST,2. Rural,44,19188,5,,2. NO,,
4. South East,1. Abia,113. UKWA EAST,2. Rural,284,19193,1,1,1. YES,1. HEAD,
4. South East,1. Abia,113. UKWA EAST,2. Rural,284,19198,1,1,1. YES,1. HEAD,
4. South East,1. Abia,113. UKWA EAST,2. Rural,284,19198,2,,2. NO,,
4. South East,1. Abia,113. UKWA EAST,2. Rural,284,19198,3,1,1. YES,1. HEAD,
4. South East,1. Abia,113. UKWA EAST,2. Rural,284,19198,4,,2. NO,,
4. South East,1. Abia,113. UKWA EAST,2. Rural,284,19199,1,1,1. YES,1. HEAD,
4. South East,1. Abia,113. UKWA EAST,2. Rural,284,19199,2,,2. NO,,
4. South East,1. Abia,113. UKWA EAST,2. Rural,284,19199,3,1,1. YES,1. HEAD,
4. South East,1. Abia,113. UKWA EAST,2. Rural,284,19201,1,1,1. YES,1. HEAD,
4. South East,1. Abia,113. UKWA EAST,2. Rural,284,19201,2,,2. NO,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. Urban,176,19207,1,,2. NO,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. Urban,176,19207,2,2,1. YES,3. OWN CHILD,
4. South East,1. Abia,115. UMUAHIA NORTH,1. Urban,176,19207,3,,2. NO,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. Urban,176,19208,1,1,1. YES,1. HEAD,
4. South East,1. Abia,115. UMUAHIA NORTH,1. Urban,176,19208,2,2,1. YES,2. SPOUSE,
4. South East,1. Abia,115. UMUAHIA NORTH,1. Urban,176,19208,3,,2. NO,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. Urban,176,19209,1,1,1. YES,1. HEAD,
4. South East,1. Abia,115. UMUAHIA NORTH,1. Urban,176,19209,2,5,1. YES,10. PARENT,
4. South East,1. Abia,115. UMUAHIA NORTH,1. Urban,176,19209,3,,2. NO,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. Urban,176,19209,4,,1. YES,2. SPOUSE,
4. South East,1. Abia,115. UMUAHIA NORTH,1. Urban,176,19211,1,1,1. YES,1. HEAD,
4. South East,1. Abia,115. UMUAHIA NORTH,1. Urban,176,19211,2,1,1. YES,1. HEAD,
4. South East,1. Abia,115. UMUAHIA NORTH,1. Urban,176,19211,3,2,1. YES,2. SPOUSE,
4. South East,1. Abia,115. UMUAHIA NORTH,1. Urban,176,19211,4,,2. NO,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. Urban,176,19215,1,1,1. YES,1. HEAD,
4. South East,1. Abia,115. UMUAHIA NORTH,1. Urban,176,19215,2,2,1. YES,2. SPOUSE,
4. South East,1. Abia,115. UMUAHIA NORTH,1. Urban,176,19215,3,2,1. YES,2. SPOUSE,
4. South East,1. Abia,115. UMUAHIA NORTH,1. Urban,176,19215,4,,2. NO,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. Urban,176,19215,5,3,1. YES,3. OWN CHILD,
4. South East,1. Abia,115. UMUAHIA NORTH,1. Urban,550,19222,1,1,1. YES,1. HEAD,
4. South East,1. Abia,115. UMUAHIA NORTH,1. Urban,550,19222,2,2,1. YES,2. SPOUSE,
4. South East,1. Abia,115. UMUAHIA NORTH,1. Urban,550,19222,3,,2. NO,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. Urban,550,19224,1,1,1. YES,1. HEAD,
4. South East,1. Abia,115. UMUAHIA NORTH,1. Urban,550,19224,2,2,1. YES,2. SPOUSE,
4. South East,1. Abia,115. UMUAHIA NORTH,1. Urban,550,19224,3,,2. NO,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. Urban,550,19226,1,1,1. YES,1. HEAD,
4. South East,1. Abia,115. UMUAHIA NORTH,1. Urban,550,19226,2,2,1. YES,2. SPOUSE,
4. South East,1. Abia,115. UMUAHIA NORTH,1. Urban,550,19226,3,,2. NO,,
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,800,19230,1,1,1. YES,1. HEAD,
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,800,19230,2,2,1. YES,2. SPOUSE,
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,800,19230,3,,2. NO,,
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,800,19231,1,1,1. YES,1. HEAD,
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,800,19231,2,2,1. YES,2. SPOUSE,
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,800,19231,3,,2. NO,,
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,800,19232,1,1,1. YES,1. HEAD,
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,800,19232,2,2,1. YES,2. SPOUSE,
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,800,19232,3,,2. NO,,
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,800,19234,1,1,1. YES,1. HEAD,
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,800,19234,2,,2. NO,,
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,800,19238,1,1,1. YES,1. HEAD,
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,800,19238,2,,2. NO,,
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,800,19239,1,1,1. YES,1. HEAD,
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,800,19239,2,,2. NO,,
4. South East,1. Abia,112. UGWUNAGBO,2. Rural,266,19266,1,1,1. YES,1. HEAD,
4. South East,1. Abia,112. UGWUNAGBO,2. Rural,266,19266,2,2,1. YES,2. SPOUSE,
