zone,state,lga,sector,ea,hhid,baseline_date,interviewer_id,wt_round2,s2q0a,s2q0b,s5q1e,s5q1f,s5q1f_os,s5q1a,s5q1a1,s5q1a1_os,s5q1b,s5q1b1,s5q1b1_os,s5q1c,s5q1d,s5q2,s5q3,s5q4,s5q4_os,filter1,s5q4b,s5q5__1,s5q5__2,s5q5__3,s5q5__4,s5q5__5,s5q5__6,s5q5__7,s5q5__96,s5q5_os,s5q6,s5q7__1,s5q7__2,s5q7__3,s5q7__4,s5q7__5,s5q7__6,s5q7__7,emp_case,s6q1,s6q1a,s6q1b,s6q1c,s6q1c_os,s6q3,s6q3_os,s6q3a,s6q3b,s6q3b_os,s6q4a,s6q4b,s6q4b_os,s6q5,s6q6,s6q7,s6q8,s6q8a,s6q8a_os,s6q8b,s6q8c,s6q8d__1,s6q8d__2,s6q8d__3,s6q8d__4,s6q8e,s6q9,s6q10_1,s6q10_2,s6q10_3,s6q10_4,nfe_case,s6q11,s6q11a,s6q11b,s6q11b_os,s6q12,s6q13,s6q14,s6q14_os,s6q15__1,s6q15__2,s6q15__3,s6q15__4,s6q15__5,s6q15__6,s6q15__96,s6q15_os,s6q15a,s6q15b__1,s6q15b__2,s6q15b__3,s6q15b__4,s6q15b__5,s6q15b__6,s6q15b__96,s6q15b_os,s6q16,s6q17,s6q18_1,s6q18_2,s6q18_3,s6q18_os,s6q19,s6q20__1,s6q20__2,s6q20__3,s6q20__4,s6q20__5,s6q20__6,s6q20__7,s6q20__96,s6q20_os,s6q21a__1,s6q21a__2,s6q21a__3,s6q21a__4,s6q21a__5,s6q21a__6,s6q21a__7,s6q21a__8,s6q21a__96,s6q21a_os,s6q21b__1,s6q21b__2,s6q21b__3,s6q21b__4,s6q21b__5,s6q21b__6,s6q21b__7,s6q21b__8,s6q21b__96,s6q21b_os,s6q22__1,s6q22__2,s6q22__3,s6q22__4,s6q22__5,s6q22__6,s6q22__96,s6q22_os,s6q23,s8q1,s8q2,s8q3,s8q4,s8q5,s8q6,s8q7,s8q8,s12q3__0,s12q3__1,s12q3__2,s12q3__3,s12q3__4,s12q3__5,s12q3__6,s12q3__7,s12q4__0,s12q4__1,s12q4__2,s12q4__3,s12q5,s12q9,s12q10,s12q10a,s12q10_os,s12q11,s12q14
5. South South,3. Akwa Ibom,327. UDUNG UKO,2. Rural,196,39147,April 21,18,3028.9426644533173,2. NO,2. NO,"1. YES, AT LEAST ONCE",10. CANNOT AFFORD IT,,2. NO,7. CANNOT AFFORD IT,,1. YES,,,4. Some of the time,1. All of the time,2. NO,,,,2. NO,,,,,,,,,,,,,,,,,,,1. WORKING BEFORE MID-MARCH BUT NOT AT BASELINE,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing",,,,,,,,,,,,2. NO,,,,,3. NFE WAS NOT OPERATING BEFORE MID-MARCH NOR AT BASELINE,1. YES,1. Open,,,"9. PERSONAL SERVICES, EDUCATION, HEALTH, CULTURE, SPORT, DOMESTIC WORK, OTHER",,,,1. YES,1. YES,1. YES,1. YES,1. YES,2. NO,2. NO,,2. NO,,,,,,,,,1. YES,,1080. MAIZE,9999. OTHER CROP (SPECIFY),1020. CASSAVA,CUCUMBER,1. YES,0,0,1,1,0,1,0,0,,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,0,0,0,0,0,0,0,1,0,0,1,1,1. COMPLETE,1,6. IBIBIO,,,0,2020-06-16T13:13:01
5. South South,3. Akwa Ibom,327. UDUNG UKO,2. Rural,196,39153,May 04,17,2836.1431502639484,2. NO,2. NO,"2. NO, ALWAYS SUFFICIENT",,,1. YES,,,1. YES,,,1. All of the time,6. I have not been in public during the last 7 days,2. NO,,,,2. NO,,,,,,,,,,,,,,,,,,,3. NOT WORKING BEFORE MID-MARCH NOR AT BASELINE,1. YES,,,,,,,,,,,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing",,,,,,,,,,,,2. NO,,,,,3. NFE WAS NOT OPERATING BEFORE MID-MARCH NOR AT BASELINE,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,1. YES,,1020. CASSAVA,1124. YAM,1080. MAIZE,,3. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,2. NO,1. YES,2. NO,1,0,0,0,0,0,0,0,0,0,0,1,1. COMPLETE,1,1. ENGLISH,,,0,2020-06-07T16:41:33
5. South South,3. Akwa Ibom,327. UDUNG UKO,2. Rural,246,39155,May 08,17,19023.170532593784,2. NO,2. NO,"2. NO, ALWAYS SUFFICIENT",,,1. YES,,,1. YES,,,1. All of the time,1. All of the time,2. NO,,,,1. YES,1. YES,0,0,0,0,1,1,0,0,,1. YES,0,0,0,1,0,0,0,2. WORKING AT BASELINE,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing",,,,,,,,,,,,2. NO,,,,,2. NFE WAS OPERATING AT BASELINE,,3. Permanently closed,5. CAN'T TRAVEL / TRANSPORT GOODS FOR TRADE,,"5. BUYING &amp; SELLING GOODS, REPAIR OF GOODS, HOTELS &amp; RESTAURANTS",,,,,,,,,,,,,,,,,,,,,1. YES,,1020. CASSAVA,1124. YAM,1080. MAIZE,,3. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,1. YES,1. YES,1. YES,1. YES,1. YES,2. NO,1. YES,2. NO,1,0,0,0,0,0,0,0,0,0,1,0,1. COMPLETE,2,2. PIDGIN,2. NO,,0,2020-06-09T15:08:15
5. South South,3. Akwa Ibom,327. UDUNG UKO,2. Rural,246,39157,April 23,18,8736.7414230171,2. NO,2. NO,"2. NO, ALWAYS SUFFICIENT",,,2. NO,7. CANNOT AFFORD IT,,1. YES,,,1. All of the time,1. All of the time,2. NO,,,,2. NO,,,,,,,,,,,,,,,,,,,3. NOT WORKING BEFORE MID-MARCH NOR AT BASELINE,1. YES,,,,,,,,,,,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing",,,,,,,,,,,,2. NO,,,,,3. NFE WAS NOT OPERATING BEFORE MID-MARCH NOR AT BASELINE,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,1. YES,,1020. CASSAVA,1080. MAIZE,2170. PLANTAIN,,3. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,6. IBIBIO,,,0,2020-06-12T19:12:19
5. South South,3. Akwa Ibom,327. UDUNG UKO,2. Rural,246,39160,April 27,11,5360.646796868512,2. NO,2. NO,"2. NO, ALWAYS SUFFICIENT",,,1. YES,,,1. YES,,,1. All of the time,1. All of the time,2. NO,,,,1. YES,1. YES,0,1,1,1,1,0,0,0,,2. NO,,,,,,,,1. WORKING BEFORE MID-MARCH BUT NOT AT BASELINE,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing",,,,,,,,,,,,2. NO,,,,,3. NFE WAS NOT OPERATING BEFORE MID-MARCH NOR AT BASELINE,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,1. YES,,1020. CASSAVA,1124. YAM,9999. OTHER CROP (SPECIFY),Wateryam,1. YES,0,0,0,0,0,0,1,0,,1,1,1,1,1,1,0,1,0,,,,,,,,,,,,0,1,0,1,0,0,0,,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,2. NO,2. NO,2. NO,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,1. ENGLISH,,,0,2020-06-07T13:49:43
5. South South,3. Akwa Ibom,329. URUAN,2. Rural,608,39167,May 08,11,15130.341982727761,2. NO,2. NO,"2. NO, ALWAYS SUFFICIENT",,,1. YES,,,1. YES,,,6. I have not been in public during the last 7 days,6. I have not been in public during the last 7 days,2. NO,,,,1. YES,1. YES,1,0,1,1,1,0,0,0,,1. YES,1,0,0,1,1,0,0,2. WORKING AT BASELINE,2. NO,1. YES,1. WITHIN ONE WEEK,96. OTHER (SPECIFY),rest small,,,,,,1. YES,,,"9. PERSONAL SERVICES, EDUCATION, HEALTH, CULTURE, SPORT, DOMESTIC WORK, OTHER",4. As an employee for a private company or another individual (not household member),1. YES,,,,,,1. YES,1. YES,2. NO,2. NO,2. NO,2. NO,,,,,2. NFE WAS OPERATING AT BASELINE,,1. Open,,,"5. BUYING &amp; SELLING GOODS, REPAIR OF GOODS, HOTELS &amp; RESTAURANTS",3. Less,2. USUAL PLACE OF BUSINESS CLOSED FOR ANOTHER REASON,,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,2. NO,,2. NO,,,,,,,,,1. YES,,1080. MAIZE,1020. CASSAVA,9999. OTHER CROP (SPECIFY),pumpkin,3. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1. YES,2. NO,2. NO,2. NO,1. YES,1. YES,2. NO,2. NO,2. NO,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,2. PIDGIN,2. NO,,0,2020-06-10T18:19:57
5. South South,3. Akwa Ibom,329. URUAN,2. Rural,608,39175,April 30,17,20873.94114979462,2. NO,2. NO,"2. NO, ALWAYS SUFFICIENT",,,1. YES,,,1. YES,,,1. All of the time,5. None of the time,2. NO,,,,2. NO,,,,,,,,,,,,,,,,,,,2. WORKING AT BASELINE,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing",,,,,,,,,,,,2. NO,,,,,3. NFE WAS NOT OPERATING BEFORE MID-MARCH NOR AT BASELINE,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,1. YES,,1020. CASSAVA,1080. MAIZE,1124. YAM,,3. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,2. NO,2. NO,2. NO,1. YES,2. NO,2. NO,1. YES,2. NO,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,2,2. PIDGIN,2. NO,,0,2020-06-09T11:16:21
5. South South,3. Akwa Ibom,316. MBO,2. Rural,910,39185,May 04,11,10170.01828732398,2. NO,2. NO,"2. NO, ALWAYS SUFFICIENT",,,1. YES,,,1. YES,,,1. All of the time,1. All of the time,1. YES,1. YES,,,2. NO,,,,,,,,,,,,,,,,,,,3. NOT WORKING BEFORE MID-MARCH NOR AT BASELINE,1. YES,,,,,,,,,,,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing",,,,,,,,,,,,2. NO,,,,,3. NFE WAS NOT OPERATING BEFORE MID-MARCH NOR AT BASELINE,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,1. YES,,1124. YAM,9999. OTHER CROP (SPECIFY),,"waterleaf, pumpkin",3. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,1. ENGLISH,,,0,2020-06-09T10:13:45
5. South South,3. Akwa Ibom,316. MBO,2. Rural,910,39186,May 02,11,8695.467043563633,2. NO,2. NO,"2. NO, ALWAYS SUFFICIENT",,,1. YES,,,1. YES,,,1. All of the time,1. All of the time,1. YES,1. YES,,,2. NO,,,,,,,,,,,,,,,,,,,1. WORKING BEFORE MID-MARCH BUT NOT AT BASELINE,1. YES,,,,,,,,,,1. YES,,,,1. In your own non-farm business,,,,,,,,,,,,2. NO,,,,,4. RESPONDENT WORKED IN NFE LAST WEEK AND NFE WAS OPERATING AT BASELINE,,2. Temporarily closed,1. USUAL PLACE OF BUSINESS CLOSED DUE TO CORONAVIRUS LEGAL RESTRICTIONS,,"9. PERSONAL SERVICES, EDUCATION, HEALTH, CULTURE, SPORT, DOMESTIC WORK, OTHER",,,,1. YES,1. YES,1. YES,1. YES,2. NO,1. YES,2. NO,,2. NO,,,,,,,,,1. YES,,1080. MAIZE,1020. CASSAVA,9999. OTHER CROP (SPECIFY),pumpkin,3. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,2. PIDGIN,2. NO,,0,2020-06-05T14:38:12
5. South South,3. Akwa Ibom,317. MKPAT ENIN,2. Rural,586,39187,May 08,9,4532.766213574912,2. NO,2. NO,"2. NO, ALWAYS SUFFICIENT",,,1. YES,,,1. YES,,,1. All of the time,2. Most of the time,2. NO,,,,1. YES,2. NO,,,,,,,,,,2. NO,,,,,,,,1. WORKING BEFORE MID-MARCH BUT NOT AT BASELINE,2. NO,2. NO,,,,,,1. YES,"8. CHECK AT FACTORIES, WORK SITES",,,,,,,,,,,,,,,,,,2. NO,,,,,3. NFE WAS NOT OPERATING BEFORE MID-MARCH NOR AT BASELINE,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,"3. NO, MY HOUSEHOLD DOESN'T HAVE A FARM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,2. NO,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,2,2. PIDGIN,2. NO,,1,2020-06-05T09:44:22
5. South South,3. Akwa Ibom,304. ESSIEN UDIM,2. Rural,184,39193,May 10,11,7141.474616986021,2. NO,2. NO,"2. NO, ALWAYS SUFFICIENT",,,1. YES,,,1. YES,,,4. Some of the time,4. Some of the time,2. NO,,,,1. YES,1. YES,0,1,0,1,1,0,1,0,,1. YES,1,0,0,0,1,1,1,2. WORKING AT BASELINE,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing",,,,,,,,,,,,2. NO,,,,,3. NFE WAS NOT OPERATING BEFORE MID-MARCH NOR AT BASELINE,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,1. YES,,1080. MAIZE,1020. CASSAVA,9999. OTHER CROP (SPECIFY),watermelon,3. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,2,2. PIDGIN,2. NO,,0,2020-06-14T16:06:06
4. South East,4. Anambra,417. ONITSHA NORTH,1. Urban,678,40012,April 23,6,29292.1258858911,2. NO,2. NO,"2. NO, ALWAYS SUFFICIENT",,,1. YES,,,1. YES,,,2. Most of the time,1. All of the time,2. NO,,,,1. YES,1. YES,0,0,0,0,0,0,1,0,,2. NO,,,,,,,,3. NOT WORKING BEFORE MID-MARCH NOR AT BASELINE,2. NO,1. YES,1. WITHIN ONE WEEK,6. ILL / QUARANTINED,,,,,,,,,,"5. BUYING &amp; SELLING GOODS, REPAIR OF GOODS, HOTELS &amp; RESTAURANTS",1. In your own non-farm business,,,,,,,,,,,,2. NO,,,,,5. RESPONDENT WORKED IN NFE LAST WEEK BUT NFE WAS NOT OPERATING AT BASELINE,,2. Temporarily closed,1. USUAL PLACE OF BUSINESS CLOSED DUE TO CORONAVIRUS LEGAL RESTRICTIONS,,"5. BUYING &amp; SELLING GOODS, REPAIR OF GOODS, HOTELS &amp; RESTAURANTS",,,,1. YES,1. YES,1. YES,1. YES,2. NO,1. YES,2. NO,,2. NO,,,,,,,,,"3. NO, MY HOUSEHOLD DOESN'T HAVE A FARM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,0,0,0,1,1,1,1,0,0,0,1,0,1. COMPLETE,2,5. IGBO,,,0,2020-06-03T07:27:36
5. South South,12. Edo,1209. ETSAKO WEST,2. Rural,0,40013,April 30,9,39070.78282909809,2. NO,2. NO,"2. NO, ALWAYS SUFFICIENT",,,1. YES,,,1. YES,,,1. All of the time,2. Most of the time,2. NO,,,,2. NO,,,,,,,,,,,,,,,,,,,1. WORKING BEFORE MID-MARCH BUT NOT AT BASELINE,1. YES,,,,,,,,,,1. YES,,,,1. In your own non-farm business,,,,,,,,,,,,2. NO,,,,,5. RESPONDENT WORKED IN NFE LAST WEEK BUT NFE WAS NOT OPERATING AT BASELINE,,1. Open,,,"5. BUYING &amp; SELLING GOODS, REPAIR OF GOODS, HOTELS &amp; RESTAURANTS",,,,1. YES,1. YES,1. YES,1. YES,2. NO,1. YES,2. NO,,2. NO,,,,,,,,,"3. NO, MY HOUSEHOLD DOESN'T HAVE A FARM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,2. NO,2. NO,1. YES,1. YES,2. NO,2. NO,2. NO,1. YES,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,3,2. PIDGIN,2. NO,,0,2020-06-05T19:10:59
4. South East,4. Anambra,417. ONITSHA NORTH,1. Urban,678,40017,May 02,15,25173.111944757937,2. NO,2. NO,"1. YES, AT LEAST ONCE",10. CANNOT AFFORD IT,,1. YES,,,1. YES,,,1. All of the time,6. I have not been in public during the last 7 days,2. NO,,,,2. NO,,,,,,,,,,,,,,,,,,,1. WORKING BEFORE MID-MARCH BUT NOT AT BASELINE,1. YES,,,,,,,,,,1. YES,,,,2. In a non-farm business operated by a household member,,,,,,,,,,,,2. NO,,,,,1. NFE OPERATING BEFORE MID-MARCH BUT NOT AT BASELINE,,1. Open,,,"5. BUYING &amp; SELLING GOODS, REPAIR OF GOODS, HOTELS &amp; RESTAURANTS",,,,2. NO,1. YES,1. YES,1. YES,1. YES,2. NO,2. NO,,2. NO,,,,,,,,,"3. NO, MY HOUSEHOLD DOESN'T HAVE A FARM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1. YES,1. YES,1. YES,1. YES,2. NO,1. YES,2. NO,2. NO,2. NO,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,5. IGBO,,,0,2020-06-05T07:56:52
4. South East,4. Anambra,417. ONITSHA NORTH,1. Urban,678,40019,April 20,15,34464.82765179546,2. NO,2. NO,"2. NO, ALWAYS SUFFICIENT",,,1. YES,,,1. YES,,,4. Some of the time,1. All of the time,2. NO,,,,1. YES,1. YES,0,0,1,0,1,1,1,0,,1. YES,0,0,0,1,0,0,0,1. WORKING BEFORE MID-MARCH BUT NOT AT BASELINE,1. YES,,,,,,,,,,1. YES,,,,4. As an employee for a private company or another individual (not household member),2. NO,3. No payment,96. OTHER (SPECIFY),NO CUSTOMERS,70,2. Same number of hours,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,,,,,3. NFE WAS NOT OPERATING BEFORE MID-MARCH NOR AT BASELINE,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,"3. NO, MY HOUSEHOLD DOESN'T HAVE A FARM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,5,5. IGBO,,,0,2020-06-06T16:39:53
4. South East,4. Anambra,417. ONITSHA NORTH,1. Urban,678,40020,April 24,2,34266.49116150993,2. NO,2. NO,"2. NO, ALWAYS SUFFICIENT",,,1. YES,,,1. YES,,,1. All of the time,1. All of the time,2. NO,,,,1. YES,1. YES,0,0,0,0,1,1,0,0,,2. NO,,,,,,,,1. WORKING BEFORE MID-MARCH BUT NOT AT BASELINE,1. YES,,,,,,,,,,1. YES,,,,1. In your own non-farm business,,,,,,,,,,,,2. NO,,,,,1. NFE OPERATING BEFORE MID-MARCH BUT NOT AT BASELINE,,1. Open,,,"5. BUYING &amp; SELLING GOODS, REPAIR OF GOODS, HOTELS &amp; RESTAURANTS",,,,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,2. NO,,1. YES,1,1,1,0,0,1,0,,1. YES,,1124. YAM,1020. CASSAVA,1080. MAIZE,,1. YES,0,1,0,0,0,0,0,0,,1,1,1,1,1,0,1,1,0,,,,,,,,,,,,0,0,0,1,0,0,0,,2. NO,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,5. IGBO,,,0,2020-06-12T13:40:29
4. South East,4. Anambra,421. OYI,1. Urban,0,40176,April 23,2,7340.83095997128,2. NO,2. NO,"2. NO, ALWAYS SUFFICIENT",,,1. YES,,,1. YES,,,1. All of the time,1. All of the time,2. NO,,,,1. YES,2. NO,,,,,,,,,,2. NO,,,,,,,,2. WORKING AT BASELINE,2. NO,1. YES,1. WITHIN ONE WEEK,1. BUSINESS / OFFICE CLOSED DUE TO CORONAVIRUS LEGAL RESTRICTIONS,,,,,,,1. YES,,,"5. BUYING &amp; SELLING GOODS, REPAIR OF GOODS, HOTELS &amp; RESTAURANTS",1. In your own non-farm business,,,,,,,,,,,,2. NO,,,,,1. NFE OPERATING BEFORE MID-MARCH BUT NOT AT BASELINE,,2. Temporarily closed,1. USUAL PLACE OF BUSINESS CLOSED DUE TO CORONAVIRUS LEGAL RESTRICTIONS,,"5. BUYING &amp; SELLING GOODS, REPAIR OF GOODS, HOTELS &amp; RESTAURANTS",,,,1. YES,1. YES,1. YES,2. NO,2. NO,1. YES,2. NO,,1. YES,1,1,1,1,0,1,0,,1. YES,,1124. YAM,1020. CASSAVA,9999. OTHER CROP (SPECIFY),okro,3. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1. YES,2. NO,2. NO,2. NO,2. NO,1. YES,2. NO,2. NO,2. NO,1,0,0,0,0,0,0,0,0,0,0,1,1. COMPLETE,1,5. IGBO,,,0,2020-06-08T11:16:42
4. South East,4. Anambra,421. OYI,1. Urban,800,40178,April 26,2,7986.838913671008,2. NO,2. NO,"2. NO, ALWAYS SUFFICIENT",,,1. YES,,,1. YES,,,2. Most of the time,4. Some of the time,2. NO,,,,2. NO,,,,,,,,,,,,,,,,,,,1. WORKING BEFORE MID-MARCH BUT NOT AT BASELINE,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing",,,,,,,,,,,,2. NO,,,,,3. NFE WAS NOT OPERATING BEFORE MID-MARCH NOR AT BASELINE,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,1. YES,,1124. YAM,1020. CASSAVA,1080. MAIZE,,3. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1,0,0,0,0,0,0,0,0,0,0,1,1. COMPLETE,1,5. IGBO,,,1,2020-06-06T21:00:00
4. South East,4. Anambra,421. OYI,1. Urban,800,40180,April 28,15,9053.27416036802,2. NO,2. NO,"2. NO, ALWAYS SUFFICIENT",,,2. NO,7. CANNOT AFFORD IT,,1. YES,,,1. All of the time,1. All of the time,2. NO,,,,1. YES,1. YES,0,0,0,0,1,1,0,0,,2. NO,,,,,,,,3. NOT WORKING BEFORE MID-MARCH NOR AT BASELINE,1. YES,,,,,,,,,,,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing",,,,,,,,,,,,1. YES,102,,,,3. NFE WAS NOT OPERATING BEFORE MID-MARCH NOR AT BASELINE,1. YES,1. Open,,,"5. BUYING &amp; SELLING GOODS, REPAIR OF GOODS, HOTELS &amp; RESTAURANTS",,,,2. NO,1. YES,2. NO,2. NO,2. NO,2. NO,2. NO,,1. YES,1,1,1,1,1,0,0,,1. YES,,1080. MAIZE,9999. OTHER CROP (SPECIFY),1020. CASSAVA,pumpkin,1. YES,0,1,0,0,1,0,0,0,,1,1,1,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,2. NO,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,5. IGBO,,,0,2020-06-16T18:58:32
4. South East,4. Anambra,402. ANAMBRA EAST,2. Rural,1080,40202,May 03,2,7898.895719259181,1. YES,2. NO,"2. NO, ALWAYS SUFFICIENT",,,1. YES,,,1. YES,,,1. All of the time,1. All of the time,2. NO,,,,1. YES,2. NO,,,,,,,,,,2. NO,,,,,,,,2. WORKING AT BASELINE,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing",,,,,,,,,,,,2. NO,,,,,2. NFE WAS OPERATING AT BASELINE,,1. Open,,,"5. BUYING &amp; SELLING GOODS, REPAIR OF GOODS, HOTELS &amp; RESTAURANTS",1. Higher,,,2. NO,1. YES,1. YES,2. NO,1. YES,1. YES,1. YES,lack of fund for the bussiness,2. NO,,,,,,,,,1. YES,,1124. YAM,1020. CASSAVA,1080. MAIZE,,1. YES,0,1,0,0,0,0,0,0,,1,1,1,1,1,1,0,1,0,,,,,,,,,,,,0,0,1,1,0,1,0,,1. YES,2. NO,2. NO,1. YES,1. YES,1. YES,1. YES,2. NO,1. YES,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,2,5. IGBO,,,0,2020-06-14T16:18:09
4. South East,4. Anambra,402. ANAMBRA EAST,2. Rural,1080,40208,May 04,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3. REFUSED,,,,,,2020-06-13T13:51:22
6. South West,24. Lagos,406. AWKA SOUTH,1. Urban,0,40210,May 05,6,6014.028943173245,2. NO,2. NO,"2. NO, ALWAYS SUFFICIENT",,,2. NO,7. CANNOT AFFORD IT,,1. YES,,,2. Most of the time,5. None of the time,2. NO,,,,2. NO,,,,,,,,,,,,,,,,,,,2. WORKING AT BASELINE,1. YES,,,,,,,,,,1. YES,,,"6. TRANSPORT, DRIVING, POST, TRAVEL AGENCIES",5. As an employee for the government,1. YES,,,,77,2. Same number of hours,2. NO,2. NO,2. NO,2. NO,1. YES,2. NO,,,,,3. NFE WAS NOT OPERATING BEFORE MID-MARCH NOR AT BASELINE,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,"3. NO, MY HOUSEHOLD DOESN'T HAVE A FARM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,2. NO,1. YES,1. YES,2. NO,1. YES,2. NO,1. YES,2. NO,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,2,1. ENGLISH,,,0,2020-06-12T16:21:53
