zone,state,lga,sector,ea,hhid,source_cd,s7q1
4. South East,1. Abia,102. ABA SOUTH,1. Urban,2486,19035,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,2. NO
4. South East,1. Abia,102. ABA SOUTH,1. Urban,2486,19035,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,2. NO
4. South East,1. Abia,102. ABA SOUTH,1. Urban,2486,19035,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",2. NO
4. South East,1. Abia,102. ABA SOUTH,1. Urban,2486,19035,8. PENSION,2. NO
4. South East,1. Abia,104. BENDE,2. Rural,412,19038,4. REMITTANCES FROM ABROAD,2. NO
4. South East,1. Abia,104. BENDE,2. Rural,412,19038,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,1. YES
4. South East,1. Abia,104. BENDE,2. Rural,412,19038,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,2. NO
4. South East,1. Abia,104. BENDE,2. Rural,412,19038,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",2. NO
4. South East,1. Abia,104. BENDE,2. Rural,412,19038,8. PENSION,2. NO
4. South East,1. Abia,104. BENDE,2. Rural,412,19041,4. REMITTANCES FROM ABROAD,2. NO
4. South East,1. Abia,104. BENDE,2. Rural,412,19041,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,2. NO
4. South East,1. Abia,104. BENDE,2. Rural,412,19041,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,2. NO
4. South East,1. Abia,104. BENDE,2. Rural,412,19041,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",2. NO
4. South East,1. Abia,104. BENDE,2. Rural,412,19041,8. PENSION,2. NO
4. South East,1. Abia,104. BENDE,2. Rural,412,19044,4. REMITTANCES FROM ABROAD,1. YES
4. South East,1. Abia,104. BENDE,2. Rural,412,19044,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,1. YES
4. South East,1. Abia,104. BENDE,2. Rural,412,19044,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,2. NO
4. South East,1. Abia,104. BENDE,2. Rural,412,19044,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",2. NO
4. South East,1. Abia,104. BENDE,2. Rural,412,19044,8. PENSION,2. NO
4. South East,1. Abia,104. BENDE,2. Rural,412,19045,4. REMITTANCES FROM ABROAD,2. NO
4. South East,1. Abia,104. BENDE,2. Rural,412,19045,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,2. NO
4. South East,1. Abia,104. BENDE,2. Rural,412,19045,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,2. NO
4. South East,1. Abia,104. BENDE,2. Rural,412,19045,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",2. NO
4. South East,1. Abia,104. BENDE,2. Rural,412,19045,8. PENSION,2. NO
4. South East,1. Abia,104. BENDE,2. Rural,1020,19051,4. REMITTANCES FROM ABROAD,2. NO
4. South East,1. Abia,104. BENDE,2. Rural,1020,19051,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,2. NO
4. South East,1. Abia,104. BENDE,2. Rural,1020,19051,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,2. NO
4. South East,1. Abia,104. BENDE,2. Rural,1020,19051,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",2. NO
4. South East,1. Abia,104. BENDE,2. Rural,1020,19051,8. PENSION,2. NO
4. South East,1. Abia,104. BENDE,2. Rural,1020,19058,4. REMITTANCES FROM ABROAD,2. NO
4. South East,1. Abia,104. BENDE,2. Rural,1020,19058,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,2. NO
4. South East,1. Abia,104. BENDE,2. Rural,1020,19058,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,2. NO
4. South East,1. Abia,104. BENDE,2. Rural,1020,19058,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",2. NO
4. South East,1. Abia,104. BENDE,2. Rural,1020,19058,8. PENSION,2. NO
4. South East,1. Abia,104. BENDE,2. Rural,1020,19060,4. REMITTANCES FROM ABROAD,2. NO
4. South East,1. Abia,104. BENDE,2. Rural,1020,19060,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,2. NO
4. South East,1. Abia,104. BENDE,2. Rural,1020,19060,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,2. NO
4. South East,1. Abia,104. BENDE,2. Rural,1020,19060,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",2. NO
4. South East,1. Abia,104. BENDE,2. Rural,1020,19060,8. PENSION,2. NO
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,10,19062,4. REMITTANCES FROM ABROAD,2. NO
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,10,19062,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,2. NO
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,10,19062,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,2. NO
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,10,19062,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",2. NO
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,10,19062,8. PENSION,2. NO
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,10,19063,4. REMITTANCES FROM ABROAD,2. NO
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,10,19063,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,2. NO
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,10,19063,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,2. NO
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,10,19063,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",2. NO
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,10,19063,8. PENSION,2. NO
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,10,19064,4. REMITTANCES FROM ABROAD,2. NO
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,10,19064,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,1. YES
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,10,19064,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,2. NO
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,10,19064,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",2. NO
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,10,19064,8. PENSION,2. NO
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,10,19071,4. REMITTANCES FROM ABROAD,2. NO
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,10,19071,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,2. NO
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,10,19071,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,2. NO
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,10,19071,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",2. NO
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,10,19071,8. PENSION,2. NO
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,10,19072,4. REMITTANCES FROM ABROAD,2. NO
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,10,19072,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,2. NO
