zone,state,lga,sector,ea,hhid,interviewer_id,wt_round5,wt_r5panel,s2q0a,s2q0b,filter1,s5cq1,s5cq2__1,s5cq2__2,s5cq2__14,s5cq2__3,s5cq2__4,s5cq2__5,s5cq2__6,s5cq2__7,s5cq2__8,s5cq2__9,s5cq2__10,s5cq2__11,s5cq2__12,s5cq2__13,s5cq2__96,s5cq2_os,s5cq3,s5cq4__1,s5cq4__2,s5cq4__3,s5cq4__4,s5cq4__5,s5cq4__6,s5cq4__7,s5cq4__8,s5cq4__9,s5cq4__10,s5cq4__11,s5cq4__99,s5cq4__98,s5cq5,filter2,s5cq6,s5cq7__1,s5cq7__2,s5cq7__3,s5cq7__4,s5cq7__5,s5cq7__6,s5cq7__7,s5cq7__96,s5cq7_os,s5cq8,s5cq9__1,s5cq9__2,s5cq9__3,s5cq9__4,s5cq9__5,s5cq9__6,s5cq9__7,emp_case,emp_respondent,s6q1,s6q1a,s6q1b,s6q1c,s6q1c_os,s6q3,s6q3_os,s6q3a,s6q3b,s6q3b_os,s6q4a,s6q4b,s6q4b_os,s6q5,s6q6,s6q6a,s6q8b1,s6q8c1,nfe_case,s6q11,s6q11a,s6q11b,s6q11b_os,s6q11b1,s6q11c,s6q12,s6q13,s6q14,s6q14_os,crop_filter1,s6q16,s6aq9,s6aq12,s6aq10,crop_filter2,s6aq11,livest_filter3,s6bq1,s6bq6a,s6bq6,livest_filter4,s6bq7,s12q3__0,s12q3__1,s12q3__2,s12q3__3,s12q3__4,s12q3__5,s12q3__6,s12q3__7,s12q4__0,s12q4__1,s12q4__2,s12q4__3,s12q5,s12q9,s12q10,s12q10_os,s12q10a,s12q11,s12q14
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,1044,10067,1,8025.786319581582,8386.377301307586,2. NO,2. NO,1. YES,2. NO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1. YES,1. YES,0,0,0,0,0,0,1,0,,2. NO,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 4 INTERVIEW,2,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family",25,25,2. NFE WAS OPERATING AT ROUND 4,,,,,,,,,,,1. YES,,2. Higher,1. YES,,1. YES,1. Much higher,1. YES,,2. NO,,2. NO,,0,0,0,0,0,0,0,1,0,0,0,1,1. COMPLETE,2,1. ENGLISH,,,1,2020-09-08T10:12:35
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,1044,10069,6,11963.372202451024,14418.489377655369,2. NO,2. NO,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 4 INTERVIEW,13,2. NO,1. YES,1. WITHIN ONE WEEK,6. ILL / QUARANTINED,,,,,,,,,,"1. AGRICULTURE, HUNTING, FISHING",,,,,3. NFE WAS NOT OPERATING OR PERMANENTLY CLOSED AT ROUND 4,2. NO,,,,,,,,,,1. YES,,2. Higher,1. YES,,1. YES,2. Higher,2. NO,1. YES,1. YES,1. YES,3. NO PREVIOUS RESPONSE,2. Higher,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,13,5. IGBO,,,0,2020-09-10T11:57:54
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,560,10071,2,3484.026354181783,3807.1184230934964,2. NO,2. NO,1. YES,1. YES,,,,,,,,,,,,,,,,,,1,1,1,1,0,1,1,1,1,0,0,0,0,3. Satisfied,2. NO,,,,,,,,,,,,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 4 INTERVIEW,1,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING",1. In your own non-farm business,,18,18,2. NFE WAS OPERATING AT ROUND 4,,1. Open,,,,,,1. Higher than in July,,,1. YES,,4. Lower,1. YES,,1. YES,4. Lower,1. YES,,1. YES,,1. YES,4. Lower,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,5. IGBO,,,0,2020-09-09T13:43:49
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,560,10077,15,6306.510556628707,5657.648099546541,2. NO,2. NO,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 4 INTERVIEW,2,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING",4. As an employee for a private company or another individual (not household member),,16,30,3. NFE WAS NOT OPERATING OR PERMANENTLY CLOSED AT ROUND 4,2. NO,,,,,,,,,,2. NO,,,,,4. NOT APPLICABLE,,2. NO,2. NO,,,3. NO PREVIOUS RESPONSE,,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,2,1. ENGLISH,,,0,2020-09-14T18:45:03
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,560,10079,6,6428.371819782401,6361.846869119903,2. NO,2. NO,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 4 INTERVIEW,1,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing",2. Only for family consumption,24,24,2. NFE WAS OPERATING AT ROUND 4,,1. Open,,,,,,2. The same as in July,,,1. YES,,98. DON'T KNOW,2. NO,,2. NO,,2. NO,1. YES,2. NO,,3. NO PREVIOUS RESPONSE,,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,5. IGBO,,,0,2020-09-09T18:47:40
4. South East,1. Abia,105. IKWUANO,2. Rural,638,10096,6,7128.960929532543,8591.962675467541,2. NO,2. NO,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 4 INTERVIEW,5,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family",24,36,3. NFE WAS NOT OPERATING OR PERMANENTLY CLOSED AT ROUND 4,2. NO,,,,,,,,,,1. YES,,2. Higher,1. YES,,1. YES,98. DON'T KNOW,2. NO,2. NO,,,3. NO PREVIOUS RESPONSE,,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,5,1. ENGLISH,,,0,2020-09-08T11:14:54
4. South East,1. Abia,108. ISUIKWATO,2. Rural,904,10103,15,12249.650783997167,13977.11428590981,2. NO,2. NO,1. YES,2. NO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1. YES,1. YES,0,0,1,1,1,1,0,0,,2. NO,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 4 INTERVIEW,4,1. YES,,,,,,,,,,1. YES,,,,1. In your own non-farm business,,64,64,2. NFE WAS OPERATING AT ROUND 4,,1. Open,,,,,,1. Higher than in July,,,1. YES,,2. Higher,1. YES,,1. YES,2. Higher,1. YES,,1. YES,,1. YES,3. The same,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,4,5. IGBO,,,0,2020-09-11T20:41:46
4. South East,1. Abia,108. ISUIKWATO,2. Rural,904,10106,15,9862.483478671274,14238.75274059348,2. NO,2. NO,1. YES,1. YES,,,,,,,,,,,,,,,,,,1,1,1,1,0,0,1,1,0,0,1,0,0,3. Satisfied,2. NO,,,,,,,,,,,,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 4 INTERVIEW,2,1. YES,,,,,,,,,,2. NO,8. SEASONAL WORKER,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family",22.5,40,2. NFE WAS OPERATING AT ROUND 4,,1. Open,,,,,,1. Higher than in July,,,1. YES,,4. Lower,1. YES,,1. YES,4. Lower,1. YES,,2. NO,,1. YES,,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,2,5. IGBO,,,0,2020-09-08T11:27:03
4. South East,1. Abia,108. ISUIKWATO,2. Rural,904,10108,2,15207.999289540132,16792.741062089328,2. NO,2. NO,1. YES,2. NO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1. YES,2. NO,,,,,,,,,,2. NO,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 4 INTERVIEW,3,1. YES,,,,,,,,,,2. NO,13. FOCUS ON ANOTHER ACTIVITY,,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",1. In your own non-farm business,,28,28,2. NFE WAS OPERATING AT ROUND 4,,1. Open,,,,,,3. Less than in July,4. CAN'T GET INPUTS,,1. YES,,1. Much higher,1. YES,,1. YES,2. Higher,2. NO,2. NO,,,3. NO PREVIOUS RESPONSE,,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,3,5. IGBO,,,0,2020-09-11T19:08:05
4. South East,1. Abia,102. ABA SOUTH,1. Urban,46,19001,15,7625.483186065294,8099.500357451584,2. NO,2. NO,1. YES,2. NO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1. YES,1. YES,1,0,0,0,1,1,1,0,,1. YES,0,0,0,1,0,0,0,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 4 INTERVIEW,1,2. NO,1. YES,1. WITHIN ONE WEEK,6. ILL / QUARANTINED,,,,,,,,,,"2. MINING, MANUFACTURING",,,,,1. NFE TEMPORARILY CLOSED AT LAST INTERVIEW,,2. Temporarily closed,7. ILL WITH ANOTHER DISEASE,,2. NO,,,,,,2. NO,,,,,4. NOT APPLICABLE,,2. NO,2. NO,,,3. NO PREVIOUS RESPONSE,,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,5. IGBO,,,0,2020-09-14T09:52:14
4. South East,1. Abia,102. ABA SOUTH,1. Urban,46,19007,2,11258.963934149984,8970.91889419761,2. NO,2. NO,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 4 INTERVIEW,1,2. NO,1. YES,1. WITHIN ONE WEEK,6. ILL / QUARANTINED,,,,,,,,,,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",,,,,2. NFE WAS OPERATING AT ROUND 4,,1. Open,,,,,,1. Higher than in July,,,2. NO,,,,,4. NOT APPLICABLE,,2. NO,2. NO,,,3. NO PREVIOUS RESPONSE,,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,5. IGBO,,,0,2020-09-11T14:49:06
4. South East,1. Abia,102. ABA SOUTH,1. Urban,46,19008,2,9982.526160295582,8438.370223038508,2. NO,2. NO,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. RESPONDENT WAS NOT WORKING AT THE TIME OF ROUND 4 INTERVIEW,2,2. NO,1. YES,98. DON'T KNOW,6. ILL / QUARANTINED,,,,,,,,,,"1. AGRICULTURE, HUNTING, FISHING",,,,,2. NFE WAS OPERATING AT ROUND 4,,1. Open,,,,,,1. Higher than in July,,,1. YES,,4. Lower,2. NO,,2. NO,,2. NO,2. NO,,,3. NO PREVIOUS RESPONSE,,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,2,5. IGBO,,,0,2020-09-12T10:06:09
4. South East,1. Abia,102. ABA SOUTH,1. Urban,46,19010,2,9975.586784584968,12645.92783059944,2. NO,2. NO,1. YES,2. NO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1. YES,1. YES,0,0,0,0,1,1,0,0,,2. NO,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 4 INTERVIEW,1,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING",1. In your own non-farm business,,60,60,2. NFE WAS OPERATING AT ROUND 4,,1. Open,,,,,,3. Less than in July,1. USUAL PLACE OF BUSINESS CLOSED DUE TO CORONAVIRUS RECOMMENDATIONS,,2. NO,,,,,4. NOT APPLICABLE,,2. NO,2. NO,,,3. NO PREVIOUS RESPONSE,,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,5. IGBO,,,0,2020-09-10T08:58:42
4. South East,1. Abia,102. ABA SOUTH,1. Urban,46,19012,6,10260.859342985184,,2. NO,2. NO,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 4 INTERVIEW,1,1. YES,,,,,,,,,,1. YES,,,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",1. In your own non-farm business,,48,48,2. NFE WAS OPERATING AT ROUND 4,,1. Open,,,,,,1. Higher than in July,,,2. NO,,,,,4. NOT APPLICABLE,,2. NO,2. NO,,,3. NO PREVIOUS RESPONSE,,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,5. IGBO,,,0,2020-09-08T09:47:07
4. South East,1. Abia,102. ABA SOUTH,1. Urban,806,19017,6,21248.976063937414,19498.825932363536,2. NO,2. NO,1. YES,2. NO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1. YES,2. NO,,,,,,,,,,1. YES,0,0,0,0,0,0,1,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 4 INTERVIEW,2,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING",1. In your own non-farm business,,35,35,2. NFE WAS OPERATING AT ROUND 4,,1. Open,,,,,,2. The same as in July,,,1. YES,,2. Higher,1. YES,,2. NO,,1. YES,,1. YES,,97. NEW TO LIVESTOCK FARMING,,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,2,5. IGBO,,,0,2020-09-10T11:37:49
4. South East,1. Abia,102. ABA SOUTH,1. Urban,806,19018,6,8231.203300533853,9102.776617736123,2. NO,2. NO,1. YES,2. NO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1. YES,2. NO,,,,,,,,,,1. YES,0,0,0,0,0,0,1,2. RESPONDENT WAS NOT WORKING AT THE TIME OF ROUND 4 INTERVIEW,1,2. NO,1. YES,98. DON'T KNOW,96. OTHER (SPECIFY),no fund to buy goods,,,,,,,,,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",,,,,1. NFE TEMPORARILY CLOSED AT LAST INTERVIEW,,2. Temporarily closed,11. LACK OF CAPITAL OR LOSS OF WORKING CAPITAL,,2. NO,,,,,,2. NO,,,,,4. NOT APPLICABLE,,2. NO,2. NO,,,3. NO PREVIOUS RESPONSE,,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,5. IGBO,,,0,2020-09-08T15:51:50
4. South East,1. Abia,102. ABA SOUTH,1. Urban,806,19020,15,15804.416180585427,14425.587300263678,2. NO,2. NO,1. YES,2. NO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1. YES,1. YES,0,0,0,0,1,1,0,0,,2. NO,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 4 INTERVIEW,1,1. YES,,,,,,,,,,1. YES,,,"9. PERSONAL SERVICES, EDUCATION, HEALTH, CULTURE, SPORT, DOMESTIC WORK, OTHER",4. As an employee for a private company or another individual (not household member),,35,60,2. NFE WAS OPERATING AT ROUND 4,,2. Temporarily closed,2. USUAL PLACE OF BUSINESS CLOSED FOR ANOTHER REASON,,2. NO,,,,,,2. NO,,,,,4. NOT APPLICABLE,,2. NO,2. NO,,,3. NO PREVIOUS RESPONSE,,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,1. ENGLISH,,,0,2020-09-07T08:36:09
4. South East,1. Abia,102. ABA SOUTH,1. Urban,806,19024,2,11829.01696129442,11458.752069244092,2. NO,2. NO,1. YES,2. NO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1. YES,2. NO,,,,,,,,,,2. NO,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 4 INTERVIEW,1,1. YES,,,,,,,,,,1. YES,,,"2. MINING, MANUFACTURING",1. In your own non-farm business,,50,60,2. NFE WAS OPERATING AT ROUND 4,,1. Open,,,,,,3. Less than in July,1. USUAL PLACE OF BUSINESS CLOSED DUE TO CORONAVIRUS RECOMMENDATIONS,,2. NO,,,,,4. NOT APPLICABLE,,2. NO,2. NO,,,3. NO PREVIOUS RESPONSE,,1,0,0,0,0,0,0,0,0,0,0,1,1. COMPLETE,1,5. IGBO,,,0,2020-09-12T22:11:12
