zone,state,lga,sector,ea,hhid,interviewer_id,wt_round6,wt_r6panel,s2q0a,s2q0b,s3aq1,s3aq2,s3aq3,s3aq4,s3aq5,s3aq6__1,s3aq6__2,s3aq6__3,s3aq7,s3aq8__1,s3aq8__2,s3aq8__3,emp_case,s6q1,s6q1a,s6q1b,s6q1c,s6q1c_os,s6q3,s6q3_os,s6q3a,s6q3b,s6q3b_os,s6q4a,s6q4b,s6q4b_os,s6q5,s6q6,s6q6a,s6q8b1,s6q8c1,nfe_case,s6q11,s6q11a,s6q11b,s6q11b_os,s6q11b1,s6q11c,s6q12,s6q13,s6q14,s6q14_os,filter,s5cq4__1,s5cq4__2,s5cq4__3,s5cq4__4,s5cq4__5,s5cq4__6,s5cq4__7,s5cq4__8,s5cq4__9,s5cq4__10,s5cq4__11,s5cq4__99,s5cq4__98,s9aq1,s9aq2,s9aq3__1,s9aq3__2,s9aq3__3,s9aq3__4,s9aq3__5,s9aq3__6,s9aq3__96,s9aq3_os,s12q3__0,s12q3__1,s12q3__2,s12q3__3,s12q3__4,s12q3__5,s12q3__6,s12q3__7,s12q4__0,s12q4__1,s12q4__2,s12q4__3,s12q5,s12q9,s12q10,s12q10_os,s12q10a,s12q11,s12q14
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,1044,10067,1,8216.36097977288,8634.560979939637,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,1. YES,1,0,0,2. OTHER,0,1,0,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 5 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family",30,30,2. NFE WAS OPERATING AT ROUND 5,,,,,,,,,,,1. YES,1,0,1,1,1,0,1,1,1,1,0,0,0,2. NO,2. NO,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,1,0,0,1,0,1. COMPLETE,2,1. ENGLISH,,,0,2020-10-12T16:18:42
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,1044,10069,6,11440.558196139036,14109.647840741896,2. NO,2. NO,1. YES,2. NO,2. NO,1. YES,1. YES,1,0,0,2. OTHER,1,0,0,2. RESPONDENT WAS NOT WORKING AT THE TIME OF ROUND 5 INTERVIEW,1. YES,,,,,,,,,,,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family",12,24,3. NFE WAS NOT OPERATING OR WAS PERMANENTLY CLOSED AT ROUND 5,2. NO,,,,,,,,,,2. NO,,,,,,,,,,,,,,2. NO,1. YES,,,,,,,,,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,13,5. IGBO,,,0,2020-10-09T08:09:25
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,560,10071,2,3580.5487766213537,3891.877130391051,2. NO,2. NO,2. NO,2. NO,2. NO,1. YES,1. YES,1,0,0,2. OTHER,0,0,1,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 5 INTERVIEW,1. YES,,,,,,,,,,2. NO,4. TEMPORARILY LAID OFF/LEAVE OF ABSENCE FROM PREVIOUS JOB (FURLOUGHED),,"2. MINING, MANUFACTURING",1. In your own non-farm business,,21,21,2. NFE WAS OPERATING AT ROUND 5,,2. Temporarily closed,9. SEASONAL CLOSURE,,2. NO,,,,,,1. YES,1,1,1,1,0,0,1,1,1,0,0,0,0,1. YES,1. YES,,,,,,,,,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,5. IGBO,,,0,2020-10-13T09:14:41
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,560,10077,15,7094.474661505864,6023.532685075826,2. NO,2. NO,2. NO,2. NO,2. NO,1. YES,1. YES,1,0,0,1. NO FACILITIES/BUSH OR FIELD,1,0,0,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 5 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING",4. As an employee for a private company or another individual (not household member),,25,40,3. NFE WAS NOT OPERATING OR WAS PERMANENTLY CLOSED AT ROUND 5,2. NO,,,,,,,,,,2. NO,,,,,,,,,,,,,,1. YES,1. YES,,,,,,,,,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,2,1. ENGLISH,,,0,2020-10-09T19:15:38
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,560,10079,6,6819.565237868812,6633.9349194477545,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,1. YES,1,0,0,2. OTHER,1,1,0,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 5 INTERVIEW,2. NO,1. YES,1. WITHIN ONE WEEK,6. ILL / QUARANTINED,,,,,,,,,,"1. AGRICULTURE, HUNTING, FISHING",,,,,2. NFE WAS OPERATING AT ROUND 5,,1. Open,,,,,,4. No revenue from sales currently,96. OTHER (SPECIFY),goods are costly now so no revenue now,2. NO,,,,,,,,,,,,,,1. YES,1. YES,,,,,,,,,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,5. IGBO,,,0,2020-10-11T10:00:39
4. South East,1. Abia,105. IKWUANO,2. Rural,638,10096,6,6817.416612316788,8407.924328017158,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,1. YES,1,1,0,2. OTHER,1,0,0,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 5 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family",28,42,3. NFE WAS NOT OPERATING OR WAS PERMANENTLY CLOSED AT ROUND 5,2. NO,,,,,,,,,,2. NO,,,,,,,,,,,,,,1. YES,1. YES,,,,,,,,,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,5,1. ENGLISH,,,0,2020-10-14T13:22:04
4. South East,1. Abia,108. ISUIKWATO,2. Rural,904,10103,15,12572.708236111635,14441.215150042537,2. NO,2. NO,2. NO,2. NO,1. YES,1. YES,1. YES,1,0,0,1. NO FACILITIES/BUSH OR FIELD,1,1,0,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 5 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,,1. In your own non-farm business,,64,64,2. NFE WAS OPERATING AT ROUND 5,,1. Open,,,,,,3. Less than in August,9. SEASONAL CLOSURE,,2. NO,,,,,,,,,,,,,,1. YES,1. YES,,,,,,,,,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,4,5. IGBO,,,0,2020-10-11T21:07:29
4. South East,1. Abia,108. ISUIKWATO,2. Rural,904,10106,15,9247.680200892404,13589.746216778454,2. NO,2. NO,2. NO,2. NO,2. NO,1. YES,1. YES,1,0,0,2. OTHER,1,1,0,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 5 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family",21,42,2. NFE WAS OPERATING AT ROUND 5,,1. Open,,,,,,2. The same as in August,,,2. NO,,,,,,,,,,,,,,1. YES,2. NO,0,0,1,0,0,0,1,Vaccines are not meant for adults,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,2,5. IGBO,,,0,2020-10-10T09:00:11
4. South East,1. Abia,108. ISUIKWATO,2. Rural,904,10108,2,15845.362674007225,17041.907369785076,2. NO,2. NO,2. NO,2. NO,2. NO,1. YES,1. YES,1,0,0,2. OTHER,1,1,0,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 5 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",1. In your own non-farm business,,21,28,2. NFE WAS OPERATING AT ROUND 5,,1. Open,,,,,,3. Less than in August,96. OTHER (SPECIFY),dueto insufficient capital,1. YES,1,1,1,1,0,0,1,1,1,1,0,0,0,2. NO,2. NO,0,0,0,1,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,1,1. COMPLETE,3,5. IGBO,,,0,2020-10-11T21:57:08
4. South East,1. Abia,102. ABA SOUTH,1. Urban,46,19001,15,7735.102574732507,8082.633823716952,2. NO,2. NO,2. NO,2. NO,1. YES,2. NO,1. YES,0,1,0,2. OTHER,0,1,0,2. RESPONDENT WAS NOT WORKING AT THE TIME OF ROUND 5 INTERVIEW,1. YES,,,,,,,,,,,,,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",1. In your own non-farm business,,1,1,1. NFE TEMPORARILY CLOSED AT ROUND 5,,1. Open,,,,,,,,,2. NO,,,,,,,,,,,,,,2. NO,2. NO,0,0,1,0,0,0,0,,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,5. IGBO,,,0,2020-10-10T15:54:58
4. South East,1. Abia,102. ABA SOUTH,1. Urban,46,19007,2,12918.790735575923,9648.258317281387,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,1. YES,0,0,1,2. OTHER,0,1,0,2. RESPONDENT WAS NOT WORKING AT THE TIME OF ROUND 5 INTERVIEW,1. YES,,,,,,,,,,,,,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",1. In your own non-farm business,,54,54,2. NFE WAS OPERATING AT ROUND 5,,1. Open,,,,,,3. Less than in August,1. USUAL PLACE OF BUSINESS CLOSED DUE TO CORONAVIRUS RECOMMENDATIONS,,2. NO,,,,,,,,,,,,,,1. YES,1. YES,,,,,,,,,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,5. IGBO,,,0,2020-10-13T09:26:43
4. South East,1. Abia,102. ABA SOUTH,1. Urban,46,19008,2,11056.146718401624,8951.78045419888,2. NO,2. NO,2. NO,2. NO,2. NO,1. YES,1. YES,1,0,0,2. OTHER,0,1,0,2. RESPONDENT WAS NOT WORKING AT THE TIME OF ROUND 5 INTERVIEW,2. NO,1. YES,2. WITHIN ONE MONTH,12. NOT FARMING SEASON,,,,,,,,,,"1. AGRICULTURE, HUNTING, FISHING",,,,,2. NFE WAS OPERATING AT ROUND 5,,1. Open,,,,,,1. Higher than in August,,,2. NO,,,,,,,,,,,,,,1. YES,1. YES,,,,,,,,,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,2,5. IGBO,,,0,2020-10-10T11:02:22
4. South East,1. Abia,102. ABA SOUTH,1. Urban,46,19010,2,10335.590804942234,13002.138278666182,2. NO,2. NO,2. NO,2. NO,2. NO,1. YES,1. YES,0,1,0,2. OTHER,0,1,0,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 5 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING",1. In your own non-farm business,,25,25,2. NFE WAS OPERATING AT ROUND 5,,1. Open,,,,,,1. Higher than in August,,,1. YES,1,1,1,1,1,1,1,1,0,0,0,0,0,2. NO,1. YES,,,,,,,,,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,5. IGBO,,,0,2020-10-14T14:38:23
4. South East,1. Abia,102. ABA SOUTH,1. Urban,46,19012,6,11460.453819450548,,2. NO,2. NO,1. YES,1. YES,1. YES,2. NO,1. YES,0,1,0,2. OTHER,1,0,0,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 5 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",1. In your own non-farm business,,54,54,2. NFE WAS OPERATING AT ROUND 5,,1. Open,,,,,,1. Higher than in August,,,2. NO,,,,,,,,,,,,,,2. NO,2. NO,0,0,0,1,0,0,0,,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,5. IGBO,,,0,2020-10-09T18:48:31
4. South East,1. Abia,102. ABA SOUTH,1. Urban,806,19017,6,21379.190031140384,19722.823105746033,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,1. YES,1,0,0,2. OTHER,1,0,0,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 5 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING",4. As an employee for a private company or another individual (not household member),,35,35,2. NFE WAS OPERATING AT ROUND 5,,1. Open,,,,,,2. The same as in August,,,2. NO,,,,,,,,,,,,,,1. YES,1. YES,,,,,,,,,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,2,5. IGBO,,,0,2020-10-22T19:07:07
4. South East,1. Abia,102. ABA SOUTH,1. Urban,806,19018,6,8487.086742277346,9116.650427033206,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,1,0,0,2. OTHER,0,1,0,2. RESPONDENT WAS NOT WORKING AT THE TIME OF ROUND 5 INTERVIEW,2. NO,1. YES,98. DON'T KNOW,96. OTHER (SPECIFY),capital to start up,,,,,,,,,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",,,,,1. NFE TEMPORARILY CLOSED AT ROUND 5,,2. Temporarily closed,11. LACK OF CAPITAL OR LOSS OF WORKING CAPITAL,,2. NO,,,,,,1. YES,1,1,1,1,1,1,1,1,1,1,0,0,0,1. YES,1. YES,,,,,,,,,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,5. IGBO,,,0,2020-10-10T16:03:51
4. South East,1. Abia,102. ABA SOUTH,1. Urban,806,19020,15,17787.873261100754,15462.181235224783,2. NO,2. NO,2. NO,2. NO,1. YES,2. NO,1. YES,0,1,0,2. OTHER,0,1,0,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 5 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,"9. PERSONAL SERVICES, EDUCATION, HEALTH, CULTURE, SPORT, DOMESTIC WORK, OTHER",4. As an employee for a private company or another individual (not household member),,45,30,1. NFE TEMPORARILY CLOSED AT ROUND 5,,3. Permanently closed,11. LACK OF CAPITAL OR LOSS OF WORKING CAPITAL,,2. NO,,,,,,2. NO,,,,,,,,,,,,,,1. YES,1. YES,,,,,,,,,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,1. ENGLISH,,,0,2020-10-12T08:50:19
4. South East,1. Abia,102. ABA SOUTH,1. Urban,806,19024,2,11707.380146308698,11431.935072979168,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,1. YES,0,1,0,2. OTHER,1,0,0,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 5 INTERVIEW,2. NO,1. YES,98. DON'T KNOW,2. BUSINESS / OFFICE CLOSED FOR ANOTHER REASON,,,,,,,,,,"2. MINING, MANUFACTURING",,,,,2. NFE WAS OPERATING AT ROUND 5,,1. Open,,,,,,1. Higher than in August,,,2. NO,,,,,,,,,,,,,,1. YES,1. YES,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,1,1. COMPLETE,1,5. IGBO,,,0,2020-10-10T21:10:14
4. South East,1. Abia,102. ABA SOUTH,1. Urban,2486,19026,6,9315.143969507399,10661.207396581003,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,1. YES,0,1,0,2. OTHER,1,0,0,2. RESPONDENT WAS NOT WORKING AT THE TIME OF ROUND 5 INTERVIEW,2. NO,2. NO,,,,,,2. NO,,,,,,,,,,,2. NFE WAS OPERATING AT ROUND 5,,2. Temporarily closed,6. ILL / QUARANTINED DUE TO CORONAVIRUS,,2. NO,,,,,,2. NO,,,,,,,,,,,,,,1. YES,1. YES,,,,,,,,,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,2,5. IGBO,,,0,2020-10-23T18:56:39
4. South East,1. Abia,102. ABA SOUTH,1. Urban,2486,19029,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3. REFUSED,,,,,,2020-10-18T16:19:18
4. South East,1. Abia,102. ABA SOUTH,1. Urban,2486,19033,6,10595.88834631371,10589.268172893966,2. NO,2. NO,2. NO,2. NO,1. YES,2. NO,1. YES,0,1,0,2. OTHER,1,0,0,2. RESPONDENT WAS NOT WORKING AT THE TIME OF ROUND 5 INTERVIEW,1. YES,,,,,,,,,,,,,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",1. In your own non-farm business,,30,30,2. NFE WAS OPERATING AT ROUND 5,,1. Open,,,,,,3. Less than in August,3. NO COSTUMERS / FEWER CUSTOMERS,,1. YES,1,0,1,1,0,1,1,1,1,1,0,0,0,1. YES,1. YES,,,,,,,,,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,5. IGBO,,,0,2020-10-09T14:29:18
4. South East,1. Abia,102. ABA SOUTH,1. Urban,2486,19035,2,9926.8876693922,10223.3862782531,2. NO,2. NO,1. YES,2. NO,1. YES,1. YES,1. YES,0,1,0,2. OTHER,0,1,0,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 5 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family",15,20,2. NFE WAS OPERATING AT ROUND 5,,1. Open,,,,,,1. Higher than in August,,,1. YES,1,1,1,1,1,0,1,1,1,0,1,0,0,1. YES,1. YES,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,1,1. COMPLETE,1,5. IGBO,,,0,2020-10-13T20:23:20
4. South East,1. Abia,104. BENDE,2. Rural,412,19038,6,5430.193635791149,5890.964800614003,2. NO,2. NO,2. NO,2. NO,1. YES,1. YES,2. NO,1,0,0,2. OTHER,0,1,0,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 5 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family",24,24,3. NFE WAS NOT OPERATING OR WAS PERMANENTLY CLOSED AT ROUND 5,2. NO,,,,,,,,,,2. NO,,,,,,,,,,,,,,2. NO,1. YES,,,,,,,,,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,5. IGBO,,,0,2020-10-10T09:55:37
