zone,state,lga,sector,ea,hhid,indiv,s2q2,s2q3,s2q4,s2q4_os,s2q5,s2q6,s2q7a,s2q7,s2q7_os,s2q8,s2q8_os,s2q9,s2q9_os
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10034,2,2. NO,1. YES,,,2. FEMALE,56,1. YES,1. HEAD,,,,,
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10034,5,2. NO,1. YES,,,2. FEMALE,29,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10034,7,2. NO,1. YES,,,1. MALE,26,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10034,8,2. NO,1. YES,,,2. FEMALE,25,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10034,9,2. NO,1. YES,,,1. MALE,23,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10034,10,2. NO,1. YES,,,2. FEMALE,21,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10034,11,2. NO,1. YES,,,2. FEMALE,19,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10035,1,2. NO,1. YES,,,1. MALE,67,1. YES,1. HEAD,,,,,
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10035,2,2. NO,1. YES,,,2. FEMALE,58,1. YES,2. SPOUSE,,,,,
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10035,3,2. NO,1. YES,,,1. MALE,34,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10035,5,2. NO,1. YES,,,1. MALE,28,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10035,6,2. NO,1. YES,,,1. MALE,26,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10038,1,2. NO,1. YES,,,1. MALE,60,1. YES,1. HEAD,,,,,
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10038,2,2. NO,1. YES,,,2. FEMALE,44,1. YES,2. SPOUSE,,,,,
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10038,4,2. NO,1. YES,,,1. MALE,17,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10038,5,2. NO,1. YES,,,1. MALE,15,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10038,9,2. NO,1. YES,,,2. FEMALE,5,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10038,101,2. NO,1. YES,,,1. MALE,11,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10040,1,2. NO,1. YES,,,1. MALE,38,1. YES,1. HEAD,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10054,1,2. NO,1. YES,,,1. MALE,63,1. YES,1. HEAD,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10054,2,2. NO,1. YES,,,2. FEMALE,57,1. YES,2. SPOUSE,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10054,101,2. NO,1. YES,,,1. MALE,15,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10054,102,2. NO,1. YES,,,1. MALE,8,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10054,103,2. NO,1. YES,,,1. MALE,5,1. YES,6. GRANDCHILD,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10056,1,2. NO,1. YES,,,2. FEMALE,72,1. YES,1. HEAD,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10056,101,2. NO,1. YES,,,2. FEMALE,38,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10056,201,2. NO,1. YES,,,1. MALE,38,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10056,301,2. NO,1. YES,,,1. MALE,2,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10057,1,2. NO,1. YES,,,1. MALE,67,1. YES,1. HEAD,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10057,2,2. NO,1. YES,,,2. FEMALE,49,1. YES,2. SPOUSE,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10057,4,2. NO,1. YES,,,1. MALE,21,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10057,5,2. NO,1. YES,,,2. FEMALE,19,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10057,6,2. NO,1. YES,,,2. FEMALE,17,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10057,201,2. NO,1. YES,,,1. MALE,15,1. YES,8. NIECE/NEPHEW,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10060,1,2. NO,1. YES,,,1. MALE,53,1. YES,1. HEAD,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10060,2,2. NO,1. YES,,,2. FEMALE,44,1. YES,2. SPOUSE,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10060,4,2. NO,1. YES,,,1. MALE,25,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10060,5,2. NO,1. YES,,,1. MALE,12,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10060,6,2. NO,1. YES,,,1. MALE,7,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,1044,10067,1,2. NO,1. YES,,,1. MALE,73,1. YES,1. HEAD,,,,,
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,1044,10067,2,2. NO,1. YES,,,2. FEMALE,64,1. YES,2. SPOUSE,,,,,
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,1044,10067,7,2. NO,1. YES,,,1. MALE,9,1. YES,12. DOMESTIC HELP (RESIDENT),,,,,
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,1044,10069,1,2. NO,1. YES,,,2. FEMALE,88,1. YES,1. HEAD,,,,,
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,1044,10069,13,2. NO,1. YES,,,2. FEMALE,55,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,560,10071,1,2. NO,1. YES,,,1. MALE,59,1. YES,1. HEAD,,,,,
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,560,10071,2,2. NO,1. YES,,,2. FEMALE,49,1. YES,2. SPOUSE,,,,,
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,560,10071,3,2. NO,1. YES,,,1. MALE,16,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,560,10071,4,2. NO,1. YES,,,2. FEMALE,13,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,560,10071,5,2. NO,1. YES,,,2. FEMALE,11,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,560,10071,6,2. NO,1. YES,,,2. FEMALE,88,1. YES,10. PARENT,,,,,
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,560,10077,2,2. NO,1. YES,,,1. MALE,40,1. YES,1. HEAD,,,,,
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,560,10079,1,2. NO,1. YES,,,1. MALE,74,1. YES,1. HEAD,,,,,
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,560,10079,2,2. NO,1. YES,,,2. FEMALE,62,1. YES,2. SPOUSE,,,,,
4. South East,1. Abia,105. IKWUANO,2. Rural,638,10096,3,2. NO,1. YES,,,2. FEMALE,72,1. YES,1. HEAD,,,,,
4. South East,1. Abia,105. IKWUANO,2. Rural,638,10096,5,2. NO,1. YES,,,1. MALE,35,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,105. IKWUANO,2. Rural,638,10096,201,2. NO,1. YES,,,2. FEMALE,22,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,108. ISUIKWATO,2. Rural,904,10103,1,2. NO,1. YES,,,1. MALE,82,1. YES,1. HEAD,,,,,
4. South East,1. Abia,108. ISUIKWATO,2. Rural,904,10103,2,2. NO,1. YES,,,2. FEMALE,68,1. YES,2. SPOUSE,,,,,
4. South East,1. Abia,108. ISUIKWATO,2. Rural,904,10103,4,2. NO,1. YES,,,1. MALE,38,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,108. ISUIKWATO,2. Rural,904,10103,7,2. NO,1. YES,,,2. FEMALE,31,1. YES,9. BROTHER/SISTER-IN-LAW,,,,,
4. South East,1. Abia,108. ISUIKWATO,2. Rural,904,10103,8,2. NO,1. YES,,,1. MALE,6,1. YES,6. GRANDCHILD,,,,,
4. South East,1. Abia,108. ISUIKWATO,2. Rural,904,10103,9,2. NO,1. YES,,,2. FEMALE,4,1. YES,6. GRANDCHILD,,,,,
4. South East,1. Abia,108. ISUIKWATO,2. Rural,904,10103,10,2. NO,1. YES,,,2. FEMALE,1,1. YES,6. GRANDCHILD,,,,,
4. South East,1. Abia,108. ISUIKWATO,2. Rural,904,10106,1,2. NO,1. YES,,,2. FEMALE,66,1. YES,1. HEAD,,,,,
4. South East,1. Abia,108. ISUIKWATO,2. Rural,904,10106,2,2. NO,1. YES,,,1. MALE,35,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,108. ISUIKWATO,2. Rural,904,10106,3,2. NO,1. YES,,,1. MALE,33,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,108. ISUIKWATO,2. Rural,904,10106,4,2. NO,1. YES,,,1. MALE,31,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,108. ISUIKWATO,2. Rural,904,10106,5,2. NO,1. YES,,,1. MALE,17,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,108. ISUIKWATO,2. Rural,904,10108,3,2. NO,1. YES,,,2. FEMALE,41,1. YES,2. SPOUSE,,,,,
4. South East,1. Abia,108. ISUIKWATO,2. Rural,904,10108,4,2. NO,1. YES,,,1. MALE,56,1. YES,1. HEAD,,,,,
4. South East,1. Abia,108. ISUIKWATO,2. Rural,904,10108,5,2. NO,1. YES,,,1. MALE,9,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,108. ISUIKWATO,2. Rural,904,10108,101,2. NO,1. YES,,,1. MALE,7,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,108. ISUIKWATO,2. Rural,904,10108,102,2. NO,1. YES,,,2. FEMALE,5,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,108. ISUIKWATO,2. Rural,904,10108,103,2. NO,1. YES,,,2. FEMALE,1,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,108. ISUIKWATO,2. Rural,904,10108,104,2. NO,1. YES,,,1. MALE,50,1. YES,7. BROTHER/SISTER,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,46,19001,1,2. NO,1. YES,,,2. FEMALE,51,1. YES,1. HEAD,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,46,19001,2,2. NO,1. YES,,,2. FEMALE,18,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,46,19001,4,2. NO,1. YES,,,1. MALE,4,1. YES,6. GRANDCHILD,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,46,19001,201,2. NO,1. YES,,,2. FEMALE,23,1. YES,8. NIECE/NEPHEW,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,46,19001,202,2. NO,1. YES,,,2. FEMALE,3,1. YES,14. OTHER RELATION (SPECIFY),NIECE'S CHILD,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,46,19001,203,2. NO,1. YES,,,2. FEMALE,0,1. YES,14. OTHER RELATION (SPECIFY),NIECE'S CHILD,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,46,19007,1,2. NO,1. YES,,,1. MALE,34,1. YES,1. HEAD,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,46,19008,1,2. NO,1. YES,,,1. MALE,48,1. YES,1. HEAD,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,46,19008,2,2. NO,1. YES,,,2. FEMALE,41,1. YES,2. SPOUSE,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,46,19008,201,2. NO,1. YES,,,2. FEMALE,35,1. YES,9. BROTHER/SISTER-IN-LAW,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,46,19010,1,2. NO,1. YES,,,2. FEMALE,38,1. YES,1. HEAD,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,46,19010,2,2. NO,1. YES,,,1. MALE,20,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,46,19010,3,2. NO,1. YES,,,2. FEMALE,11,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,46,19012,1,2. NO,1. YES,,,1. MALE,24,1. YES,1. HEAD,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,46,19012,2,2. NO,1. YES,,,1. MALE,21,1. YES,7. BROTHER/SISTER,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,46,19012,4,2. NO,1. YES,,,2. FEMALE,26,1. YES,7. BROTHER/SISTER,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,806,19017,1,2. NO,1. YES,,,1. MALE,41,1. YES,1. HEAD,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,806,19017,2,2. NO,1. YES,,,2. FEMALE,36,1. YES,2. SPOUSE,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,806,19017,3,2. NO,1. YES,,,1. MALE,13,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,806,19017,4,2. NO,1. YES,,,2. FEMALE,9,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,806,19017,5,2. NO,1. YES,,,2. FEMALE,7,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,806,19017,6,2. NO,1. YES,,,2. FEMALE,4,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,806,19017,7,2. NO,1. YES,,,1. MALE,2,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,806,19018,1,2. NO,1. YES,,,2. FEMALE,56,1. YES,1. HEAD,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,806,19018,2,2. NO,1. YES,,,2. FEMALE,20,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,806,19018,3,2. NO,1. YES,,,2. FEMALE,18,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,806,19018,4,2. NO,1. YES,,,1. MALE,9,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,806,19018,5,2. NO,1. YES,,,1. MALE,3,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,806,19020,1,2. NO,1. YES,,,1. MALE,60,1. YES,1. HEAD,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,806,19020,2,2. NO,1. YES,,,2. FEMALE,33,1. YES,2. SPOUSE,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,806,19020,3,2. NO,1. YES,,,1. MALE,12,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,806,19020,4,2. NO,1. YES,,,1. MALE,10,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,806,19020,5,2. NO,1. YES,,,1. MALE,7,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,806,19020,101,2. NO,1. YES,,,2. FEMALE,0,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,806,19024,1,2. NO,1. YES,,,1. MALE,41,1. YES,1. HEAD,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,806,19024,2,2. NO,1. YES,,,2. FEMALE,36,1. YES,2. SPOUSE,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,806,19024,3,2. NO,1. YES,,,2. FEMALE,19,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,806,19024,4,2. NO,1. YES,,,1. MALE,17,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,806,19024,5,2. NO,1. YES,,,1. MALE,15,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,806,19024,6,2. NO,1. YES,,,2. FEMALE,11,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,806,19024,7,2. NO,1. YES,,,1. MALE,9,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,2486,19026,1,2. NO,1. YES,,,1. MALE,60,1. YES,1. HEAD,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,2486,19026,2,2. NO,1. YES,,,2. FEMALE,52,1. YES,2. SPOUSE,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,2486,19026,4,2. NO,1. YES,,,1. MALE,19,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,2486,19026,5,2. NO,1. YES,,,1. MALE,18,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,2486,19026,6,2. NO,1. YES,,,2. FEMALE,22,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,2486,19026,7,2. NO,1. YES,,,2. FEMALE,16,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,2486,19029,1,2. NO,1. YES,,,2. FEMALE,56,1. YES,1. HEAD,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,2486,19029,2,2. NO,1. YES,,,2. FEMALE,21,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,2486,19033,1,2. NO,1. YES,,,1. MALE,71,1. YES,1. HEAD,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,2486,19033,2,2. NO,1. YES,,,2. FEMALE,59,1. YES,2. SPOUSE,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,2486,19033,3,2. NO,1. YES,,,1. MALE,37,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,2486,19033,4,2. NO,1. YES,,,1. MALE,20,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,2486,19033,101,2. NO,1. YES,,,2. FEMALE,21,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,2486,19033,102,2. NO,1. YES,,,2. FEMALE,24,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,2486,19033,103,2. NO,1. YES,,,1. MALE,17,1. YES,8. NIECE/NEPHEW,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,2486,19035,1,2. NO,1. YES,,,1. MALE,42,1. YES,1. HEAD,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,2486,19035,2,2. NO,1. YES,,,2. FEMALE,40,1. YES,2. SPOUSE,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,2486,19035,3,2. NO,1. YES,,,2. FEMALE,10,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,2486,19035,4,2. NO,1. YES,,,1. MALE,8,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,104. BENDE,2. Rural,412,19038,1,2. NO,1. YES,,,2. FEMALE,66,1. YES,1. HEAD,,,,,
4. South East,1. Abia,104. BENDE,2. Rural,412,19041,1,2. NO,1. YES,,,1. MALE,35,1. YES,1. HEAD,,,,,
4. South East,1. Abia,104. BENDE,2. Rural,412,19041,2,2. NO,1. YES,,,2. FEMALE,30,1. YES,2. SPOUSE,,,,,
4. South East,1. Abia,104. BENDE,2. Rural,412,19041,3,2. NO,1. YES,,,2. FEMALE,7,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,104. BENDE,2. Rural,412,19041,4,2. NO,1. YES,,,1. MALE,4,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,104. BENDE,2. Rural,412,19044,1,2. NO,1. YES,,,2. FEMALE,43,1. YES,2. SPOUSE,,,,,
4. South East,1. Abia,104. BENDE,2. Rural,412,19044,101,2. NO,1. YES,,,1. MALE,48,1. YES,1. HEAD,,,,,
4. South East,1. Abia,104. BENDE,2. Rural,412,19045,2,2. NO,1. YES,,,2. FEMALE,34,1. YES,1. HEAD,,,,,
4. South East,1. Abia,104. BENDE,2. Rural,412,19045,3,2. NO,1. YES,,,1. MALE,5,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,104. BENDE,2. Rural,412,19045,4,2. NO,1. YES,,,1. MALE,3,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,104. BENDE,2. Rural,1020,19051,1,2. NO,1. YES,,,2. FEMALE,36,1. YES,1. HEAD,,,,,
4. South East,1. Abia,104. BENDE,2. Rural,1020,19051,3,2. NO,1. YES,,,2. FEMALE,11,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,104. BENDE,2. Rural,1020,19051,5,2. NO,1. YES,,,2. FEMALE,6,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,104. BENDE,2. Rural,1020,19058,1,2. NO,1. YES,,,1. MALE,47,1. YES,1. HEAD,,,,,
4. South East,1. Abia,104. BENDE,2. Rural,1020,19058,2,2. NO,1. YES,,,2. FEMALE,39,1. YES,2. SPOUSE,,,,,
4. South East,1. Abia,104. BENDE,2. Rural,1020,19058,4,2. NO,1. YES,,,2. FEMALE,8,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,104. BENDE,2. Rural,1020,19058,5,2. NO,1. YES,,,1. MALE,6,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,104. BENDE,2. Rural,1020,19058,6,2. NO,1. YES,,,1. MALE,2,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,104. BENDE,2. Rural,1020,19060,1,2. NO,1. YES,,,2. FEMALE,56,1. YES,1. HEAD,,,,,
4. South East,1. Abia,104. BENDE,2. Rural,1020,19060,2,2. NO,1. YES,,,2. FEMALE,31,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,104. BENDE,2. Rural,1020,19060,3,2. NO,1. YES,,,1. MALE,13,1. YES,6. GRANDCHILD,,,,,
4. South East,1. Abia,104. BENDE,2. Rural,1020,19060,4,2. NO,1. YES,,,2. FEMALE,11,1. YES,6. GRANDCHILD,,,,,
4. South East,1. Abia,104. BENDE,2. Rural,1020,19060,101,2. NO,1. YES,,,1. MALE,15,1. YES,6. GRANDCHILD,,,,,
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,10,19062,1,2. NO,1. YES,,,2. FEMALE,61,1. YES,1. HEAD,,,,,
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,10,19062,3,2. NO,1. YES,,,1. MALE,31,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,10,19062,4,2. NO,1. YES,,,2. FEMALE,25,1. YES,3. OWN CHILD,,,,,
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,10,19062,6,2. NO,1. YES,,,1. MALE,5,1. YES,6. GRANDCHILD,,,,,
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,10,19062,7,2. NO,1. YES,,,1. MALE,2,1. YES,6. GRANDCHILD,,,,,
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,10,19062,8,2. NO,1. YES,,,1. MALE,1,1. YES,6. GRANDCHILD,,,,,
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,10,19063,1,2. NO,1. YES,,,2. FEMALE,64,1. YES,1. HEAD,,,,,
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,10,19063,2,2. NO,1. YES,,,2. FEMALE,17,1. YES,3. OWN CHILD,,,,,
