zone,state,lga,sector,ea,hhid,interviewer_id,wt_baseline,s3q1,s3q2__1,s3q2__2,s3q2__3,s3q2__4,s3q2__5,s3q2__6,s3q2__7,s3q2__8,s3q2__9,s3q2__10,s3q3__1,s3q3__2,s3q3__3,s3q3__4,s3q3__5,s3q3__6,s3q3__7,s3q3__8,s3q3__9,s3q3__10,s3q3__96,s3q3__11,s3q3__98,s3q3_os,s3q4,s3q5__1,s3q5__2,s3q5__3,s3q5__4,s3q5__5,s3q5__6,s3q5__96,s3q5_os,s4q1,s4q2,s4q3,s4q4,s5q1a1,s5q1b1,s5q1c1__1,s5q1c1__2,s5q1c1__3,s5q1c1__4,s5q1c1__5,s5q1c1__6,s5q1a2,s5q1b2,s5q1c2__1,s5q1c2__2,s5q1c2__3,s5q1c2__4,s5q1c2__5,s5q1c2__6,s5q1a3,s5q1b3,s5q1c3__1,s5q1c3__2,s5q1c3__3,s5q1c3__4,s5q1c3__5,s5q1c3__6,s5q1a4,s5q1b4,s5q1c4__1,s5q1c4__2,s5q1c4__3,s5q1c4__4,s5q1c4__5,s5q1c4__6,s5q1a5,s5q1b5,s5q1c5__1,s5q1c5__2,s5q1c5__3,s5q1c5__4,s5q1c5__5,s5q1c5__6,s5q1a6,s5q1b6,s5q1c6__1,s5q1c6__2,s5q1c6__3,s5q1c6__4,s5q1c6__5,s5q1c6__6,s5q1a7,s5q1b7,s5q1c7__1,s5q1c7__2,s5q1c7__3,s5q1c7__4,s5q1c7__5,s5q1c7__6,s5q1a8,s5q1b8,s5q1c8__1,s5q1c8__2,s5q1c8__3,s5q1c8__4,s5q1c8__5,s5q1c8__6,s5q2,s5q3,s5q4,s5q4_os,filter1,s5q4a,s5q4b,s5q5__1,s5q5__2,s5q5__3,s5q5__4,s5q5__5,s5q5__6,s5q5__7,s5q5__96,s5q5_os,s5q6,s5q7__1,s5q7__2,s5q7__3,s5q7__4,s5q7__5,s5q7__6,s5q7__7,s5q8,s5q9,s5q10,s5q10_os,s6q1,s6q2,s6q3,s6q3_os,s6q4,s6q5,s6q6,s6q7,s6q8,s6q8a,s6q8a_os,s6q9,s6q10_1,s6q10_2,s6q10_3,s6q10_4,s6q10_5,s6q10_6,s6q11,s6q12,s6q13,s6q14,s6q14_os,s6q15,s6q16,s6q17__1,s6q17__2,s6q17__3,s6q17__4,s6q17__5,s6q17__6,s6q17__96,s6q17_os,s8q4,s8q6,s8q8,s9q1,s9q2,s12q3__0,s12q3__1,s12q3__2,s12q3__3,s12q3__4,s12q3__5,s12q3__6,s12q3__7,s12q4__0,s12q4__1,s12q4__2,s12q4__3,s12q5,s12q9,s12q10,s12q10_os,s12q11,s12q14
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10056,2,10768.705485724242,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1,1,1,0,0,1,0,1,0,0,0,0,0,,1. YES,,,,,,,,,1. YES,1. YES,1. YES,1. YES,1. YES,2. NO,0,0,0,1,0,0,2. NO,,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,1. YES,2. NO,4. DUE TO MOVEMENT RESTRICTIONS,,2. NO,,,,,,,,,,,,,,,,,,,,2. NO,,,,2. NO,1. YES,9. RETIRED,,"1. AGRICULTURE, HUNTING, FISHING",,,,,,,2. NO,,,,,,,2. NO,,,,,2. NO,,,,,,,,,,1. YES,1. YES,2. NO,4. Not worried at all,4. Not a threat at all,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,5. IGBO,,0,2020-04-30T21:03:18
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10057,6,7105.144339705285,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,2. NO,1. YES,1. YES,1. YES,0,1,0,0,0,0,0,0,0,1,0,0,0,,1. YES,,,,,,,,,1. YES,1. YES,1. YES,1. YES,2. NO,,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,2. NO,,,,1. YES,1. YES,1. YES,0,0,0,0,1,0,0,0,,2. NO,,,,,,,,2. NO,,,,2. NO,2. NO,,,,,,,,,,2. NO,,,,,,,1. YES,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",3. Less,"96. OTHER, SPECIFY",traders are not coming to market as usual,1. YES,2. NO,0,0,0,0,0,0,1,the fram is small,1. YES,1. YES,2. NO,1. Very worried,1. A substantial threat,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,2,5. IGBO,,0,2020-04-25T08:51:52
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10059,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7. PHONE TURNED OFF,,,,,2020-04-24T06:20:23
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10060,2,8354.426939480403,1. YES,1. YES,1. YES,1. YES,1. YES,2. NO,1. YES,1. YES,1. YES,1. YES,2. NO,1,0,0,0,0,0,0,1,0,0,0,0,0,,1. YES,,,,,,,,,1. YES,1. YES,1. YES,2. NO,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,1. YES,2. NO,0,0,0,0,0,1,2. NO,,,,,,,,1. YES,2. NO,1. LACK OF MONEY,,1. YES,1. YES,2. NO,,,,,,,,,,2. NO,,,,,,,,1. YES,1. YES,,,1. YES,,,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, raising family  livestock, or fishing",,,,,1. YES,4,,,,,,1. YES,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",3. Less,1. USUAL PLACE OF BUSINESS CLOSED DUE TO CORONAVIRUS LEGAL RESTRICTIONS,,,1. YES,,,,,,,,,1. YES,1. YES,2. NO,4. Not worried at all,1. A substantial threat,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,2,5. IGBO,,2,2020-04-26T20:29:05
4. South East,1. Abia,102. ABA SOUTH,1. Urban,0,10065,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7. PHONE TURNED OFF,,,,,2020-04-24T08:21:33
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,1044,10067,1,6536.727220641751,1. YES,1. YES,1. YES,2. NO,1. YES,2. NO,2. NO,1. YES,1. YES,2. NO,2. NO,1,1,0,1,0,0,1,0,0,0,0,0,0,,1. YES,,,,,,,,,1. YES,1. YES,1. YES,2. NO,1. YES,2. NO,0,0,0,0,0,1,1. YES,1. YES,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,1. YES,2. NO,0,0,0,0,0,1,1. YES,1. YES,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,2. NO,,,,1. YES,2. NO,,,,,,,,,,,,,,,,,,,1. YES,2. NO,3. MOVEMENT RESTRICTION,,1. YES,,,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, raising family  livestock, or fishing",,,,,2. NO,,,,,,,1. YES,"6. TRANSPORT, DRIVING, POST, TRAVEL AGENCIES",3. Less,1. USUAL PLACE OF BUSINESS CLOSED DUE TO CORONAVIRUS LEGAL RESTRICTIONS,,,2. NO,1,0,0,0,0,0,0,,2. NO,2. NO,1. YES,1. Very worried,3. Not much of a threat,0,0,0,0,0,0,0,1,0,0,0,1,1. COMPLETE,2,1. ENGLISH,,1,2020-05-02T14:47:20
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,1044,10069,15,8604.516709635629,1. YES,1. YES,1. YES,2. NO,1. YES,2. NO,1. YES,1. YES,2. NO,1. YES,1. YES,1,1,0,0,0,0,0,0,0,0,0,0,0,,1. YES,,,,,,,,,1. YES,1. YES,2. NO,1. YES,2. NO,,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,2. NO,,,,2. NO,,,,,,,,,,,,,,,,,,,,2. NO,,,,2. NO,1. YES,"96. OTHER, SPECIFY",LACK OF MONEY,"1. AGRICULTURE, HUNTING, FISHING",,,,,,,2. NO,,,,,,,2. NO,,,,,1. YES,1. YES,,,,,,,,,1. YES,1. YES,2. NO,3. Not too worried,1. A substantial threat,1,0,0,0,0,0,0,0,0,0,0,1,1. COMPLETE,13,5. IGBO,,0,2020-04-29T18:11:52
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,560,10071,2,3414.917013323023,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,0,1,0,0,0,0,0,1,0,0,0,0,0,,2. NO,0,1,1,0,0,0,0,,1. YES,1. YES,1. YES,2. NO,2. NO,,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,,,2. NO,,,,1. YES,1. YES,2. NO,,,,,,,,,,2. NO,,,,,,,,2. NO,,,,1. YES,,,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, raising family  livestock, or fishing",,,,,2. NO,,,,,,,2. NO,,,,,,1. YES,,,,,,,,,1. YES,2. NO,2. NO,4. Not worried at all,1. A substantial threat,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,5. IGBO,,0,2020-05-05T21:15:49
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,560,10072,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9. REFERENCE PERSON CAN'T CONNECT TO HH,,,,,2020-05-04T07:55:48
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,560,10077,15,4817.926915211547,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,2. NO,1,0,0,0,0,0,0,0,0,0,0,0,0,,1. YES,,,,,,,,,1. YES,1. YES,2. NO,1. YES,2. NO,,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,2. NO,,,,2. NO,,,,,,,,,,,,,,,,,,,,1. YES,1. YES,,,1. YES,,,,,"1. AGRICULTURE, HUNTING, FISHING",4. As an employee for a private company or another individual (not household member),1. YES,,,,2. NO,,,,,,,2. NO,,,,,2. NO,,,,,,,,,,2. NO,1. YES,1. YES,2. Somewhat worried,2. A moderate threat,1,0,0,0,0,0,0,0,0,0,0,1,1. COMPLETE,2,1. ENGLISH,,2,2020-04-29T09:06:34
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,560,10079,2,5684.782632757686,1. YES,1. YES,2. NO,1. YES,2. NO,2. NO,2. NO,2. NO,1. YES,1. YES,2. NO,0,0,0,0,0,0,1,1,0,0,0,0,0,,2. NO,0,1,1,0,0,0,0,,1. YES,1. YES,2. NO,2. NO,1. YES,1. YES,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,1. YES,1. YES,,,2. NO,,,,,,,,,,,,,,,,,,,,2. NO,,,,1. YES,,,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, raising family  livestock, or fishing",,,,,2. NO,,,,,,,1. YES,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",3. Less,1. USUAL PLACE OF BUSINESS CLOSED DUE TO CORONAVIRUS LEGAL RESTRICTIONS,,,1. YES,,,,,,,,,2. NO,2. NO,2. NO,4. Not worried at all,1. A substantial threat,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,5. IGBO,,0,2020-05-04T16:56:46
4. South East,1. Abia,105. IKWUANO,2. Rural,638,10091,2,5127.422469388261,1. YES,1. YES,1. YES,1. YES,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,1. YES,1,1,0,0,0,0,0,1,0,0,0,0,0,,1. YES,,,,,,,,,2. NO,1. YES,1. YES,1. YES,2. NO,,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,,,2. NO,,,,1. YES,1. YES,2. NO,,,,,,,,,,2. NO,,,,,,,,2. NO,,,,2. NO,1. YES,5. VACATION,,"1. AGRICULTURE, HUNTING, FISHING",,,,,,,2. NO,,,,,,,2. NO,,,,,1. YES,1. YES,,,,,,,,,2. NO,2. NO,2. NO,4. Not worried at all,4. Not a threat at all,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,2,5. IGBO,,0,2020-04-20T10:32:44
