zone,state,lga,sector,ea,hhid,interviewer_id,wt_round3,wt_r3panel,s2q0a,s2q0b,s5q1a4,s5q1b4,s5q1c4__1,s5q1c4__2,s5q1c4__3,s5q1c4__4,s5q1c4__5,s5q1c4__6,s5q1a5,s5q1b5,s5q1c5__1,s5q1c5__2,s5q1c5__3,s5q1c5__4,s5q1c5__5,s5q1c5__6,s5q1a6,s5q1b6,s5q1c6__1,s5q1c6__2,s5q1c6__3,s5q1c6__4,s5q1c6__5,s5q1c6__6,s5q1a7,s5q1b7,s5q1c7__1,s5q1c7__2,s5q1c7__3,s5q1c7__4,s5q1c7__5,s5q1c7__6,s5q1a8,s5q1b8,s5q1c8__1,s5q1c8__2,s5q1c8__3,s5q1c8__4,s5q1c8__5,s5q1c8__6,s5q1c,s5q1d,s5q1e,s5q2,s5q3,s5q4,s5q4_os,filter2,s5q3a,s5q3b,s5q3c__1,s5q3c__2,s5q3c__3,s5q3c__4,s5q3c__5,s5q3c__6,s5q3c__96,s5q3c_os,s5q3d,s5q3e,s5q3f__1,s5q3f__2,s5q3f__3,s5q3f__4,s5q3f__96,s5q3f_os,filter1,s5q4b,s5q5__1,s5q5__2,s5q5__3,s5q5__4,s5q5__5,s5q5__6,s5q5__7,s5q5__96,s5q5_os,s5q11,s5q12,s5q13__1,s5q13__2,s5q13__3,s5q13__4,s5q13__96,s5q13_os,s5q13a,s5q13b__1,s5q13b__2,s5q13b__3,s5q13b__96,s5q13b_os,s5q14,s5q15,s5q16,s5q17__1,s5q17__2,s5q17__3,s5aq1,s5aq2,s5aq2_os,s5aq3__1,s5aq3__2,s5aq3__3,s5aq3__4,s5aq3__5,s5aq3__6,s5aq3__7,s5aq3__8,s5aq3__9,s5aq3__10,s5aq3__11,s5aq3__12,s5aq3__96,s5aq3_os,s5aq4,s5aq5,s5aq6a,s5aq6b,s5aq7__1,s5aq7__2,s5aq7__3,s5aq7__4,s5aq7__96,s5aq7_os,emp_case,s6q1,s6q1a,s6q1b,s6q1c,s6q1c_os,s6q3,s6q3_os,s6q3a,s6q3b,s6q3b_os,s6q4a,s6q4b,s6q4b_os,s6q5,s6q6,s6q7,s6q8,s6q8a,s6q8a_os,s6q8b,s6q8c,s6q8f__1,s6q8f__2,s6q8f__3,s6q8f__4,s6q8f__5,s6q8f__6,s6q8f__7,s6q8f__8,s6q8f__96,s6q8f_os,s6q8g,s6q9,s6q10_1,s6q10_2,s6q10_3,s6q10_4,s6q10_5,s6q10_6,s6q10_7,s6q10_8,s6q10_9,nfe_case,s6q11,s6q11a,s6q11b,s6q11b_os,s6q11c,s6q12,s6q13,s6q14,s6q14_os,s6q15a,s6q15b,s6q16a,s6aq1,s6aq1b,s6q2a,s6q2b,s6q2c,s6q2d,s6q2e,s6aq3a,s6aq4__1,s6aq4__2,s6aq4__3,s6aq4__4,s6aq4__5,s6aq4__6,s6aq4__96,s6aq4_os,s6aq3b,s6aq5__1,s6aq5__2,s6aq5__3,s6aq5__4,s6aq5__5,s6aq5__6,s6aq5__96,s6aq5_os,s6aq3c,s6aq6__1,s6aq6__2,s6aq6__3,s6aq6__4,s6aq6__5,s6aq6__6,s6aq6__96,s6aq6_os,s6aq3d,s6aq7__1,s6aq7__2,s6aq7__3,s6aq7__4,s6aq7__5,s6aq7__96,s6aq7_os,s6aq3e,s6aq8__1,s6aq8__2,s6aq8__3,s6aq8__4,s6aq8__5,s6aq8__96,s6aq8_os,s12q3__0,s12q3__1,s12q3__2,s12q3__3,s12q3__4,s12q3__5,s12q3__6,s12q3__7,s12q4__0,s12q4__1,s12q4__2,s12q4__3,filter,s12q4a,s12q4b,s12q5,s12q9,s12q10,s12q10_os,s12q10a,s12q11,s12q14
2. North East,5. Bauchi,505. DARAZO,2. Rural,1716,59068,12,13551.325905032578,14171.851298194855,2. NO,2. NO,1. YES,2. NO,0,0,0,0,0,1,1. YES,2. NO,0,0,0,0,0,1,1. YES,1. YES,,,,,,,1. YES,2. NO,0,0,0,0,0,1,1. YES,1. YES,,,,,,,1. All of the time,1. All of the time,3. THREE,1. YES,2. NO,2. NO MEDICAL PERSONNEL AVAILABLE,,1. YES,1. YES,1. YES,,,,,,,,,2. NO,,,,,,,,1. YES,1. YES,1,0,0,0,1,1,1,0,,1. YES,1. YES,,,,,,,2. NO,,,,,,2. NO,,,,,,2. NO,,,,,,,,,,,,,,,,,1. OWN,,,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 2 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing",,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,1. NFE TEMPORARILY CLOSED AT LAST INTERVIEW,,2. Temporarily closed,3. NO COSTUMERS / FEWER CUSTOMERS,,CARPENTER,"2. MINING, MANUFACTURING",,,,2. NO,,1. YES,,1,1. YES,1. YES,1. YES,2. NO,1. YES,2. NO,0,0,0,0,0,1,0,,1. YES,,,,,,,,,2. NO,0,0,0,0,0,1,0,,,,,,,,,,1. YES,,,,,,,,1,0,0,0,0,0,0,0,0,1,0,0,1. YES,,,1. COMPLETE,1,3. HAUSA,,1. YES,0,2020-07-14T11:26:22
2. North East,5. Bauchi,506. DASS,2. Rural,696,59073,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1. YES,,,7. PHONE TURNED OFF,,,,,,2020-07-20T20:36:42
2. North East,5. Bauchi,506. DASS,2. Rural,696,59077,4,5330.984365376593,5645.518382873274,2. NO,2. NO,1. YES,1. YES,,,,,,,1. YES,2. NO,0,0,0,0,1,1,1. YES,2. NO,0,0,0,0,0,1,1. YES,2. NO,1,0,1,1,1,1,1. YES,2. NO,0,0,0,0,0,1,5. None of the time,5. None of the time,5. FIVE OR MORE,1. YES,1. YES,,,1. YES,1. YES,1. YES,,,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,0,0,0,1,1,1,0,0,,2. NO,,,,,,,,,,,,,,2. NO,,,,,,2. NO,,,,,,,,,,,,,,,,,1. OWN,,,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 2 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing",,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,2. NFE WAS OPERATING AT ROUND 2,,2. Temporarily closed,1. USUAL PLACE OF BUSINESS CLOSED DUE TO CORONAVIRUS LEGAL RESTRICTIONS,,"BUYING AND SELLING OF FOOD STUFFS AND PROVISIONS, AND I AM A FOCANIZER","5. BUYING &amp; SELLING GOODS, REPAIR OF GOODS, HOTELS &amp; RESTAURANTS",3. Less,1. USUAL PLACE OF BUSINESS CLOSED DUE TO CORONAVIRUS LEGAL RESTRICTIONS,,1. YES,4,1. YES,,1,1. YES,1. YES,1. YES,1. YES,1. YES,2. NO,0,0,0,1,1,1,1,DUE TO CORONA VIRUS,2. NO,0,0,0,0,0,0,1,THE CATTLE ARE NOT WELL FED TO PRODUCE DUNG,2. NO,0,0,1,1,1,1,0,,2. NO,0,1,0,0,1,0,,2. NO,0,1,0,0,0,1,NO MONEY TO PAY,1,0,0,0,0,0,0,0,1,0,0,0,1. YES,,,1. COMPLETE,1,3. HAUSA,,1. YES,0,2020-07-07T10:40:00
2. North East,5. Bauchi,506. DASS,2. Rural,696,59079,21,8411.904339528643,8438.145950565573,2. NO,2. NO,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,,,1. YES,1. YES,,,,,,,1. All of the time,1. All of the time,5. FIVE OR MORE,1. YES,1. YES,,,1. YES,1. YES,1. YES,,,,,,,,,2. NO,,,,,,,,1. YES,1. YES,0,0,0,0,0,0,1,0,,1. YES,1. YES,,,,,,,2. NO,,,,,,1. YES,2. PERSONAL,1. PUBLIC/COMMERCIAL TRANSPORT,0,1,0,2. NO,,,,,,,,,,,,,,,,,2. RENTED,3. WITHIN THE NEXT 2 TO 3 MONTHS,,1. YES,,,,,,,2. RESPONDENT WAS NOT WORKING AT THE TIME OF ROUND 2 INTERVIEW,1. YES,,,,,,,,,,,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing",,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,3. NFE WAS NOT OPERATING OR PERMANENTLY CLOSED AT ROUND 2,2. NO,,,,,,,,,,,1. YES,,1,1. YES,1. YES,1. YES,2. NO,1. YES,2. NO,0,0,0,0,0,1,0,,2. NO,0,0,0,0,0,1,0,,1. YES,,,,,,,,,,,,,,,,,1. YES,,,,,,,,1,0,0,0,0,0,0,0,1,0,0,0,1. YES,,,1. COMPLETE,1,3. HAUSA,,2. NO,0,2020-07-09T07:12:22
2. North East,5. Bauchi,506. DASS,2. Rural,696,59083,19,3954.686553333382,3857.5156295742113,2. NO,1. YES,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,1. YES,1. YES,,,,,,,1. All of the time,1. All of the time,2. TWO,1. YES,1. YES,,,1. YES,1. YES,1. YES,,,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,0,0,0,1,0,1,0,0,,2. NO,,,,,,,,,,,,,,2. NO,,,,,,2. NO,,,,,,,,,,,,,,,,,1. OWN,,,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 2 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS","6. As an apprentice, trainee, intern",1. YES,,,,2,3. Fewer hours,1,1,1,1,1,0,0,0,0,,5. Strongly follow,2. NO,,,,,,,,,,2. NFE WAS OPERATING AT ROUND 2,,1. Open,,,sells grains,"5. BUYING &amp; SELLING GOODS, REPAIR OF GOODS, HOTELS &amp; RESTAURANTS",1. Higher,,,1. YES,3,1. YES,,11,1. YES,1. YES,1. YES,1. YES,1. YES,2. NO,0,0,0,0,1,1,0,,1. YES,,,,,,,,,1. YES,,,,,,,,,1. YES,,,,,,,,1. YES,,,,,,,,1,0,0,0,0,0,0,0,1,0,0,0,1. YES,,,1. COMPLETE,11,3. HAUSA,,1. YES,0,2020-07-15T08:08:51
2. North East,5. Bauchi,507. GAMAWA,2. Rural,230,59086,13,6437.786697558569,6829.342827094629,2. NO,2. NO,1. YES,2. NO,0,0,0,0,1,0,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,,,1. All of the time,1. All of the time,2. TWO,1. YES,1. YES,,,1. YES,1. YES,1. YES,,,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,,,,2. NO,,,,,,,,,,,,,,2. NO,,,,,,2. NO,,,,,,,,,,,,,,,,,1. OWN,,,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 2 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing",,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,2. NFE WAS OPERATING AT ROUND 2,,1. Open,,,BUYING AND SELLING OF CATTLE,"5. BUYING &amp; SELLING GOODS, REPAIR OF GOODS, HOTELS &amp; RESTAURANTS",1. Higher,,,1. YES,2,1. YES,,1,1. YES,1. YES,2. NO,1. YES,2. NO,2. NO,0,0,0,0,0,1,0,,2. NO,0,0,0,0,0,1,0,,,,,,,,,,,1. YES,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,1,0,0,0,1. YES,,,1. COMPLETE,1,3. HAUSA,,1. YES,0,2020-07-16T07:47:50
2. North East,5. Bauchi,507. GAMAWA,2. Rural,230,59087,13,7958.61475287696,8404.96610139481,2. NO,1. YES,1. YES,2. NO,0,0,0,0,0,1,1. YES,2. NO,0,0,0,0,0,1,2. NO,,,,,,,,1. YES,2. NO,0,0,0,0,0,1,1. YES,1. YES,,,,,,,4. Some of the time,4. Some of the time,3. THREE,2. NO,,,,1. YES,1. YES,1. YES,,,,,,,,,2. NO,,,,,,,,1. YES,2. NO,,,,,,,,,,1. YES,2. NO,0,0,0,1,0,,,,,,,,2. NO,,,,,,2. NO,,,,,,,,,,,,,,,,,1. OWN,,,,,,,,,,2. RESPONDENT WAS NOT WORKING AT THE TIME OF ROUND 2 INTERVIEW,1. YES,,,,,,,,,,,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing",,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,2. NFE WAS OPERATING AT ROUND 2,,1. Open,,,WEAVING,"9. PERSONAL SERVICES, EDUCATION, HEALTH, CULTURE, SPORT, DOMESTIC WORK, OTHER",2. The same,,,2. NO,,1. YES,,1,1. YES,1. YES,1. YES,1. YES,1. YES,2. NO,0,0,0,0,1,1,0,,1. YES,,,,,,,,,2. NO,0,0,0,0,1,1,0,,1. YES,,,,,,,,2. NO,0,0,1,0,0,0,,1,0,0,0,0,0,0,0,0,0,1,1,1. YES,,,1. COMPLETE,1,3. HAUSA,,1. YES,0,2020-07-17T21:00:39
2. North East,5. Bauchi,507. GAMAWA,2. Rural,230,59093,13,8017.431883435268,8362.6444670704,2. NO,1. YES,1. YES,2. NO,0,0,0,0,1,0,1. YES,2. NO,0,0,0,0,0,1,1. YES,2. NO,0,0,0,0,0,1,1. YES,2. NO,0,0,0,0,0,1,1. YES,2. NO,0,0,0,0,0,1,1. All of the time,1. All of the time,1. ONE,2. NO,,,,1. YES,1. YES,1. YES,,,,,,,,,2. NO,,,,,,,,1. YES,2. NO,,,,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,2. NO,,,,,,2. NO,,,,,,,,,,,,,,,,,3. OCCUPIED FREE OF CHARGE,,,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 2 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing",,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,2. NFE WAS OPERATING AT ROUND 2,,1. Open,,,BUYING AND SELLING OF GRAINS,"5. BUYING &amp; SELLING GOODS, REPAIR OF GOODS, HOTELS &amp; RESTAURANTS",1. Higher,,,2. NO,,1. YES,,1,1. YES,1. YES,2. NO,2. NO,1. YES,2. NO,0,0,0,0,0,1,0,,1. YES,,,,,,,,,,,,,,,,,,,,,,,,,,1. YES,,,,,,,,1,0,0,0,0,0,0,0,1,0,0,0,1. YES,,,1. COMPLETE,1,3. HAUSA,,1. YES,3,2020-07-12T09:16:18
2. North East,5. Bauchi,507. GAMAWA,2. Rural,230,59095,4,7558.357268835397,7994.23803542278,2. NO,1. YES,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,,,1. All of the time,1. All of the time,3. THREE,2. NO,,,,1. YES,1. YES,1. YES,,,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,2. NO,,,,,,2. NO,,,,,,,,,,,,,,,,,1. OWN,,,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 2 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing",,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,2. NFE WAS OPERATING AT ROUND 2,,1. Open,,,CRAFT SEWING,"9. PERSONAL SERVICES, EDUCATION, HEALTH, CULTURE, SPORT, DOMESTIC WORK, OTHER",3. Less,3. NO COSTUMERS / FEWER CUSTOMERS,,2. NO,,1. YES,,1,1. YES,1. YES,1. YES,1. YES,1. YES,2. NO,0,0,0,0,0,1,0,,1. YES,,,,,,,,,2. NO,0,0,0,0,0,1,0,,2. NO,0,0,0,0,1,0,,1. YES,,,,,,,,0,0,0,1,0,0,0,0,1,0,0,0,1. YES,,,1. COMPLETE,1,3. HAUSA,,1. YES,0,2020-07-08T21:18:25
2. North East,5. Bauchi,509. GIADE,2. Rural,1064,59097,1,7766.945992030009,7750.759229459786,2. NO,2. NO,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,1. YES,2. NO,0,0,0,0,0,1,2. Most of the time,1. All of the time,3. THREE,2. NO,,,,2. NO,,,,,,,,,,,2. NO,,,,,,,,1. YES,2. NO,,,,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,2. NO,,,,,,2. NO,,,,,,,,,,,,,,,,,2. RENTED,6. MORE THAN 12 MONTHS,,1. YES,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 2 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing",,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,3. NFE WAS NOT OPERATING OR PERMANENTLY CLOSED AT ROUND 2,2. NO,,,,,,,,,,,1. YES,,1,1. YES,1. YES,1. YES,1. YES,1. YES,2. NO,0,0,0,0,1,0,0,,2. NO,0,0,0,0,0,1,0,,2. NO,0,0,0,0,0,1,0,,2. NO,0,0,0,1,0,0,,2. NO,0,0,1,0,0,0,,0,0,1,0,0,1,0,0,1,0,0,0,1. YES,,,1. COMPLETE,1,3. HAUSA,,1. YES,0,2020-07-16T11:34:12
2. North East,5. Bauchi,509. GIADE,2. Rural,1064,59098,21,5254.4680586684635,5184.879907080448,2. NO,2. NO,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,3. About half of the time,1. All of the time,5. FIVE OR MORE,2. NO,,,,1. YES,2. NO,,,,,,,,,,1. YES,1. YES,,,,,,,1. YES,2. NO,,,,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,2. NO,,,,,,2. NO,,,,,,,,,,,,,,,,,1. OWN,,,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 2 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,,5. As an employee for the government,1. YES,,,,18,3. Fewer hours,1,1,1,1,1,1,1,0,0,,5. Strongly follow,2. NO,,,,,,,,,,2. NFE WAS OPERATING AT ROUND 2,,1. Open,,,BUYING AND SELLING PALM OIL,"5. BUYING &amp; SELLING GOODS, REPAIR OF GOODS, HOTELS &amp; RESTAURANTS",1. Higher,,,2. NO,,1. YES,,1,1. YES,1. YES,1. YES,1. YES,1. YES,2. NO,0,0,0,0,0,1,0,,1. YES,,,,,,,,,1. YES,,,,,,,,,1. YES,,,,,,,,1. YES,,,,,,,,1,0,0,0,0,0,0,0,1,0,0,0,1. YES,,,1. COMPLETE,1,3. HAUSA,,2. NO,0,2020-07-10T12:10:03
2. North East,5. Bauchi,509. GIADE,2. Rural,1064,59101,12,5017.170189065452,5275.722292320212,2. NO,2. NO,1. YES,2. NO,0,0,0,0,1,0,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,,,1. YES,2. NO,0,0,0,0,1,0,1. All of the time,2. Most of the time,5. FIVE OR MORE,1. YES,1. YES,,,2. NO,,,,,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,2. NO,,,,,,2. NO,,,,,,,,,,,,,,,,,1. OWN,,,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 2 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing",,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,2. NFE WAS OPERATING AT ROUND 2,,1. Open,,,SELLS ROPE,"5. BUYING &amp; SELLING GOODS, REPAIR OF GOODS, HOTELS &amp; RESTAURANTS",3. Less,3. NO COSTUMERS / FEWER CUSTOMERS,,2. NO,,1. YES,,1,1. YES,1. YES,1. YES,1. YES,2. NO,2. NO,0,0,0,0,1,1,0,,2. NO,0,0,0,0,0,1,0,,2. NO,0,0,0,0,0,1,0,,2. NO,0,0,0,0,1,0,,,,,,,,,,0,1,1,0,1,0,1,0,1,0,0,0,1. YES,,,1. COMPLETE,1,3. HAUSA,,1. YES,0,2020-07-10T21:11:20
2. North East,5. Bauchi,509. GIADE,2. Rural,1064,59102,4,13042.594648820957,12922.93726452946,1. YES,1. YES,1. YES,2. NO,0,0,0,0,0,1,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,1. YES,2. NO,0,0,0,0,0,1,1. YES,1. YES,,,,,,,1. All of the time,1. All of the time,5. FIVE OR MORE,1. YES,2. NO,1. LACK OF MONEY,,1. YES,1. YES,1. YES,,,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,,,,,,2. NO,,,,,,,,,,,,,,2. NO,,,,,,2. NO,,,,,,,,,,,,,,,,,1. OWN,,,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 2 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing",,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,2. NFE WAS OPERATING AT ROUND 2,,3. Permanently closed,4. CAN'T GET INPUTS,,SELLING SOUP INGREDIENTS AND SOAP AND DETERGENT,"5. BUYING &amp; SELLING GOODS, REPAIR OF GOODS, HOTELS &amp; RESTAURANTS",3. Less,9. SEASONAL CLOSURE,,2. NO,,1. YES,,1,1. YES,1. YES,1. YES,1. YES,1. YES,2. NO,0,0,0,0,1,1,0,,1. YES,,,,,,,,,2. NO,0,0,0,0,0,1,0,,1. YES,,,,,,,,1. YES,,,,,,,,1,0,0,0,0,0,0,0,1,0,0,0,1. YES,,,1. COMPLETE,1,3. HAUSA,,1. YES,0,2020-07-09T13:51:36
2. North East,5. Bauchi,509. GIADE,2. Rural,1064,59104,1,7361.745877125786,7390.0713764279,2. NO,2. NO,2. NO,,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,2. Most of the time,1. All of the time,1. ONE,2. NO,,,,1. YES,1. YES,1. YES,,,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,,,,,,1. YES,1. YES,,,,,,,1. YES,0,0,1,0,,2. NO,,,,,,2. NO,,,,,,,,,,,,,,,,,1. OWN,,,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 2 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing",,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,1. NFE TEMPORARILY CLOSED AT LAST INTERVIEW,,3. Permanently closed,1. USUAL PLACE OF BUSINESS CLOSED DUE TO CORONAVIRUS LEGAL RESTRICTIONS,,selling eg fish,"5. BUYING &amp; SELLING GOODS, REPAIR OF GOODS, HOTELS &amp; RESTAURANTS",,,,2. NO,,1. YES,,1,1. YES,1. YES,1. YES,2. NO,2. NO,2. NO,0,0,0,0,0,1,0,,2. NO,0,0,0,0,0,1,0,,2. NO,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,1,0,0,0,1. YES,,,1. COMPLETE,1,3. HAUSA,,2. NO,0,2020-07-11T15:16:42
2. North East,5. Bauchi,509. GIADE,2. Rural,1064,59105,1,4687.306624277909,4947.536143516358,2. NO,2. NO,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,2. Most of the time,2. Most of the time,2. TWO,1. YES,1. YES,,,1. YES,1. YES,1. YES,,,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,2. NO,,,,,,2. NO,,,,,,,,,,,,,,,,,1. OWN,,,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 2 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing",,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,2. NFE WAS OPERATING AT ROUND 2,,2. Temporarily closed,1. USUAL PLACE OF BUSINESS CLOSED DUE TO CORONAVIRUS LEGAL RESTRICTIONS,,okada business,"9. PERSONAL SERVICES, EDUCATION, HEALTH, CULTURE, SPORT, DOMESTIC WORK, OTHER",3. Less,1. USUAL PLACE OF BUSINESS CLOSED DUE TO CORONAVIRUS LEGAL RESTRICTIONS,,2. NO,,1. YES,,1,1. YES,1. YES,1. YES,1. YES,1. YES,2. NO,0,0,0,0,1,0,0,,2. NO,0,0,0,0,0,1,0,,2. NO,0,0,0,0,1,0,0,,2. NO,0,0,0,0,1,0,,1. YES,,,,,,,,1,0,0,0,0,0,0,0,0,1,0,1,1. YES,,,1. COMPLETE,1,3. HAUSA,,1. YES,0,2020-07-14T17:08:10
2. North East,5. Bauchi,509. GIADE,2. Rural,1064,59106,1,10038.165553819852,9973.647323471185,2. NO,2. NO,1. YES,2. NO,0,0,0,0,0,1,1. YES,2. NO,0,0,0,0,0,1,1. YES,2. NO,0,0,0,0,0,1,1. YES,2. NO,0,0,0,0,0,1,1. YES,2. NO,0,0,0,0,0,1,2. Most of the time,3. About half of the time,5. FIVE OR MORE,1. YES,1. YES,,,2. NO,,,,,,,,,,,2. NO,,,,,,,,1. YES,2. NO,,,,,,,,,,1. YES,2. NO,0,0,0,0,1,no money,,,,,,,2. NO,,,,,,2. NO,,,,,,,,,,,,,,,,,2. RENTED,3. WITHIN THE NEXT 2 TO 3 MONTHS,,2. NO,1,0,0,0,0,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 2 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,,1. In your own non-farm business,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,4. RESPONDENT WORKED IN NFE LAST WEEK AND NFE WAS OPERATING AT ROUND 2,,1. Open,,,meat business,"5. BUYING &amp; SELLING GOODS, REPAIR OF GOODS, HOTELS &amp; RESTAURANTS",3. Less,4. CAN'T GET INPUTS,,1. YES,3,1. YES,,4,1. YES,1. YES,1. YES,1. YES,1. YES,2. NO,0,0,0,0,0,1,0,,2. NO,0,0,0,0,1,0,0,,2. NO,0,0,0,0,0,1,0,,2. NO,0,0,0,0,1,0,,2. NO,0,0,1,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,1,1. YES,,,1. COMPLETE,1,3. HAUSA,,1. YES,0,2020-07-07T12:08:23
