zone,state,lga,sector,ea,hhid,indiv,wt_educ_r6,wt_educ_r6_pp_panel,wt_educ_r6_ph_panel,s5cq10,s5cq10a,s5cq11,s5cq12,s5cq12_os,s5cq12a,s5cq13a,s5cq13,s5cq13_os,s5cq14,s5cq14_os,s5cq15,s5cq16,s5cq17,s5cq17a,s5cq18,s5cq19,s5cq19_os,s5cq20,s5cq20_os,s5cq21
4. South East,1. Abia,105. IKWUANO,2. Rural,0,10009,5,25410.440190593083,27559.736216809077,26855.149321934263,1. YES,1. YES,2. NO,4. AWAITING ADMISSION,,,,,,,,,,,2. NO,1. YES,16. PRIMARY 6,,6. PRIVATE,,1. YES
4. South East,1. Abia,105. IKWUANO,2. Rural,0,10009,6,20909.327056538925,25944.715515231484,25959.586786320888,1. YES,1. YES,1. YES,,,,1. 2019/20 SESSION,25. SS2,,2. STATE GOVERNMENT,,3. NO,,1. YES,2. NO,,,,,,
4. South East,1. Abia,105. IKWUANO,2. Rural,0,10009,7,25996.354825913808,29252.33751578604,27965.36414581278,1. YES,1. YES,1. YES,,,,1. 2019/20 SESSION,11. PRIMARY 1,,6. PRIVATE,,3. NO,,1. YES,2. NO,,,,,,
4. South East,1. Abia,105. IKWUANO,2. Rural,0,10009,8,,,,2. NO,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10034,2,,,,2. NO,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10034,5,,,,2. NO,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10034,7,,,,2. NO,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10034,8,,,,2. NO,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10034,9,,,,2. NO,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10034,10,,,,2. NO,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10034,11,,,,2. NO,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10035,1,,,,2. NO,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10035,2,,,,2. NO,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10035,3,,,,2. NO,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10035,5,,,,2. NO,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10035,6,,,,2. NO,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10038,1,,,,2. NO,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10038,2,,,,2. NO,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10038,4,18235.153150006267,23001.818870291863,22242.62869379107,1. YES,1. YES,2. NO,4. AWAITING ADMISSION,,,,,,,,,,,2. NO,1. YES,26. SS3,,5. RELIGIOUS BODY,,2. NO
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10038,5,11309.30415565757,13099.377855520961,12311.431786421035,1. YES,1. YES,2. NO,4. AWAITING ADMISSION,,,,,,,,,,,2. NO,1. YES,26. SS3,,2. STATE GOVERNMENT,,1. YES
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10038,9,18110.384365289367,19548.47476555487,19542.696737192233,1. YES,1. YES,2. NO,1. SCHOOLS CLOSED DUE TO CORONAVIRUS,,1. YES,,,,,,,,,2. NO,1. YES,2. NURSERY 2,,5. RELIGIOUS BODY,,2. NO
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10038,101,8225.578685330496,,,1. YES,1. YES,1. YES,,,,1. 2019/20 SESSION,21. JS1,,2. STATE GOVERNMENT,,"1. YES, EVERY DAY",,,2. NO,,,,,,
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10040,1,,,,2. NO,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10054,1,,,,2. NO,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10054,2,,,,2. NO,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10054,101,11277.128481262822,,,1. YES,1. YES,1. YES,,,,1. 2019/20 SESSION,22. JS2,,2. STATE GOVERNMENT,,"1. YES, EVERY DAY",,,2. NO,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10054,102,9042.87535572592,,,1. YES,1. YES,1. YES,,,,1. 2019/20 SESSION,13. PRIMARY 3,,3. LOCAL GOVERNMENT,,"1. YES, EVERY DAY",,,2. NO,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10054,103,12823.956003623993,,,1. YES,1. YES,1. YES,,,,1. 2019/20 SESSION,12. PRIMARY 2,,3. LOCAL GOVERNMENT,,"1. YES, EVERY DAY",,,2. NO,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10056,1,,,,2. NO,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10056,101,,,,2. NO,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10056,201,,,,2. NO,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10056,301,,,,2. NO,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10057,1,,,,2. NO,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10057,2,,,,2. NO,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10057,4,,,,2. NO,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10057,5,,,,2. NO,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10057,6,10050.411450759695,13229.249464779552,10853.95901385186,1. YES,1. YES,2. NO,96. OTHER (SPECIFY),just finished her weac and she is currently doing sales girl.,,,,,,,,,,2. NO,1. YES,26. SS3,,2. STATE GOVERNMENT,,1. YES
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10057,201,,,,2. NO,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10060,1,,,,2. NO,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10060,2,,,,2. NO,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10060,4,,,,2. NO,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10060,5,5675.687496630899,6422.634945816632,6269.859309325966,1. YES,1. YES,2. NO,96. OTHER (SPECIFY),Dueto Sickness,,,,,,,,,,2. NO,1. YES,22. JS2,,6. PRIVATE,,1. YES
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10060,6,6257.428769555152,6855.594608001531,6714.782979015914,1. YES,1. YES,1. YES,,,,1. 2019/20 SESSION,12. PRIMARY 2,,6. PRIVATE,,"1. YES, EVERY DAY",,,2. NO,,,,,,
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,1044,10067,1,,,,2. NO,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,1044,10067,2,,,,2. NO,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,1044,10067,7,6458.9328258373625,8284.442829092775,8140.946300998763,1. YES,1. YES,1. YES,,,,1. 2019/20 SESSION,16. PRIMARY 6,,1. FEDERAL GOVERNMENT,,"1. YES, EVERY DAY",,,2. NO,,,,,,
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,1044,10069,1,,,,2. NO,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,1044,10069,13,,,,2. NO,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,560,10071,1,,,,2. NO,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,560,10071,2,,,,2. NO,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,560,10071,3,5704.82742450552,7723.850412944797,7502.331204684234,1. YES,1. YES,1. YES,,,,1. 2019/20 SESSION,24. SS1,,4. COMMUNITY,,"1. YES, EVERY DAY",,,2. NO,,,,,,
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,560,10071,4,3221.600988040504,3997.427603111725,3999.718891659917,1. YES,1. YES,1. YES,,,,1. 2019/20 SESSION,21. JS1,,4. COMMUNITY,,"1. YES, EVERY DAY",,,2. NO,,,,,,
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,560,10071,5,2899.7258992706456,3787.2397263440575,3747.096102423483,1. YES,1. YES,2. NO,4. AWAITING ADMISSION,,,,,,,,,,,2. NO,1. YES,16. PRIMARY 6,,4. COMMUNITY,,2. NO
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,560,10071,6,,,,2. NO,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,560,10077,2,,,,2. NO,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,560,10079,1,,,,2. NO,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,560,10079,2,,,,2. NO,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,105. IKWUANO,2. Rural,638,10096,3,,,,2. NO,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,105. IKWUANO,2. Rural,638,10096,5,,,,2. NO,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,105. IKWUANO,2. Rural,638,10096,201,,,,2. NO,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,108. ISUIKWATO,2. Rural,904,10103,1,,,,2. NO,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,108. ISUIKWATO,2. Rural,904,10103,2,,,,2. NO,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,108. ISUIKWATO,2. Rural,904,10103,4,,,,2. NO,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,108. ISUIKWATO,2. Rural,904,10103,7,,,,2. NO,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,108. ISUIKWATO,2. Rural,904,10103,8,14064.470359260129,15826.012403851852,15129.73790935607,1. YES,1. YES,1. YES,,,,1. 2019/20 SESSION,12. PRIMARY 2,,6. PRIVATE,,3. NO,,2. NO,2. NO,,,,,,
4. South East,1. Abia,108. ISUIKWATO,2. Rural,904,10103,9,,,,2. NO,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,108. ISUIKWATO,2. Rural,904,10103,10,,,,2. NO,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,108. ISUIKWATO,2. Rural,904,10106,1,,,,2. NO,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,108. ISUIKWATO,2. Rural,904,10106,2,,,,2. NO,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,108. ISUIKWATO,2. Rural,904,10106,3,,,,2. NO,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,108. ISUIKWATO,2. Rural,904,10106,4,,,,2. NO,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,108. ISUIKWATO,2. Rural,904,10106,5,14734.172166688639,19948.814101759104,19376.68423526755,1. YES,1. YES,1. YES,,,,2. 2020/21 SESSION,26. SS3,,5. RELIGIOUS BODY,,3. NO,,1. YES,1. YES,1. YES,25. SS2,,2. STATE GOVERNMENT,,1. YES
4. South East,1. Abia,108. ISUIKWATO,2. Rural,904,10108,3,,,,2. NO,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,108. ISUIKWATO,2. Rural,904,10108,4,,,,2. NO,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,108. ISUIKWATO,2. Rural,904,10108,5,12456.137823330137,15976.658133969733,15699.9231718165,1. YES,1. YES,1. YES,,,,1. 2019/20 SESSION,14. PRIMARY 4,,5. RELIGIOUS BODY,,"1. YES, EVERY DAY",,,2. NO,,,,,,
4. South East,1. Abia,108. ISUIKWATO,2. Rural,904,10108,101,12456.137823330137,,,1. YES,1. YES,1. YES,,,,1. 2019/20 SESSION,12. PRIMARY 2,,5. RELIGIOUS BODY,,"1. YES, EVERY DAY",,,2. NO,,,,,,
4. South East,1. Abia,108. ISUIKWATO,2. Rural,904,10108,102,25070.49825979942,,,1. YES,1. YES,2. NO,14. WORRIED ABOUT RISK OF CONTRACTING THE VIRUS,,1. YES,,,,,,,,,2. NO,1. YES,3. NURSERY 3,,5. RELIGIOUS BODY,,2. NO
4. South East,1. Abia,108. ISUIKWATO,2. Rural,904,10108,103,,,,2. NO,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,108. ISUIKWATO,2. Rural,904,10108,104,,,,2. NO,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,46,19001,1,,,,2. NO,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,46,19001,2,8724.553787504212,11484.03715502176,9422.096765656173,1. YES,1. YES,2. NO,4. AWAITING ADMISSION,,,,,,,,,,,2. NO,2. NO,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,46,19001,4,,,,2. NO,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,46,19001,201,,,,2. NO,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,46,19001,202,,,,2. NO,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,46,19001,203,,,,2. NO,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,46,19007,1,,,,2. NO,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,46,19008,1,,,,2. NO,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,46,19008,2,,,,2. NO,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,46,19008,201,,,,2. NO,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,46,19010,1,,,,2. NO,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,46,19010,2,,,,2. NO,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,46,19010,3,8641.473878577448,9667.419156489006,9536.795029759323,1. YES,1. YES,1. YES,,,,1. 2019/20 SESSION,11. PRIMARY 1,,5. RELIGIOUS BODY,,"1. YES, EVERY DAY",,,2. NO,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,46,19012,1,,,,2. NO,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,46,19012,2,,,,2. NO,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,46,19012,4,,,,2. NO,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,806,19017,1,,,,2. NO,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,806,19017,2,,,,2. NO,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,806,19017,3,21641.283083362272,25066.736245256907,23558.93667588344,1. YES,1. YES,2. NO,7. LACK OF MONEY,,,,,,,,,,,2. NO,1. YES,23. JS3,,6. PRIVATE,,2. NO
4. South East,1. Abia,102. ABA SOUTH,1. Urban,806,19017,4,24067.61178403761,22587.259126314504,21919.715660737653,1. YES,1. YES,2. NO,7. LACK OF MONEY,,,,,,,,,,,2. NO,1. YES,15. PRIMARY 5,,6. PRIVATE,,2. NO
4. South East,1. Abia,102. ABA SOUTH,1. Urban,806,19017,5,24067.61178403761,22587.259126314504,21919.715660737653,1. YES,1. YES,2. NO,7. LACK OF MONEY,,,,,,,,,,,2. NO,1. YES,12. PRIMARY 2,,6. PRIVATE,,2. NO
4. South East,1. Abia,102. ABA SOUTH,1. Urban,806,19017,6,,,,2. NO,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,806,19017,7,,,,2. NO,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,806,19018,1,,,,2. NO,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,806,19018,2,,,,2. NO,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,806,19018,3,9572.729793596449,12600.482191089059,10338.085892246792,1. YES,1. YES,1. YES,,,,1. 2019/20 SESSION,23. JS3,,6. PRIVATE,,"1. YES, EVERY DAY",,,2. NO,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,806,19018,4,6889.0358467765745,7547.578845048247,7392.554090400678,1. YES,1. YES,1. YES,,,,1. 2019/20 SESSION,15. PRIMARY 5,,6. PRIVATE,,"1. YES, EVERY DAY",,,2. NO,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,806,19018,5,,,,2. NO,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,806,19020,1,,,,2. NO,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,806,19020,2,,,,2. NO,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,806,19020,3,13096.232490453953,14819.758928175313,14467.24035565938,1. YES,1. YES,2. NO,7. LACK OF MONEY,,,,,,,,,,,2. NO,1. YES,16. PRIMARY 6,,6. PRIVATE,,2. NO
4. South East,1. Abia,102. ABA SOUTH,1. Urban,806,19020,4,13096.232490453953,14819.758928175313,14467.24035565938,1. YES,1. YES,2. NO,7. LACK OF MONEY,,,,,,,,,,,2. NO,1. YES,15. PRIMARY 5,,6. PRIVATE,,2. NO
4. South East,1. Abia,102. ABA SOUTH,1. Urban,806,19020,5,14438.557797129326,15818.781583726317,15493.86908076525,1. YES,1. YES,2. NO,7. LACK OF MONEY,,,,,,,,,,,2. NO,1. YES,11. PRIMARY 1,,6. PRIVATE,,2. NO
4. South East,1. Abia,102. ABA SOUTH,1. Urban,806,19020,101,,,,2. NO,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,806,19024,1,,,,2. NO,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,806,19024,2,,,,2. NO,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,806,19024,3,,,,2. NO,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,806,19024,4,19108.43085636055,24103.371210422232,23307.823573659527,1. YES,1. YES,2. NO,7. LACK OF MONEY,,,,,,,,,,,2. NO,1. YES,22. JS2,,6. PRIVATE,,2. NO
4. South East,1. Abia,102. ABA SOUTH,1. Urban,806,19024,5,11850.904388585264,13726.70434706367,12901.023703962966,1. YES,1. YES,2. NO,7. LACK OF MONEY,,,,,,,,,,,2. NO,1. YES,21. JS1,,6. PRIVATE,,2. NO
4. South East,1. Abia,102. ABA SOUTH,1. Urban,806,19024,6,9788.411563168476,10950.525198249064,10802.564013562815,1. YES,1. YES,2. NO,7. LACK OF MONEY,,,,,,,,,,,2. NO,1. YES,16. PRIMARY 6,,6. PRIVATE,,2. NO
4. South East,1. Abia,102. ABA SOUTH,1. Urban,806,19024,7,9502.973333740123,10411.390228482393,10197.543742232107,1. YES,1. YES,2. NO,7. LACK OF MONEY,,,,,,,,,,,2. NO,1. YES,13. PRIMARY 3,,6. PRIVATE,,2. NO
4. South East,1. Abia,102. ABA SOUTH,1. Urban,2486,19026,1,,,,2. NO,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,2486,19026,2,,,,2. NO,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,2486,19026,4,,,,2. NO,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,2486,19026,5,15203.895098448114,19178.190514802536,18545.201709699664,1. YES,1. YES,2. NO,7. LACK OF MONEY,,,,,,,,,,,2. NO,2. NO,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,2486,19026,6,,,,2. NO,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,2486,19026,7,10506.709041867978,13829.869120255764,11346.73837679369,1. YES,1. YES,2. NO,4. AWAITING ADMISSION,,,,,,,,,,,2. NO,1. YES,26. SS3,,3. LOCAL GOVERNMENT,,2. NO
4. South East,1. Abia,102. ABA SOUTH,1. Urban,2486,19033,1,,,,2. NO,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,2486,19033,2,,,,2. NO,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,2486,19033,3,,,,2. NO,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,2486,19033,4,,,,2. NO,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,2486,19033,101,,,,2. NO,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,2486,19033,102,,,,2. NO,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,2486,19033,103,17294.288928707472,,,1. YES,1. YES,1. YES,,,,1. 2019/20 SESSION,25. SS2,,6. PRIVATE,,"1. YES, EVERY DAY",,,2. NO,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,2486,19035,1,,,,2. NO,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,2486,19035,2,,,,2. NO,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,2486,19035,3,8299.761547754913,9285.137571261776,9159.678752607273,1. YES,1. YES,2. NO,4. AWAITING ADMISSION,,,,,,,,,,,2. NO,1. YES,16. PRIMARY 6,,6. PRIVATE,,1. YES
4. South East,1. Abia,102. ABA SOUTH,1. Urban,2486,19035,4,8057.733591984955,8827.995811105651,8646.671718606201,1. YES,1. YES,1. YES,,,,2. 2020/21 SESSION,13. PRIMARY 3,,6. PRIVATE,,"1. YES, EVERY DAY",,,1. YES,1. YES,12. PRIMARY 2,,6. PRIVATE,,1. YES
4. South East,1. Abia,104. BENDE,2. Rural,412,19038,1,,,,2. NO,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,104. BENDE,2. Rural,412,19041,1,,,,2. NO,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,104. BENDE,2. Rural,412,19041,2,,,,2. NO,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,104. BENDE,2. Rural,412,19041,3,3355.8040479232436,3639.6486508054513,3546.598096143676,1. YES,1. YES,1. YES,,,,1. 2019/20 SESSION,11. PRIMARY 1,,6. PRIVATE,,"1. YES, EVERY DAY",,,2. NO,,,,,,
4. South East,1. Abia,104. BENDE,2. Rural,412,19041,4,,,,2. NO,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,104. BENDE,2. Rural,412,19044,1,,,,2. NO,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,104. BENDE,2. Rural,412,19044,101,,,,2. NO,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,104. BENDE,2. Rural,412,19045,2,,,,2. NO,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,104. BENDE,2. Rural,412,19045,3,5639.148973736045,6345.4392043107055,6066.267966377149,1. YES,1. YES,1. YES,,,,2. 2020/21 SESSION,11. PRIMARY 1,,6. PRIVATE,,"1. YES, EVERY DAY",,,1. YES,1. YES,2. NURSERY 2,,6. PRIVATE,,2. NO
4. South East,1. Abia,104. BENDE,2. Rural,412,19045,4,,,,2. NO,,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,104. BENDE,2. Rural,1020,19051,1,,,,2. NO,,,,,,,,,,,,,,,,,,,,
