zone,state,lga,sector,ea,hhid,indiv,wt_employ_r5,wt_employ_r5_pp_panel,wt_employ_r5_ph_panel,respondent,s6q0a,s6q0c,s6q1_1,s6q1a_1,s6q1b_1,s6q1c_1,s6q1c_1_os,s6q1d_1,s6q3a_1,s6q3b_1,s6q3b_1_os,s6q6_1,s6q6a_1,s6q5a_1,s6q8b1_1,s6q8c1_1
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10034,9,9733.956657150417,12910.52905009959,12397.002308673558,2. NO,2. NO,2,2. NO,2. NO,,,,,2. NO,,,,,,,
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10034,10,7267.192339901975,9077.627444484197,8398.914409067016,2. NO,2. NO,2,2. NO,2. NO,,,,,2. NO,,,,,,,
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10034,11,7267.192339901975,9077.627444484197,8398.914409067016,2. NO,2. NO,2,2. NO,2. NO,,,,,2. NO,,,,,,,
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10035,1,,,,1. YES,,,1. YES,,,,,,,,,1. In your own non-farm business,,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",90,90
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10035,2,8342.468797198913,8331.878204468432,7931.274572804273,2. NO,2. NO,1,2. NO,2. NO,,,,,2. NO,,,,,,,
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10035,3,12063.87929471279,13691.139326463921,12217.860451724044,2. NO,2. NO,1,1. YES,,,,,,,,,4. As an employee for a private company or another individual (not household member),,"9. PERSONAL SERVICES, EDUCATION, HEALTH, CULTURE, SPORT, DOMESTIC WORK, OTHER",78,78
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10035,6,12063.87929471279,13691.139326463921,12217.860451724044,2. NO,2. NO,1,2. NO,2. NO,,,,,2. NO,,,,,,,
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10038,1,11127.18804416019,10015.933078092115,10307.213196557885,1. YES,,,1. YES,,,,,,,,,1. In your own non-farm business,,,98,98
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10038,2,9747.369287490295,9485.466423015974,9334.835258380966,2. NO,2. NO,1,1. YES,,,,,,,,,1. In your own non-farm business,,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",48,48
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10038,4,14280.512697425365,18940.804908453294,18187.419064474332,2. NO,2. NO,1,2. NO,2. NO,,,,,2. NO,,,,,,,
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10038,5,14280.512697425365,18940.804908453294,18187.419064474332,2. NO,2. NO,1,2. NO,2. NO,,,,,2. NO,,,,,,,
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10040,1,16826.720878399497,15517.631261035192,15879.030596626946,1. YES,,,1. YES,,,,,,,,,4. As an employee for a private company or another individual (not household member),,"1. AGRICULTURE, HUNTING, FISHING",48,48
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10054,1,10884.82711989943,9797.77636244154,10082.712118032343,2. NO,2. NO,2,1. YES,,,,,,,,,1. In your own non-farm business,,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",51,51
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10054,2,9124.082917717345,9112.50008192021,8674.363501335125,1. YES,,,1. YES,,,,,,,,,4. As an employee for a private company or another individual (not household member),,"9. PERSONAL SERVICES, EDUCATION, HEALTH, CULTURE, SPORT, DOMESTIC WORK, OTHER",5,42.25
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10054,101,13969.469310495102,,,2. NO,2. NO,2,2. NO,2. NO,,,,,2. NO,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10056,101,14674.50361696129,,,2. NO,1. YES,,1. YES,,,,,,,,,1. In your own non-farm business,,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",51,51
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10056,201,16405.51021834699,,,1. YES,,,1. YES,,,,,,,,,1. In your own non-farm business,,"6. TRANSPORT, DRIVING, POST, TRAVEL AGENCIES",42,66
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10057,2,9352.909837366817,8217.808576829819,8513.671178384862,1. YES,,,2. NO,1. YES,1. WITHIN ONE WEEK,2. BUSINESS / OFFICE CLOSED FOR ANOTHER REASON,,,,,,,,4. CONSTRUCTION,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10057,4,11624.966206172636,15418.649291084328,14805.360037257797,2. NO,2. NO,2,1. YES,,,,,,,,,1. In your own non-farm business,,4. CONSTRUCTION,27,27
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10057,5,8678.985158934187,10841.132336133369,10030.566152379337,2. NO,2. NO,2,2. NO,2. NO,,,,,2. NO,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10057,6,8678.985158934187,10841.132336133369,10030.566152379337,2. NO,1. YES,,2. NO,2. NO,,,,,2. NO,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10060,1,7994.864782825698,7939.007418213594,8496.431271930389,2. NO,2. NO,2,1. YES,,,,,,,,,"3. In a family farm, growing crops, raising livestock, or fishing",2. Only for family consumption,"1. AGRICULTURE, HUNTING, FISHING",36,36
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10060,2,7090.368328903654,6899.856641006378,6790.285493389693,1. YES,,,1. YES,,,,,,,,,1. In your own non-farm business,,"1. AGRICULTURE, HUNTING, FISHING",25,25
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,1044,10067,2,6467.8293307798585,7050.824051648895,7133.7301174039585,1. YES,,,1. YES,,,,,,,,,"3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family","1. AGRICULTURE, HUNTING, FISHING",25,25
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,1044,10069,13,9641.055387288541,10510.077142028858,10633.658320660606,1. YES,,,2. NO,1. YES,1. WITHIN ONE WEEK,6. ILL / QUARANTINED,,,,,,,,"1. AGRICULTURE, HUNTING, FISHING",,
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,560,10071,1,3364.6390502154977,3638.2026848509418,3585.7782189218347,1. YES,,,1. YES,,,,,,,,,1. In your own non-farm business,,"1. AGRICULTURE, HUNTING, FISHING",18,18
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,560,10071,2,3478.1262632025196,3675.5486179212744,3638.9527981368697,2. NO,2. NO,1,1. YES,,,,,,,,,"3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family","1. AGRICULTURE, HUNTING, FISHING",18,18
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,560,10071,3,4356.305973074454,5921.3271638976485,5987.441468138642,2. NO,2. NO,1,1. YES,,,,,,,,,1. In your own non-farm business,,"1. AGRICULTURE, HUNTING, FISHING",12,12
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,560,10077,2,5961.612648952008,6641.95028392963,6476.766620754668,1. YES,,,1. YES,,,,,,,,,4. As an employee for a private company or another individual (not household member),,"1. AGRICULTURE, HUNTING, FISHING",16,30
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,560,10079,1,,,,1. YES,,,1. YES,,,,,,,,,"3. In a family farm, growing crops, raising livestock, or fishing",2. Only for family consumption,"1. AGRICULTURE, HUNTING, FISHING",24,24
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,560,10079,2,5180.503176334621,5647.461385772129,5713.866220379868,2. NO,2. NO,1,1. YES,,,,,,,,,1. In your own non-farm business,,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",70,70
4. South East,1. Abia,105. IKWUANO,2. Rural,638,10096,5,6739.083702073841,7508.146124905209,7321.420385092688,1. YES,,,1. YES,,,,,,,,,"3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family","1. AGRICULTURE, HUNTING, FISHING",24,36
4. South East,1. Abia,105. IKWUANO,2. Rural,638,10096,201,6588.545471466402,,,2. NO,2. NO,5,2. NO,2. NO,,,,,2. NO,,,,,,,
4. South East,1. Abia,108. ISUIKWATO,2. Rural,904,10103,4,11579.726390575213,12901.201657445628,12580.351958481166,1. YES,,,1. YES,,,,,,,,,1. In your own non-farm business,,,64,64
4. South East,1. Abia,108. ISUIKWATO,2. Rural,904,10103,7,11958.834053135834,17205.571303279554,15756.67598055833,2. NO,2. NO,4,1. YES,,,,,,,,,"3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family","1. AGRICULTURE, HUNTING, FISHING",15,30
4. South East,1. Abia,108. ISUIKWATO,2. Rural,904,10106,2,9323.112032065403,10387.063074178446,10128.739380853982,1. YES,,,1. YES,,,,,,,,,"3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family","1. AGRICULTURE, HUNTING, FISHING",22.5,40
4. South East,1. Abia,108. ISUIKWATO,2. Rural,904,10106,3,11621.60398356914,15171.147860361309,13172.989571532948,2. NO,2. NO,2,1. YES,,,,,,,,,4. As an employee for a private company or another individual (not household member),,"9. PERSONAL SERVICES, EDUCATION, HEALTH, CULTURE, SPORT, DOMESTIC WORK, OTHER",24,42
4. South East,1. Abia,108. ISUIKWATO,2. Rural,904,10106,4,11621.60398356914,15171.147860361309,13172.989571532948,2. NO,2. NO,2,1. YES,,,,,,,,,4. As an employee for a private company or another individual (not household member),,"9. PERSONAL SERVICES, EDUCATION, HEALTH, CULTURE, SPORT, DOMESTIC WORK, OTHER",15,21
4. South East,1. Abia,108. ISUIKWATO,2. Rural,904,10106,5,12331.707746177712,16761.925472180585,16949.07997482137,2. NO,2. NO,2,2. NO,1. YES,2. WITHIN ONE MONTH,96. OTHER (SPECIFY),He went in for Exams,"3. In a family farm, growing crops, raising livestock, or fishing",,,,,,,,
4. South East,1. Abia,108. ISUIKWATO,2. Rural,904,10108,3,12820.023328767365,14124.11301636598,14219.689931676816,1. YES,,,1. YES,,,,,,,,,1. In your own non-farm business,,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",28,28
4. South East,1. Abia,108. ISUIKWATO,2. Rural,904,10108,4,14686.865550455712,15880.988385452658,15652.1522246746,2. NO,1. YES,,1. YES,,,,,,,,,"3. In a family farm, growing crops, raising livestock, or fishing",1. Only for sale,"1. AGRICULTURE, HUNTING, FISHING",32,40
4. South East,1. Abia,108. ISUIKWATO,2. Rural,904,10108,104,14501.862833175099,,,2. NO,2. NO,3,1. YES,,,,,,,,,1. In your own non-farm business,,4. CONSTRUCTION,998. DON'T KNOW,998. DON'T KNOW
4. South East,1. Abia,102. ABA SOUTH,1. Urban,46,19001,1,8125.482100657551,7139.345685861975,7396.380802739175,1. YES,,,2. NO,1. YES,1. WITHIN ONE WEEK,6. ILL / QUARANTINED,,,,,,,,"2. MINING, MANUFACTURING",,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,46,19001,2,7539.999827545273,9418.39794030473,8714.206289576068,2. NO,2. NO,1,2. NO,2. NO,,,,,1. YES,1. APPLY TO PROSPECTIVE EMPLOYERS,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,46,19001,201,7539.999827545273,,,2. NO,2. NO,1,1. YES,,,,,,,,,1. In your own non-farm business,,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",27,56
4. South East,1. Abia,102. ABA SOUTH,1. Urban,46,19007,1,14084.026952872255,15983.77856565232,14263.792906476532,1. YES,,,2. NO,1. YES,1. WITHIN ONE WEEK,6. ILL / QUARANTINED,,,,,,,,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,46,19008,1,10175.43825932152,10104.34597941707,10813.805383902909,2. NO,2. NO,2,1. YES,,,,,,,,,1. In your own non-farm business,,"6. TRANSPORT, DRIVING, POST, TRAVEL AGENCIES",48,48
4. South East,1. Abia,102. ABA SOUTH,1. Urban,46,19008,2,9024.243326990712,8781.77019323088,8642.313869970523,1. YES,,,2. NO,1. YES,98. DON'T KNOW,6. ILL / QUARANTINED,,,,,,,,"1. AGRICULTURE, HUNTING, FISHING",,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,46,19008,201,9024.243326990712,,,2. NO,2. NO,2,2. NO,1. YES,98. DON'T KNOW,7. NEED TO CARE FOR ILL RELATIVE,,1. In their own non-farm business,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,46,19010,1,9017.969991558546,8775.665416562726,8636.30603841591,1. YES,,,1. YES,,,,,,,,,1. In your own non-farm business,,"1. AGRICULTURE, HUNTING, FISHING",60,60
4. South East,1. Abia,102. ABA SOUTH,1. Urban,46,19010,2,13211.896581647898,17523.457380404157,16826.447681409096,2. NO,2. NO,1,2. NO,2. NO,,,,,2. NO,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,46,19012,1,13589.717507936406,18024.576115199437,17307.63401297378,1. YES,,,1. YES,,,,,,,,,1. In your own non-farm business,,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",48,48
4. South East,1. Abia,102. ABA SOUTH,1. Urban,46,19012,2,13589.717507936406,18024.576115199437,17307.63401297378,2. NO,2. NO,1,2. NO,2. NO,,,,,1. YES,96. OTHER (SPECIFY),learning to sew clothes,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,46,19012,4,10699.356531899546,12346.623421828488,12425.900362875254,2. NO,1. YES,,1. YES,,,,,,,,,4. As an employee for a private company or another individual (not household member),,"9. PERSONAL SERVICES, EDUCATION, HEALTH, CULTURE, SPORT, DOMESTIC WORK, OTHER",36,36
4. South East,1. Abia,102. ABA SOUTH,1. Urban,806,19017,1,21475.074446730567,19804.351006703168,20265.586305780052,2. NO,2. NO,2,1. YES,,,,,,,,,4. As an employee for a private company or another individual (not household member),,"6. TRANSPORT, DRIVING, POST, TRAVEL AGENCIES",84,84
4. South East,1. Abia,102. ABA SOUTH,1. Urban,806,19017,2,19209.159206193446,18693.026732716527,18396.177609886872,1. YES,,,1. YES,,,,,,,,,1. In your own non-farm business,,"1. AGRICULTURE, HUNTING, FISHING",35,35
4. South East,1. Abia,102. ABA SOUTH,1. Urban,806,19018,1,7120.317221022932,7111.278124607614,6769.36195965889,1. YES,,,2. NO,1. YES,98. DON'T KNOW,96. OTHER (SPECIFY),no fund to buy goods,,,,,,,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,806,19018,2,8138.929258503155,10166.535320668316,9406.4071826316,2. NO,2. NO,1,2. NO,2. NO,,,,,2. NO,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,806,19018,3,8138.929258503155,10166.535320668316,9406.4071826316,2. NO,2. NO,1,2. NO,2. NO,,,,,2. NO,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,806,19020,1,16309.730677880267,14680.903238360244,15107.848506575698,1. YES,,,1. YES,,,,,,,,,4. As an employee for a private company or another individual (not household member),,"9. PERSONAL SERVICES, EDUCATION, HEALTH, CULTURE, SPORT, DOMESTIC WORK, OTHER",35,60
4. South East,1. Abia,102. ABA SOUTH,1. Urban,806,19020,2,16479.817290390372,19017.040654580756,19139.14795139778,2. NO,2. NO,1,1. YES,,,,,,,,,1. In your own non-farm business,,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",998. DON'T KNOW,998. DON'T KNOW
4. South East,1. Abia,102. ABA SOUTH,1. Urban,806,19024,1,11954.882378885415,11024.813323119457,11281.57675195561,1. YES,,,1. YES,,,,,,,,,1. In your own non-farm business,,"2. MINING, MANUFACTURING",50,60
4. South East,1. Abia,102. ABA SOUTH,1. Urban,806,19024,2,10693.478128653853,10406.154188164364,10240.90231178523,2. NO,2. NO,1,1. YES,,,,,,,,,1. In your own non-farm business,,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",50,50
4. South East,1. Abia,102. ABA SOUTH,1. Urban,806,19024,3,11696.410766565972,14610.272359733895,13517.896365875275,2. NO,2. NO,1,2. NO,2. NO,,,,,2. NO,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,806,19024,4,15666.62200762893,20779.256130942653,19952.744401735275,2. NO,2. NO,1,2. NO,2. NO,,,,,2. NO,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,806,19024,5,15666.62200762893,20779.256130942653,19952.744401735275,2. NO,2. NO,1,2. NO,2. NO,,,,,2. NO,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,2486,19026,1,9780.48184764641,8803.720335159896,9059.747275652731,2. NO,2. NO,2,1. YES,,,,,,,,,1. In your own non-farm business,,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",24,24
4. South East,1. Abia,102. ABA SOUTH,1. Urban,2486,19026,2,10098.890709566796,8873.254648299904,9192.715022676151,1. YES,,,2. NO,2. NO,,,,,2. NO,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,2486,19026,4,12552.164541297125,16648.42886196779,15986.22413045189,2. NO,1. YES,,1. YES,,,,,,,,,4. As an employee for a private company or another individual (not household member),,"9. PERSONAL SERVICES, EDUCATION, HEALTH, CULTURE, SPORT, DOMESTIC WORK, OTHER",77,77
4. South East,1. Abia,102. ABA SOUTH,1. Urban,2486,19026,5,12552.164541297125,16648.42886196779,15986.22413045189,2. NO,2. NO,2,1. YES,,,,,,,,,"6. As an apprentice, trainee, intern",,"9. PERSONAL SERVICES, EDUCATION, HEALTH, CULTURE, SPORT, DOMESTIC WORK, OTHER",54,54
4. South East,1. Abia,102. ABA SOUTH,1. Urban,2486,19026,6,9371.214318762717,11705.812686566538,10830.59636940516,2. NO,2. NO,2,1. YES,,,,,,,,,1. In your own non-farm business,,"9. PERSONAL SERVICES, EDUCATION, HEALTH, CULTURE, SPORT, DOMESTIC WORK, OTHER",54,54
4. South East,1. Abia,102. ABA SOUTH,1. Urban,2486,19026,7,9371.214318762717,11705.812686566538,10830.59636940516,2. NO,2. NO,2,1. YES,,,,,,,,,4. As an employee for a private company or another individual (not household member),,"9. PERSONAL SERVICES, EDUCATION, HEALTH, CULTURE, SPORT, DOMESTIC WORK, OTHER",54,54
4. South East,1. Abia,102. ABA SOUTH,1. Urban,2486,19033,1,,,,1. YES,,,2. NO,1. YES,1. WITHIN ONE WEEK,96. OTHER (SPECIFY),travelled of burial,,,,,,,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,2486,19033,2,9086.615454450139,9075.0801828278,8638.742782104093,2. NO,2. NO,1,2. NO,1. YES,1. WITHIN ONE WEEK,96. OTHER (SPECIFY),travelled for burial,1. In their own non-farm business,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,2486,19033,3,10616.04561523151,9790.13573101839,10018.144019720765,2. NO,2. NO,1,2. NO,1. YES,1. WITHIN ONE WEEK,96. OTHER (SPECIFY),travelled for burial,1. In their own non-farm business,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,2486,19033,4,13912.104577735276,18452.17074877091,17718.22072394369,2. NO,2. NO,1,2. NO,2. NO,,,,,2. NO,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,2486,19033,101,10386.520443869556,,,2. NO,2. NO,1,2. NO,1. YES,1. WITHIN ONE WEEK,96. OTHER (SPECIFY),travelled for burial,2. In a non-farm business operated by a household member,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,2486,19033,102,10386.520443869556,,,2. NO,2. NO,1,2. NO,1. YES,1. WITHIN ONE WEEK,96. OTHER (SPECIFY),travelled for burial,2. In a non-farm business operated by a household member,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,2486,19033,103,13912.104577735276,,,2. NO,2. NO,1,2. NO,1. YES,1. WITHIN ONE WEEK,96. OTHER (SPECIFY),travelled for burial,2. In a non-farm business operated by a household member,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,2486,19035,1,10176.5706620132,9384.8511647749,9603.420540378873,1. YES,,,1. YES,,,,,,,,,"3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family","1. AGRICULTURE, HUNTING, FISHING",11,40
4. South East,1. Abia,102. ABA SOUTH,1. Urban,2486,19035,2,9102.802716916774,8858.218764468722,8717.548422117825,2. NO,2. NO,1,1. YES,,,,,,,,,1. In your own non-farm business,,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",50,40
4. South East,1. Abia,104. BENDE,2. Rural,412,19038,1,,,,1. YES,,,1. YES,,,,,,,,,"3. In a family farm, growing crops, raising livestock, or fishing",2. Only for family consumption,"1. AGRICULTURE, HUNTING, FISHING",18,18
4. South East,1. Abia,104. BENDE,2. Rural,412,19041,1,2875.374157119219,3203.5110839747654,3123.8405544989755,1. YES,,,1. YES,,,,,,,,,4. As an employee for a private company or another individual (not household member),,"1. AGRICULTURE, HUNTING, FISHING",20,60
4. South East,1. Abia,104. BENDE,2. Rural,412,19041,2,2969.5107834025393,4272.333681751575,3912.5569455141504,2. NO,2. NO,1,1. YES,,,,,,,,,"3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family","1. AGRICULTURE, HUNTING, FISHING",15,998. DON'T KNOW
4. South East,1. Abia,104. BENDE,2. Rural,412,19044,1,5089.036474884417,5606.707918727888,5644.648131136265,1. YES,,,1. YES,,,,,,,,,1. In your own non-farm business,,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",54,54
4. South East,1. Abia,104. BENDE,2. Rural,412,19044,101,5756.659486429703,,,2. NO,2. NO,1,1. YES,,,,,,,,,1. In your own non-farm business,,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",54,54
4. South East,1. Abia,104. BENDE,2. Rural,412,19045,2,4775.847825100965,6871.17071139894,6292.543769585775,1. YES,,,1. YES,,,,,,,,,1. In your own non-farm business,,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",72,72
4. South East,1. Abia,104. BENDE,2. Rural,1020,19051,1,26820.977582195952,29549.28465147945,29749.242657575665,1. YES,,,1. YES,,,,,,,,,"3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family","1. AGRICULTURE, HUNTING, FISHING",24,32
4. South East,1. Abia,104. BENDE,2. Rural,1020,19058,1,13702.632584143836,17085.041174473463,16637.59307682401,1. YES,,,1. YES,,,,,,,,,1. In your own non-farm business,,"1. AGRICULTURE, HUNTING, FISHING",48,48
4. South East,1. Abia,104. BENDE,2. Rural,1020,19058,2,12113.483034219978,13345.701408610872,13436.010865340402,2. NO,2. NO,1,1. YES,,,,,,,,,1. In your own non-farm business,,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",36,48
4. South East,1. Abia,104. BENDE,2. Rural,1020,19060,1,9618.024111331119,10484.96988174789,10608.255840394495,2. NO,2. NO,2,1. YES,,,,,,,,,"3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family","1. AGRICULTURE, HUNTING, FISHING",45,45
4. South East,1. Abia,104. BENDE,2. Rural,1020,19060,2,11651.451996222519,16763.33054016904,15351.676676152845,1. YES,,,1. YES,,,,,,,,,1. In your own non-farm business,,"1. AGRICULTURE, HUNTING, FISHING",63,63
4. South East,1. Abia,104. BENDE,2. Rural,1020,19060,101,14922.851914470906,,,2. NO,2. NO,2,2. NO,2. NO,,,,,2. NO,,,,,,,
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,10,19062,1,11037.180728463405,12032.04589402209,12173.522915821331,2. NO,2. NO,4,2. NO,1. YES,98. DON'T KNOW,6. ILL / QUARANTINED,,"3. In a family farm, growing crops, raising livestock, or fishing",,,,,,,,
