zone,state,lga,sector,ea,hhid,interviewer_id,wt_round4,wt_r4panel,s2q0a,s2q0b,s5q1c,s5q1d,s5q1e,filter3,s5q2a,s5q2b,s5q2c__1,s5q2c__2,s5q2c__3,s5q2c__4,s5q2c__5,s5q2c__6,s5q2c__96,s5q2c_os,s5q2d,s5q2e,s5q2f__1,s5q2f__2,s5q2f__3,s5q2f__4,s5q2f__5,s5q2f__6,s5q2f__7,s5q2f__8,s5q2f__9,s5q2f__96,s5q2f_os,s5q2,s5q3,s5q4,s5q4_os,filter1,s5q4b,s5q5__1,s5q5__2,s5q5__3,s5q5__4,s5q5__5,s5q5__6,s5q5__7,s5q5__96,s5q5_os,s5q5b,s5q5c,s5q21,s5q22,s5q23,s5bq1,s5bq2__9,s5bq2__1,s5bq2__2,s5bq2__3,s5bq2__4,s5bq2__5,s5bq2__6,s5bq2__7,s5bq2__8,s5bq2__96,s5bq2_os,s5bq3__1,s5bq3__2,s5bq3__3,s5bq3__4,s5bq3__5,s5bq3__6,s5bq3__7,s5bq3__8,s5bq3__9,s5bq3__10,s5bq3__11,s5bq3__12,s5bq3__13,s5bq3__96,s5bq3_os,s5bq4_1,s5bq4_2,s5bq4_3,s5bq4_4,s5bq5,s5bq6,s5bq7__1,s5bq7__2,s5bq7__3,s5bq7__4,s5bq7__5,s5bq7__6,s5bq7__7,s5bq7__8,s5bq7__9,s5bq7__10,s5bq7__11,s5bq7__12,s5bq7__13,s5bq7__96,s5bq7_os,s5bq8_1,s5bq8_2,s5bq8_3,s5bq9,s5bq10,s5bq11,emp_case,s6q1,s6q1a,s6q1b,s6q1c,s6q1c_os,s6q3,s6q3_os,s6q3a,s6q3b,s6q3b_os,s6q4a,s6q4b,s6q4b_os,s6q5,s6q6,s6q6a,s6q7,s6q8,s6q8a,s6q8a_os,s6q8b,s6q8c,s6q9,s6q10_1,s6q10_2,s6q10_3,s6q10_4,s6q10_5,s6q10_6,s6q10_7,s6q10_8,s6q10_9,nfe_case,s6q11,s6q11a,s6q11b,s6q11b_os,s6q11b1,s6q11c,s6q12,s6q13,s6q14,s6q14_os,crop_filter1,s6q16,s6aq9,s6aq10,s6aq11,s6bq1,s6bq2__1,s6bq2__2,s6bq2__3,s6bq2__4,s6bq2__5,s6bq3,s6bq4__1,s6bq4__3,s6bq4__4,s6bq4__7,s6bq4__96,s6bq4_os,s6bq6,s6bq7,s6bq8,s6bq9,s6bq10,s6bq11,s6bq12,s6bq13,s6bq13_os,s8q1,s8q2,s8q3,s8q4,s8q5,s8q6,s8q7,s8q8,s9q1,s9q3__1,s9q3__2,s9q3__3,s9q3__4,s9q3__5,s9q3__6,s9q3__7,s9q3__8,s9q3__96,s9q3_os,s9q2,s12q3__0,s12q3__1,s12q3__2,s12q3__3,s12q3__4,s12q3__5,s12q3__6,s12q3__7,s12q4__0,s12q4__1,s12q4__2,s12q4__3,s12q5,s12q9,s12q10,s12q10_os,s12q10a,s12q11,s12q14
5. South South,3. Akwa Ibom,316. MBO,2. Rural,910,39052,11,16255.068167149297,16005.15977252872,2. NO,2. NO,4. Some of the time,5. None of the time,5. FIVE OR MORE,1. YES,2. NO,,,,,,,,,,2. NO,3. NO,,,,,,,,,,,,1. YES,1. YES,,,2. NO,,,,,,,,,,,,,2. NO,2. NO,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,2. RESPONDENT WAS NOT WORKING AT THE TIME OF ROUND 3 INTERVIEW,2. NO,2. NO,,,,,,2. NO,,,,,,,,,,,,,,,2. NO,,,,,,,,,,2. NFE WAS OPERATING AT ROUND 3,,1. Open,,,,,,2. The same as in June,,,1. YES,,1. Much higher,2. NO,,1. YES,0,0,1,0,0,2. NO,,,,,,,1. YES,1. Much higher,1. YES,1. USUAL SALE,1. YES,1. Better than normal,2. Higher,,,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,1. Very worried,,,,,,,,,,,4. Not a threat at all,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,6,2. PIDGIN,,2. NO,3,2020-08-10T13:48:20
5. South South,3. Akwa Ibom,316. MBO,2. Rural,910,39056,11,15296.3718335139,14045.684001663763,2. NO,2. NO,1. All of the time,1. All of the time,2. TWO,1. YES,2. NO,,,,,,,,,,2. NO,3. NO,,,,,,,,,,,,2. NO,,,,2. NO,,,,,,,,,,,,,1. YES,1. YES,2. THE SAME,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 3 INTERVIEW,2. NO,1. YES,98. DON'T KNOW,1. BUSINESS / OFFICE CLOSED DUE TO CORONAVIRUS RECOMMENDATIONS,,,,,,,,,,"1. AGRICULTURE, HUNTING, FISHING",,,,,,,,,,,,,,,,,,,3. NFE WAS NOT OPERATING OR PERMANENTLY CLOSED AT ROUND 3,2. NO,,,,,,,,,,1. YES,,98. DON'T KNOW,1. YES,98. DON'T KNOW,2. NO,,,,,,,,,,,,,,,,,,,,,,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,2. NO,2. NO,4. Not worried at all,0,0,0,0,0,1,0,0,0,,4. Not a threat at all,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,1. ENGLISH,,,0,2020-08-13T10:43:11
5. South South,3. Akwa Ibom,318. NSIT ATAI,2. Rural,56,39079,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7. PHONE TURNED OFF,,,,,,2020-08-20T16:51:44
5. South South,3. Akwa Ibom,304. ESSIEN UDIM,2. Rural,10,39091,11,14575.42293623253,16188.554682633072,2. NO,2. NO,1. All of the time,1. All of the time,5. FIVE OR MORE,1. YES,2. NO,,,,,,,,,,1. YES,,,,,,,,,,,,,1. YES,1. YES,,,1. YES,1. YES,1,0,0,1,1,1,1,0,,2. NO,1. YES,1. YES,2. NO,1. LOWER,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 3 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family",,,,,,,2. NO,,,,,,,,,,2. NFE WAS OPERATING AT ROUND 3,,1. Open,,,,,,3. Less than in June,96. OTHER (SPECIFY),no electricity,1. YES,,2. Higher,1. YES,2. Higher,1. YES,0,0,1,0,0,1. YES,1,1,1,1,0,,1. YES,1. Much higher,1. YES,1. USUAL SALE,1. YES,3. Worse than normal,2. Higher,,,2. NO,2. NO,2. NO,2. NO,1. YES,2. NO,1. YES,2. NO,3. Not too worried,1,0,0,0,0,0,0,0,0,,3. Not much of a threat,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,1. ENGLISH,,,0,2020-08-13T12:16:52
5. South South,3. Akwa Ibom,304. ESSIEN UDIM,2. Rural,184,39096,17,4255.202922149306,5363.260321900057,2. NO,2. NO,6. I have not been in public during the last 7 days,6. I have not been in public during the last 7 days,0. NONE,1. YES,2. NO,,,,,,,,,,1. YES,,,,,,,,,,,,,1. YES,1. YES,,,1. YES,1. YES,1,0,0,1,1,1,1,0,,2. NO,1. YES,2. NO,2. NO,,1. YES,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,General household upkeep,1,,,,4. WITHIN THE NEXT 4 TO 6 MONTHS,2. NO,,,,,,,,,,,,,,,,,,,1. Very worried,1. YES,1. YES,2. RESPONDENT WAS NOT WORKING AT THE TIME OF ROUND 3 INTERVIEW,2. NO,1. YES,98. DON'T KNOW,1. BUSINESS / OFFICE CLOSED DUE TO CORONAVIRUS RECOMMENDATIONS,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,1. NFE TEMPORARILY CLOSED AT LAST INTERVIEW,,3. Permanently closed,1. USUAL PLACE OF BUSINESS CLOSED DUE TO CORONAVIRUS RECOMMENDATIONS,,2. NO,,,,,,1. YES,,4. Lower,2. NO,,2. NO,,,,,,,,,,,,,,,,,,,,,,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. Very worried,,,,,,,,,,,1. A substantial threat,0,0,0,0,0,0,0,1,0,1,1,0,1. COMPLETE,1,1. ENGLISH,,,0,2020-08-18T13:54:29
5. South South,3. Akwa Ibom,304. ESSIEN UDIM,2. Rural,184,39103,18,5720.543717538242,8183.285796402208,2. NO,2. NO,2. Most of the time,4. Some of the time,2. TWO,1. YES,2. NO,,,,,,,,,,2. NO,3. NO,,,,,,,,,,,,1. YES,1. YES,,,1. YES,2. NO,,,,,,,,,,1. YES,,2. NO,2. NO,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 3 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING",1. In your own non-farm business,,,,,,,,2. NO,,,,,,,,,,2. NFE WAS OPERATING AT ROUND 3,,1. Open,,,,,,3. Less than in June,3. NO COSTUMERS / FEWER CUSTOMERS,,1. YES,,2. Higher,2. NO,,1. YES,0,1,0,0,0,2. NO,,,,,,,1. YES,4. Lower,2. NO,,,,,,,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,2. NO,1. Very worried,,,,,,,,,,,1. A substantial threat,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,2,6. IBIBIO,,,0,2020-08-14T12:53:42
5. South South,3. Akwa Ibom,304. ESSIEN UDIM,2. Rural,184,39105,11,9609.948539270807,,2. NO,2. NO,1. All of the time,1. All of the time,0. NONE,1. YES,2. NO,,,,,,,,,,2. NO,3. NO,,,,,,,,,,,,1. YES,2. NO,1. LACK OF MONEY,,1. YES,1. YES,0,0,0,0,1,1,0,0,,2. NO,1. YES,2. NO,2. NO,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,2. RESPONDENT WAS NOT WORKING AT THE TIME OF ROUND 3 INTERVIEW,1. YES,,,,,,,,,,,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing",2. Only for family consumption,,,,,,,2. NO,,,,,,,,,,3. NFE WAS NOT OPERATING OR PERMANENTLY CLOSED AT ROUND 3,2. NO,,,,,,,,,,2. NO,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. Very worried,,,,,,,,,,,1. A substantial threat,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,3,1. ENGLISH,,,0,2020-08-14T15:36:39
5. South South,3. Akwa Ibom,320. NSIT IBOM,2. Rural,266,39107,17,11188.68737404488,14516.900240999763,2. NO,2. NO,2. Most of the time,1. All of the time,1. ONE,1. YES,2. NO,,,,,,,,,,2. NO,3. NO,,,,,,,,,,,,2. NO,,,,1. YES,1. YES,0,0,1,1,1,0,0,0,,2. NO,1. YES,2. NO,2. NO,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1. YES,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,3,,,1. Very worried,1. YES,2. NO,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 3 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,"9. PERSONAL SERVICES, EDUCATION, HEALTH, CULTURE, SPORT, DOMESTIC WORK, OTHER",4. As an employee for a private company or another individual (not household member),,1. YES,,,,2,3. Fewer hours,2. NO,,,,,,,,,,3. NFE WAS NOT OPERATING OR PERMANENTLY CLOSED AT ROUND 3,1. YES,3. Permanently closed,1. USUAL PLACE OF BUSINESS CLOSED DUE TO CORONAVIRUS RECOMMENDATIONS,,2. NO,Provision Shop,"5. BUYING &amp; SELLING GOODS, REPAIR OF GOODS, HOTELS &amp; RESTAURANTS",,,,1. YES,,98. DON'T KNOW,2. NO,,2. NO,,,,,,,,,,,,,,,,,,,,,,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,2. NO,3. Not too worried,1,0,0,0,0,1,0,0,0,,1. A substantial threat,0,1,1,1,1,1,1,0,1,0,0,0,1. COMPLETE,3,1. ENGLISH,,,0,2020-08-13T19:03:27
5. South South,3. Akwa Ibom,320. NSIT IBOM,2. Rural,266,39110,11,7234.03725024375,6584.437013583873,2. NO,2. NO,2. Most of the time,1. All of the time,2. TWO,2. NO,,,,,,,,,,,2. NO,3. NO,,,,,,,,,,,,2. NO,,,,2. NO,,,,,,,,,,,,,,,,1. YES,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,1,0,0,0,0,0,0,0,,1,,,,3. WITHIN THE NEXT 2 TO 3 MONTHS,2. NO,,,,,,,,,,,,,,,,,,,2. Somewhat worried,1. YES,1. YES,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 3 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING",1. In your own non-farm business,,,,,,,,,,,,,,,,,,2. NFE WAS OPERATING AT ROUND 3,,1. Open,,,,,,1. Higher than in June,,,1. YES,,98. DON'T KNOW,2. NO,,2. NO,,,,,,,,,,,,,,,,,,,,,,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. Very worried,,,,,,,,,,,1. A substantial threat,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,2. PIDGIN,,2. NO,0,2020-08-10T18:42:15
5. South South,3. Akwa Ibom,320. NSIT IBOM,2. Rural,266,39112,18,5024.438964192061,5638.113813816074,2. NO,2. NO,6. I have not been in public during the last 7 days,6. I have not been in public during the last 7 days,0. NONE,1. YES,2. NO,,,,,,,,,,1. YES,,,,,,,,,,,,,1. YES,1. YES,,,1. YES,2. NO,,,,,,,,,,2. NO,1. YES,2. NO,2. NO,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,2. RESPONDENT WAS NOT WORKING AT THE TIME OF ROUND 3 INTERVIEW,2. NO,1. YES,98. DON'T KNOW,6. ILL / QUARANTINED,,,,,,,,,,,,,,,,,,,1. YES,2,,,,,,,,,1. NFE TEMPORARILY CLOSED AT LAST INTERVIEW,,2. Temporarily closed,7. ILL WITH ANOTHER DISEASE,,2. NO,,,,,,1. YES,,4. Lower,1. YES,4. Lower,2. NO,,,,,,,,,,,,,,,,,,,,,,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. Very worried,,,,,,,,,,,1. A substantial threat,0,0,0,0,0,0,1,1,1,0,0,0,1. COMPLETE,1,6. IBIBIO,,,0,2020-08-10T13:24:13
5. South South,3. Akwa Ibom,323. OKOBO,2. Rural,488,39120,18,11447.579841510747,11167.710026196484,2. NO,2. NO,1. All of the time,2. Most of the time,2. TWO,1. YES,2. NO,,,,,,,,,,2. NO,"1. YES, HAD APPOINTMENT THAT WAS CANCELED",0,0,0,0,0,0,0,0,0,1,THE APPOINTMENT WAS CANCELLED BECAUSE OF TIGHT SCHEDULE,1. YES,2. NO,1. LACK OF MONEY,,1. YES,2. NO,,,,,,,,,,2. NO,2. NO,1. YES,1. YES,1. LOWER,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,2. RESPONDENT WAS NOT WORKING AT THE TIME OF ROUND 3 INTERVIEW,2. NO,2. NO,,,,,,1. YES,96. OTHER (SPECIFY),WENT TO THE POST OFFICE TO SEARCH FOR A JOB,,,,,,,,,,,,,2. NO,,,,,,,,,,3. NFE WAS NOT OPERATING OR PERMANENTLY CLOSED AT ROUND 3,2. NO,,,,,,,,,,1. YES,,2. Higher,1. YES,2. Higher,2. NO,,,,,,,,,,,,,,,,,,,,,,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,2. NO,1. Very worried,,,,,,,,,,,2. A moderate threat,1,0,0,0,0,0,0,0,0,1,1,0,1. COMPLETE,3,1. ENGLISH,,,0,2020-08-11T10:06:07
5. South South,3. Akwa Ibom,323. OKOBO,2. Rural,488,39126,18,7946.314545581998,7516.760873402198,2. NO,2. NO,1. All of the time,1. All of the time,1. ONE,1. YES,2. NO,,,,,,,,,,1. YES,,,,,,,,,,,,,1. YES,1. YES,,,1. YES,1. YES,1,1,1,1,0,1,0,0,,2. NO,1. YES,1. YES,1. YES,1. LOWER,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 3 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING",5. As an employee for the government,,1. YES,,,,21,3. Fewer hours,2. NO,,,,,,,,,,3. NFE WAS NOT OPERATING OR PERMANENTLY CLOSED AT ROUND 3,2. NO,,,,,,,,,,1. YES,,2. Higher,1. YES,98. DON'T KNOW,2. NO,,,,,,,,,,,,,,,,,,,,,,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,2. NO,1. Very worried,,,,,,,,,,,1. A substantial threat,0,0,0,0,1,1,0,0,0,0,0,1,1. COMPLETE,2,6. IBIBIO,,,0,2020-08-12T17:54:35
5. South South,3. Akwa Ibom,323. OKOBO,2. Rural,488,39127,18,10061.267561354281,12029.650448999751,2. NO,2. NO,1. All of the time,2. Most of the time,3. THREE,1. YES,2. NO,,,,,,,,,,2. NO,3. NO,,,,,,,,,,,,2. NO,,,,1. YES,1. YES,1,0,0,1,1,1,0,0,,1. YES,,2. NO,2. NO,,1. YES,0,0,0,0,0,0,1,0,0,0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,2,,,,2. WITHIN ONE MONTH,2. NO,,,,,,,,,,,,,,,,,,,1. Very worried,2. NO,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 3 INTERVIEW,2. NO,1. YES,1. WITHIN ONE WEEK,6. ILL / QUARANTINED,,,,,,,,,,"1. AGRICULTURE, HUNTING, FISHING",,,,,,,,,2. NO,,,,,,,,,,3. NFE WAS NOT OPERATING OR PERMANENTLY CLOSED AT ROUND 3,1. YES,1. Open,,,,SELLING OF FOOD STUFFS,"5. BUYING &amp; SELLING GOODS, REPAIR OF GOODS, HOTELS &amp; RESTAURANTS",,,,1. YES,,2. Higher,1. YES,2. Higher,1. YES,0,1,0,0,0,2. NO,,,,,,,1. YES,2. Higher,2. NO,,,,,,,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. Very worried,,,,,,,,,,,1. A substantial threat,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,2,6. IBIBIO,,,0,2020-08-13T20:33:30
5. South South,3. Akwa Ibom,323. OKOBO,2. Rural,488,39128,17,23988.592709511024,27161.991255976925,2. NO,1. YES,1. All of the time,1. All of the time,1. ONE,1. YES,2. NO,,,,,,,,,,2. NO,3. NO,,,,,,,,,,,,1. YES,1. YES,,,1. YES,2. NO,,,,,,,,,,2. NO,1. YES,2. NO,98. DON'T KNOW,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 3 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family",,,,,,,2. NO,,,,,,,,,,3. NFE WAS NOT OPERATING OR PERMANENTLY CLOSED AT ROUND 3,1. YES,1. Open,,,,Plumbing,4. CONSTRUCTION,,,,1. YES,,98. DON'T KNOW,1. YES,98. DON'T KNOW,2. NO,,,,,,,,,,,,,,,,,,,,,,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. Very worried,,,,,,,,,,,1. A substantial threat,0,0,0,0,0,1,1,0,0,0,0,1,1. COMPLETE,2,1. ENGLISH,,,0,2020-08-13T18:02:06
5. South South,3. Akwa Ibom,326. ORUK ANAM,2. Rural,502,39135,18,21507.41657402489,28339.35354509044,2. NO,2. NO,4. Some of the time,4. Some of the time,4. FOUR,1. YES,2. NO,,,,,,,,,,1. YES,,,,,,,,,,,,,2. NO,,,,1. YES,2. NO,,,,,,,,,,2. NO,1. YES,2. NO,2. NO,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 3 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing",2. Only for family consumption,,,,,,,2. NO,,,,,,,,,,3. NFE WAS NOT OPERATING OR PERMANENTLY CLOSED AT ROUND 3,1. YES,1. Open,,,,SELLING OF FOOD STUFFS,"5. BUYING &amp; SELLING GOODS, REPAIR OF GOODS, HOTELS &amp; RESTAURANTS",,,,1. YES,,2. Higher,2. NO,,2. NO,,,,,,,,,,,,,,,,,,,,,,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,2. NO,1. Very worried,,,,,,,,,,,1. A substantial threat,1,0,0,0,0,0,0,0,0,0,0,1,1. COMPLETE,8,6. IBIBIO,,,0,2020-08-18T18:47:21
5. South South,3. Akwa Ibom,326. ORUK ANAM,2. Rural,502,39141,11,14934.090297543096,12872.270823094545,2. NO,2. NO,1. All of the time,2. Most of the time,3. THREE,1. YES,1. YES,1. YES,,,,,,,,,1. YES,,,,,,,,,,,,,1. YES,1. YES,,,1. YES,1. YES,1,1,1,1,1,1,1,0,,2. NO,1. YES,2. NO,1. YES,1. LOWER,1. YES,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,1,,,,3. WITHIN THE NEXT 2 TO 3 MONTHS,2. NO,,,,,,,,,,,,,,,,,,,2. Somewhat worried,1. YES,1. YES,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 3 INTERVIEW,1. YES,,,,,,,,,,2. NO,96. OTHER (SPECIFY),"Focused more on farming, because this is the best time for farm activities","1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family",,,,,,,2. NO,,,,,,,,,,2. NFE WAS OPERATING AT ROUND 3,,1. Open,,,,,,2. The same as in June,,,1. YES,,4. Lower,1. YES,2. Higher,1. YES,0,1,0,0,0,2. NO,,,,,,,1. YES,1. Much higher,1. YES,2. SALES DUE TO CORONAVIRUS,1. YES,3. Worse than normal,4. Lower,,,2. NO,2. NO,1. YES,1. YES,2. NO,2. NO,2. NO,2. NO,1. Very worried,,,,,,,,,,,1. A substantial threat,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,2. PIDGIN,,2. NO,0,2020-08-13T16:20:24
5. South South,3. Akwa Ibom,320. NSIT IBOM,2. Rural,0,39143,11,2458.2126348906395,2534.624655021687,2. NO,2. NO,1. All of the time,1. All of the time,5. FIVE OR MORE,1. YES,2. NO,,,,,,,,,,2. NO,3. NO,,,,,,,,,,,,2. NO,,,,2. NO,,,,,,,,,,,,,2. NO,1. YES,1. LOWER,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 3 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,"9. PERSONAL SERVICES, EDUCATION, HEALTH, CULTURE, SPORT, DOMESTIC WORK, OTHER",4. As an employee for a private company or another individual (not household member),,1. YES,,,,6,3. Fewer hours,2. NO,,,,,,,,,,3. NFE WAS NOT OPERATING OR PERMANENTLY CLOSED AT ROUND 3,2. NO,,,,,,,,,,1. YES,,2. Higher,1. YES,3. The same,2. NO,,,,,,,,,,,,,,,,,,,,,,2. NO,1. YES,1. YES,2. NO,2. NO,2. NO,2. NO,2. NO,4. Not worried at all,0,0,0,0,0,1,0,0,0,,4. Not a threat at all,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,1. ENGLISH,,,0,2020-08-10T20:01:12
5. South South,3. Akwa Ibom,327. UDUNG UKO,2. Rural,196,39146,11,3408.0227675194283,3419.2512272132963,2. NO,2. NO,1. All of the time,1. All of the time,2. TWO,1. YES,1. YES,1. YES,,,,,,,,,1. YES,,,,,,,,,,,,,1. YES,1. YES,,,1. YES,1. YES,1,1,1,1,1,1,1,0,,1. YES,,1. YES,1. YES,1. LOWER,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 3 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family",,,,,,,2. NO,,,,,,,,,,2. NFE WAS OPERATING AT ROUND 3,,1. Open,,,,,,1. Higher than in June,,,1. YES,,1. Much higher,1. YES,1. Much higher,1. YES,0,1,1,0,0,2. NO,,,,,,,1. YES,2. Higher,1. YES,1. USUAL SALE,1. YES,2. Normal,2. Higher,,,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,3. Not too worried,0,1,0,0,0,0,0,0,0,,1. A substantial threat,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,1. ENGLISH,,,0,2020-08-18T15:33:11
5. South South,3. Akwa Ibom,327. UDUNG UKO,2. Rural,196,39147,19,3842.348609768475,3497.31436680114,2. NO,2. NO,1. All of the time,1. All of the time,1. ONE,2. NO,,,,,,,,,,,2. NO,"1. YES, HAD APPOINTMENT THAT WAS CANCELED",1,0,0,0,0,0,0,0,0,0,,1. YES,2. NO,1. LACK OF MONEY,,2. NO,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 3 INTERVIEW,2. NO,1. YES,1. WITHIN ONE WEEK,6. ILL / QUARANTINED,,,,,,,,,,"1. AGRICULTURE, HUNTING, FISHING",,,,,,,,,,,,,,,,,,,1. NFE TEMPORARILY CLOSED AT LAST INTERVIEW,,1. Open,,,,,,,,,1. YES,,4. Lower,2. NO,,2. NO,,,,,,,,,,,,,,,,,,,,,,1. YES,1. YES,1. YES,1. YES,1. YES,2. NO,1. YES,1. YES,1. Very worried,,,,,,,,,,,2. A moderate threat,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,2. PIDGIN,,1. YES,0,2020-08-21T09:58:48
