zone,state,lga,sector,ea,hhid,shock_cd,shock_cd_os,s10q1,s10q3__1,s10q3__6,s10q3__7,s10q3__8,s10q3__9,s10q3__11,s10q3__12,s10q3__13,s10q3__14,s10q3__15,s10q3__16,s10q3__17,s10q3__18,s10q3__19,s10q3__20,s10q3__21,s10q3__96,s10q3_os
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10038,5. Job loss,,2. NO,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10038,6. Nonfarm business closure,,1. YES,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10038,7. Theft/looting of cash and other property,,2. NO,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10038,"8. Disruption of farming, livestock, fishing activities",,1. YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10038,10. Increase in price of farming/business inputs,,1. YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,managing local tinz
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10038,11. Fall in the price of farming/business output,,2. NO,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10038,12. Increase in price of major food items consumed,,1. YES,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10038,96. Other (Specify),,2. NO,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10040,"1. Illness, injury, or death of income earning member of household",,2. NO,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10040,5. Job loss,,2. NO,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10040,6. Nonfarm business closure,,2. NO,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10040,7. Theft/looting of cash and other property,,2. NO,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10040,"8. Disruption of farming, livestock, fishing activities",,2. NO,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10040,10. Increase in price of farming/business inputs,,1. YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Reduce my spenting
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10040,11. Fall in the price of farming/business output,,2. NO,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10040,12. Increase in price of major food items consumed,,2. NO,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10040,96. Other (Specify),,2. NO,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10054,"1. Illness, injury, or death of income earning member of household",,2. NO,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10054,5. Job loss,,2. NO,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10054,6. Nonfarm business closure,,1. YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10054,7. Theft/looting of cash and other property,,2. NO,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10054,"8. Disruption of farming, livestock, fishing activities",,2. NO,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10054,10. Increase in price of farming/business inputs,,1. YES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10054,11. Fall in the price of farming/business output,,2. NO,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10054,12. Increase in price of major food items consumed,,1. YES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10054,96. Other (Specify),,2. NO,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10056,"1. Illness, injury, or death of income earning member of household",,1. YES,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10056,5. Job loss,,2. NO,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10056,6. Nonfarm business closure,,1. YES,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10056,7. Theft/looting of cash and other property,,2. NO,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10056,"8. Disruption of farming, livestock, fishing activities",,1. YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10056,10. Increase in price of farming/business inputs,,1. YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10056,11. Fall in the price of farming/business output,,2. NO,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10056,12. Increase in price of major food items consumed,,1. YES,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10056,96. Other (Specify),,2. NO,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10057,"1. Illness, injury, or death of income earning member of household",,2. NO,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10057,5. Job loss,,2. NO,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10057,6. Nonfarm business closure,,1. YES,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10057,7. Theft/looting of cash and other property,,2. NO,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10057,"8. Disruption of farming, livestock, fishing activities",,2. NO,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10057,10. Increase in price of farming/business inputs,,2. NO,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10057,11. Fall in the price of farming/business output,,2. NO,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10057,12. Increase in price of major food items consumed,,1. YES,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10057,96. Other (Specify),,2. NO,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10060,"1. Illness, injury, or death of income earning member of household",,1. YES,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10060,5. Job loss,,2. NO,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10060,6. Nonfarm business closure,,1. YES,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10060,7. Theft/looting of cash and other property,,2. NO,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10060,"8. Disruption of farming, livestock, fishing activities",,2. NO,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10060,10. Increase in price of farming/business inputs,,1. YES,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10060,11. Fall in the price of farming/business output,,2. NO,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10060,12. Increase in price of major food items consumed,,1. YES,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10060,96. Other (Specify),,2. NO,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,1044,10067,"1. Illness, injury, or death of income earning member of household",,1. YES,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,1044,10067,5. Job loss,,2. NO,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,1044,10067,6. Nonfarm business closure,,2. NO,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,1044,10067,7. Theft/looting of cash and other property,,2. NO,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,1044,10067,"8. Disruption of farming, livestock, fishing activities",,2. NO,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,1044,10067,10. Increase in price of farming/business inputs,,1. YES,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,1044,10067,11. Fall in the price of farming/business output,,2. NO,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,1044,10067,12. Increase in price of major food items consumed,,1. YES,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,1044,10067,96. Other (Specify),,2. NO,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,1044,10069,"1. Illness, injury, or death of income earning member of household",,2. NO,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,1044,10069,5. Job loss,,2. NO,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,1044,10069,6. Nonfarm business closure,,2. NO,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,1044,10069,7. Theft/looting of cash and other property,,2. NO,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,1044,10069,"8. Disruption of farming, livestock, fishing activities",,1. YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,i went to report to our head
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,1044,10069,10. Increase in price of farming/business inputs,,1. YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,1044,10069,11. Fall in the price of farming/business output,,2. NO,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,1044,10069,12. Increase in price of major food items consumed,,1. YES,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,1044,10069,96. Other (Specify),,2. NO,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,560,10071,"1. Illness, injury, or death of income earning member of household",,2. NO,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,560,10071,5. Job loss,,2. NO,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,560,10071,6. Nonfarm business closure,,1. YES,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,560,10071,7. Theft/looting of cash and other property,,2. NO,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,560,10071,"8. Disruption of farming, livestock, fishing activities",,2. NO,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,560,10071,10. Increase in price of farming/business inputs,,1. YES,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,560,10071,11. Fall in the price of farming/business output,,1. YES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,560,10071,12. Increase in price of major food items consumed,,1. YES,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,560,10071,96. Other (Specify),,2. NO,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,560,10077,"1. Illness, injury, or death of income earning member of household",,2. NO,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,560,10077,5. Job loss,,2. NO,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,560,10077,6. Nonfarm business closure,,2. NO,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,560,10077,7. Theft/looting of cash and other property,,1. YES,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,560,10077,"8. Disruption of farming, livestock, fishing activities",,2. NO,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,560,10077,10. Increase in price of farming/business inputs,,2. NO,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,560,10077,11. Fall in the price of farming/business output,,2. NO,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,560,10077,12. Increase in price of major food items consumed,,1. YES,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,560,10077,96. Other (Specify),,2. NO,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,560,10079,"1. Illness, injury, or death of income earning member of household",,2. NO,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,560,10079,5. Job loss,,2. NO,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,560,10079,6. Nonfarm business closure,,1. YES,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,560,10079,7. Theft/looting of cash and other property,,2. NO,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,560,10079,"8. Disruption of farming, livestock, fishing activities",,2. NO,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,560,10079,10. Increase in price of farming/business inputs,,2. NO,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,560,10079,11. Fall in the price of farming/business output,,2. NO,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,560,10079,12. Increase in price of major food items consumed,,1. YES,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,560,10079,96. Other (Specify),,2. NO,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,105. IKWUANO,2. Rural,638,10096,"1. Illness, injury, or death of income earning member of household",,2. NO,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,105. IKWUANO,2. Rural,638,10096,5. Job loss,,2. NO,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,105. IKWUANO,2. Rural,638,10096,6. Nonfarm business closure,,2. NO,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,105. IKWUANO,2. Rural,638,10096,7. Theft/looting of cash and other property,,2. NO,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,105. IKWUANO,2. Rural,638,10096,"8. Disruption of farming, livestock, fishing activities",,1. YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,take the good ones and turn away the bad ones
4. South East,1. Abia,105. IKWUANO,2. Rural,638,10096,10. Increase in price of farming/business inputs,,1. YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,make use of aminal manure
4. South East,1. Abia,105. IKWUANO,2. Rural,638,10096,11. Fall in the price of farming/business output,,1. YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,sell at market price
4. South East,1. Abia,105. IKWUANO,2. Rural,638,10096,12. Increase in price of major food items consumed,,1. YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,buy some from the market and get  some from our farm
4. South East,1. Abia,105. IKWUANO,2. Rural,638,10096,96. Other (Specify),,2. NO,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,108. ISUIKWATO,2. Rural,904,10103,"1. Illness, injury, or death of income earning member of household",,2. NO,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,108. ISUIKWATO,2. Rural,904,10103,5. Job loss,,2. NO,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,108. ISUIKWATO,2. Rural,904,10103,6. Nonfarm business closure,,2. NO,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,108. ISUIKWATO,2. Rural,904,10103,7. Theft/looting of cash and other property,,2. NO,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,108. ISUIKWATO,2. Rural,904,10103,"8. Disruption of farming, livestock, fishing activities",,2. NO,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,108. ISUIKWATO,2. Rural,904,10103,10. Increase in price of farming/business inputs,,2. NO,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,108. ISUIKWATO,2. Rural,904,10103,11. Fall in the price of farming/business output,,2. NO,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,108. ISUIKWATO,2. Rural,904,10103,12. Increase in price of major food items consumed,,2. NO,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,108. ISUIKWATO,2. Rural,904,10103,96. Other (Specify),,2. NO,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,108. ISUIKWATO,2. Rural,904,10106,"1. Illness, injury, or death of income earning member of household",,2. NO,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,108. ISUIKWATO,2. Rural,904,10106,5. Job loss,,1. YES,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,
4. South East,1. Abia,108. ISUIKWATO,2. Rural,904,10106,6. Nonfarm business closure,,2. NO,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,108. ISUIKWATO,2. Rural,904,10106,7. Theft/looting of cash and other property,,2. NO,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,108. ISUIKWATO,2. Rural,904,10106,"8. Disruption of farming, livestock, fishing activities",,2. NO,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,108. ISUIKWATO,2. Rural,904,10106,10. Increase in price of farming/business inputs,,1. YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Reduced farmland size
4. South East,1. Abia,108. ISUIKWATO,2. Rural,904,10106,11. Fall in the price of farming/business output,,2. NO,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,108. ISUIKWATO,2. Rural,904,10106,12. Increase in price of major food items consumed,,1. YES,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
4. South East,1. Abia,108. ISUIKWATO,2. Rural,904,10106,96. Other (Specify),,2. NO,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,108. ISUIKWATO,2. Rural,904,10108,"1. Illness, injury, or death of income earning member of household",,2. NO,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,108. ISUIKWATO,2. Rural,904,10108,5. Job loss,,1. YES,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4. South East,1. Abia,108. ISUIKWATO,2. Rural,904,10108,6. Nonfarm business closure,,1. YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
4. South East,1. Abia,108. ISUIKWATO,2. Rural,904,10108,7. Theft/looting of cash and other property,,2. NO,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,108. ISUIKWATO,2. Rural,904,10108,"8. Disruption of farming, livestock, fishing activities",,1. YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,trusting God
4. South East,1. Abia,108. ISUIKWATO,2. Rural,904,10108,10. Increase in price of farming/business inputs,,1. YES,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
4. South East,1. Abia,108. ISUIKWATO,2. Rural,904,10108,11. Fall in the price of farming/business output,,1. YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,believing God
