zone,state,lga,sector,ea,hhid,source_cd,source_cd_os,s7q1,s7q2
4. South East,1. Abia,115. UMUAHIA NORTH,1. Urban,670,10003,10. ASSISTANCE FROM NGOS / CHARITABLE ORGANIZATION,,2. NO,
4. South East,1. Abia,115. UMUAHIA NORTH,1. Urban,670,10003,96. OTHER (SPECIFY),,2. NO,
4. South East,1. Abia,115. UMUAHIA NORTH,1. Urban,670,10003,99. TOTAL HOUSEHOLD INCOME,,,1. Increased
4. South East,1. Abia,105. IKWUANO,2. Rural,0,10009,"1. HOUSEHOLD FARMING, LIVESTOCK OR FISHING",,1. YES,1. Increased
4. South East,1. Abia,105. IKWUANO,2. Rural,0,10009,2. NON-FARM FAMILY BUSINESS,,1. YES,3. Reduced
4. South East,1. Abia,105. IKWUANO,2. Rural,0,10009,3. WAGE EMPLOYMENT OF HOUSEHOLD MEMBERS,,1. YES,2. Stayed the same
4. South East,1. Abia,105. IKWUANO,2. Rural,0,10009,4. REMITTANCES FROM ABROAD,,1. YES,3. Reduced
4. South East,1. Abia,105. IKWUANO,2. Rural,0,10009,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,,2. NO,
4. South East,1. Abia,105. IKWUANO,2. Rural,0,10009,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,,2. NO,
4. South East,1. Abia,105. IKWUANO,2. Rural,0,10009,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",,1. YES,3. Reduced
4. South East,1. Abia,105. IKWUANO,2. Rural,0,10009,8. PENSION,,2. NO,
4. South East,1. Abia,105. IKWUANO,2. Rural,0,10009,9. ASSISTANCE FROM THE GOVERNMENT,,2. NO,
4. South East,1. Abia,105. IKWUANO,2. Rural,0,10009,10. ASSISTANCE FROM NGOS / CHARITABLE ORGANIZATION,,2. NO,
4. South East,1. Abia,105. IKWUANO,2. Rural,0,10009,96. OTHER (SPECIFY),,2. NO,
4. South East,1. Abia,105. IKWUANO,2. Rural,0,10009,99. TOTAL HOUSEHOLD INCOME,,,3. Reduced
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10034,"1. HOUSEHOLD FARMING, LIVESTOCK OR FISHING",,1. YES,2. Stayed the same
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10034,2. NON-FARM FAMILY BUSINESS,,1. YES,3. Reduced
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10034,3. WAGE EMPLOYMENT OF HOUSEHOLD MEMBERS,,1. YES,2. Stayed the same
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10034,4. REMITTANCES FROM ABROAD,,1. YES,3. Reduced
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10034,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,,2. NO,
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10034,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,,1. YES,3. Reduced
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10034,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",,2. NO,
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10034,8. PENSION,,2. NO,
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10034,9. ASSISTANCE FROM THE GOVERNMENT,,2. NO,
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10034,10. ASSISTANCE FROM NGOS / CHARITABLE ORGANIZATION,,2. NO,
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10034,96. OTHER (SPECIFY),ch,1. YES,3. Reduced
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10034,99. TOTAL HOUSEHOLD INCOME,,,3. Reduced
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10035,"1. HOUSEHOLD FARMING, LIVESTOCK OR FISHING",,2. NO,
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10035,2. NON-FARM FAMILY BUSINESS,,1. YES,3. Reduced
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10035,3. WAGE EMPLOYMENT OF HOUSEHOLD MEMBERS,,1. YES,2. Stayed the same
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10035,4. REMITTANCES FROM ABROAD,,2. NO,
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10035,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,,2. NO,
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10035,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,,2. NO,
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10035,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",,2. NO,
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10035,8. PENSION,,1. YES,2. Stayed the same
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10035,9. ASSISTANCE FROM THE GOVERNMENT,,2. NO,
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10035,10. ASSISTANCE FROM NGOS / CHARITABLE ORGANIZATION,,2. NO,
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10035,96. OTHER (SPECIFY),,2. NO,
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10035,99. TOTAL HOUSEHOLD INCOME,,,3. Reduced
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10038,"1. HOUSEHOLD FARMING, LIVESTOCK OR FISHING",,1. YES,2. Stayed the same
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10038,2. NON-FARM FAMILY BUSINESS,,1. YES,3. Reduced
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10038,3. WAGE EMPLOYMENT OF HOUSEHOLD MEMBERS,,2. NO,
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10038,4. REMITTANCES FROM ABROAD,,2. NO,
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10038,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,,2. NO,
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10038,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,,2. NO,
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10038,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",,2. NO,
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10038,8. PENSION,,2. NO,
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10038,9. ASSISTANCE FROM THE GOVERNMENT,,2. NO,
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10038,10. ASSISTANCE FROM NGOS / CHARITABLE ORGANIZATION,,2. NO,
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10038,96. OTHER (SPECIFY),,2. NO,
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10038,99. TOTAL HOUSEHOLD INCOME,,,3. Reduced
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10040,"1. HOUSEHOLD FARMING, LIVESTOCK OR FISHING",,1. YES,3. Reduced
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10040,2. NON-FARM FAMILY BUSINESS,,2. NO,
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10040,3. WAGE EMPLOYMENT OF HOUSEHOLD MEMBERS,,1. YES,2. Stayed the same
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10040,4. REMITTANCES FROM ABROAD,,2. NO,
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10040,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,,2. NO,
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10040,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,,2. NO,
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10040,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",,2. NO,
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10040,8. PENSION,,2. NO,
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10040,9. ASSISTANCE FROM THE GOVERNMENT,,2. NO,
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10040,10. ASSISTANCE FROM NGOS / CHARITABLE ORGANIZATION,,2. NO,
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10040,96. OTHER (SPECIFY),,2. NO,
4. South East,1. Abia,111. OSISIOMA NORTH,1. Urban,1146,10040,99. TOTAL HOUSEHOLD INCOME,,,3. Reduced
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10054,"1. HOUSEHOLD FARMING, LIVESTOCK OR FISHING",,1. YES,3. Reduced
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10054,2. NON-FARM FAMILY BUSINESS,,2. NO,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10054,3. WAGE EMPLOYMENT OF HOUSEHOLD MEMBERS,,1. YES,3. Reduced
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10054,4. REMITTANCES FROM ABROAD,,2. NO,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10054,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,,2. NO,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10054,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,,2. NO,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10054,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",,2. NO,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10054,8. PENSION,,2. NO,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10054,9. ASSISTANCE FROM THE GOVERNMENT,,2. NO,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10054,10. ASSISTANCE FROM NGOS / CHARITABLE ORGANIZATION,,2. NO,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10054,96. OTHER (SPECIFY),,2. NO,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10054,99. TOTAL HOUSEHOLD INCOME,,,3. Reduced
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10056,"1. HOUSEHOLD FARMING, LIVESTOCK OR FISHING",,2. NO,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10056,2. NON-FARM FAMILY BUSINESS,,2. NO,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10056,3. WAGE EMPLOYMENT OF HOUSEHOLD MEMBERS,,2. NO,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10056,4. REMITTANCES FROM ABROAD,,2. NO,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10056,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,,1. YES,3. Reduced
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10056,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,,2. NO,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10056,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",,2. NO,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10056,8. PENSION,,2. NO,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10056,9. ASSISTANCE FROM THE GOVERNMENT,,2. NO,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10056,10. ASSISTANCE FROM NGOS / CHARITABLE ORGANIZATION,,2. NO,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10056,96. OTHER (SPECIFY),,2. NO,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10056,99. TOTAL HOUSEHOLD INCOME,,,3. Reduced
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10057,"1. HOUSEHOLD FARMING, LIVESTOCK OR FISHING",,1. YES,3. Reduced
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10057,2. NON-FARM FAMILY BUSINESS,,1. YES,3. Reduced
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10057,3. WAGE EMPLOYMENT OF HOUSEHOLD MEMBERS,,1. YES,3. Reduced
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10057,4. REMITTANCES FROM ABROAD,,2. NO,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10057,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,,2. NO,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10057,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,,2. NO,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10057,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",,2. NO,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10057,8. PENSION,,2. NO,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10057,9. ASSISTANCE FROM THE GOVERNMENT,,2. NO,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10057,10. ASSISTANCE FROM NGOS / CHARITABLE ORGANIZATION,,2. NO,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10057,96. OTHER (SPECIFY),,2. NO,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10057,99. TOTAL HOUSEHOLD INCOME,,,3. Reduced
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10060,"1. HOUSEHOLD FARMING, LIVESTOCK OR FISHING",,1. YES,2. Stayed the same
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10060,2. NON-FARM FAMILY BUSINESS,,1. YES,3. Reduced
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10060,3. WAGE EMPLOYMENT OF HOUSEHOLD MEMBERS,,1. YES,3. Reduced
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10060,4. REMITTANCES FROM ABROAD,,2. NO,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10060,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,,2. NO,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10060,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,,2. NO,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10060,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",,2. NO,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10060,8. PENSION,,2. NO,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10060,9. ASSISTANCE FROM THE GOVERNMENT,,2. NO,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10060,10. ASSISTANCE FROM NGOS / CHARITABLE ORGANIZATION,,2. NO,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10060,96. OTHER (SPECIFY),,2. NO,
4. South East,1. Abia,102. ABA SOUTH,1. Urban,1690,10060,99. TOTAL HOUSEHOLD INCOME,,,3. Reduced
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,1044,10067,"1. HOUSEHOLD FARMING, LIVESTOCK OR FISHING",,1. YES,1. Increased
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,1044,10067,2. NON-FARM FAMILY BUSINESS,,1. YES,1. Increased
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,1044,10067,3. WAGE EMPLOYMENT OF HOUSEHOLD MEMBERS,,2. NO,
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,1044,10067,4. REMITTANCES FROM ABROAD,,2. NO,
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,1044,10067,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,,2. NO,
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,1044,10067,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,,2. NO,
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,1044,10067,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",,2. NO,
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,1044,10067,8. PENSION,,2. NO,
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,1044,10067,9. ASSISTANCE FROM THE GOVERNMENT,,2. NO,
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,1044,10067,10. ASSISTANCE FROM NGOS / CHARITABLE ORGANIZATION,,2. NO,
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,1044,10067,96. OTHER (SPECIFY),,2. NO,
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,1044,10067,99. TOTAL HOUSEHOLD INCOME,,,1. Increased
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,1044,10069,"1. HOUSEHOLD FARMING, LIVESTOCK OR FISHING",,1. YES,3. Reduced
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,1044,10069,2. NON-FARM FAMILY BUSINESS,,2. NO,
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,1044,10069,3. WAGE EMPLOYMENT OF HOUSEHOLD MEMBERS,,1. YES,3. Reduced
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,1044,10069,4. REMITTANCES FROM ABROAD,,2. NO,
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,1044,10069,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,,2. NO,
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,1044,10069,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,,2. NO,
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,1044,10069,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",,2. NO,
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,1044,10069,8. PENSION,,2. NO,
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,1044,10069,9. ASSISTANCE FROM THE GOVERNMENT,,2. NO,
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,1044,10069,10. ASSISTANCE FROM NGOS / CHARITABLE ORGANIZATION,,2. NO,
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,1044,10069,96. OTHER (SPECIFY),,2. NO,
4. South East,1. Abia,107. ISIALA NGWA SOUTH,2. Rural,1044,10069,99. TOTAL HOUSEHOLD INCOME,,,3. Reduced
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,560,10071,"1. HOUSEHOLD FARMING, LIVESTOCK OR FISHING",,1. YES,3. Reduced
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,560,10071,2. NON-FARM FAMILY BUSINESS,,2. NO,
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,560,10071,3. WAGE EMPLOYMENT OF HOUSEHOLD MEMBERS,,2. NO,
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,560,10071,4. REMITTANCES FROM ABROAD,,2. NO,
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,560,10071,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,,2. NO,
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,560,10071,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,,2. NO,
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,560,10071,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",,2. NO,
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,560,10071,8. PENSION,,2. NO,
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,560,10071,9. ASSISTANCE FROM THE GOVERNMENT,,2. NO,
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,560,10071,10. ASSISTANCE FROM NGOS / CHARITABLE ORGANIZATION,,2. NO,
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,560,10071,96. OTHER (SPECIFY),,2. NO,
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,560,10071,99. TOTAL HOUSEHOLD INCOME,,,3. Reduced
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,560,10077,"1. HOUSEHOLD FARMING, LIVESTOCK OR FISHING",,2. NO,
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,560,10077,2. NON-FARM FAMILY BUSINESS,,2. NO,
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,560,10077,3. WAGE EMPLOYMENT OF HOUSEHOLD MEMBERS,,1. YES,2. Stayed the same
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,560,10077,4. REMITTANCES FROM ABROAD,,2. NO,
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,560,10077,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,,1. YES,3. Reduced
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,560,10077,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,,2. NO,
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,560,10077,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",,2. NO,
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,560,10077,8. PENSION,,2. NO,
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,560,10077,9. ASSISTANCE FROM THE GOVERNMENT,,2. NO,
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,560,10077,10. ASSISTANCE FROM NGOS / CHARITABLE ORGANIZATION,,2. NO,
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,560,10077,96. OTHER (SPECIFY),,2. NO,
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,560,10077,99. TOTAL HOUSEHOLD INCOME,,,2. Stayed the same
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,560,10079,"1. HOUSEHOLD FARMING, LIVESTOCK OR FISHING",,1. YES,3. Reduced
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,560,10079,2. NON-FARM FAMILY BUSINESS,,1. YES,3. Reduced
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,560,10079,3. WAGE EMPLOYMENT OF HOUSEHOLD MEMBERS,,2. NO,
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,560,10079,4. REMITTANCES FROM ABROAD,,2. NO,
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,560,10079,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,,1. YES,3. Reduced
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,560,10079,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,,2. NO,
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,560,10079,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",,2. NO,
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,560,10079,8. PENSION,,2. NO,
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,560,10079,9. ASSISTANCE FROM THE GOVERNMENT,,2. NO,
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,560,10079,10. ASSISTANCE FROM NGOS / CHARITABLE ORGANIZATION,,2. NO,
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,560,10079,96. OTHER (SPECIFY),,2. NO,
4. South East,1. Abia,117. UMUNNEOCHI,2. Rural,560,10079,99. TOTAL HOUSEHOLD INCOME,,,3. Reduced
4. South East,1. Abia,105. IKWUANO,2. Rural,638,10091,"1. HOUSEHOLD FARMING, LIVESTOCK OR FISHING",,1. YES,3. Reduced
4. South East,1. Abia,105. IKWUANO,2. Rural,638,10091,2. NON-FARM FAMILY BUSINESS,,2. NO,
4. South East,1. Abia,105. IKWUANO,2. Rural,638,10091,3. WAGE EMPLOYMENT OF HOUSEHOLD MEMBERS,,2. NO,
4. South East,1. Abia,105. IKWUANO,2. Rural,638,10091,4. REMITTANCES FROM ABROAD,,2. NO,
4. South East,1. Abia,105. IKWUANO,2. Rural,638,10091,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,,2. NO,
4. South East,1. Abia,105. IKWUANO,2. Rural,638,10091,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,,2. NO,
4. South East,1. Abia,105. IKWUANO,2. Rural,638,10091,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",,2. NO,
4. South East,1. Abia,105. IKWUANO,2. Rural,638,10091,8. PENSION,,2. NO,
